userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
505239882,1867,363,166163,1101,1033,1308,5166,480154,T
963940168,2795,128,254345,1101,8375,436,4876,480173,F
393584571,2065,428,156940,1101,4187,2180,6542,480369,T
507323334,2677,68,265023,1101,4598,1744,4329,480220,F
781988916,1843,370,141911,1101,1391,872,4540,480210,T
691862181,2637,129,55377,1101,2711,436,4627,480087,F
613143041,2550,65,89250,1101,2405,436,9293,479760,F
958554886,1905,375,100965,1101,983,872,5352,480298,T
383965721,1959,427,101868,1101,989,2180,4744,480412,T
642901577,2677,80,115111,1101,2141,872,4817,479973,F
897443735,1111,31,101101,1101,16174,436,4905,479750,T
464988104,2615,106,175205,1101,1387,436,6656,479874,F
441667775,2764,107,199008,1101,1088,872,4595,480135,F
719178584,1935,35,42570,1101,977,436,6799,480041,T
918002827,1942,37,139824,1101,1138,1744,8747,479536,T
139934272,2810,97,70250,1101,1285,1744,4396,480292,F
915263385,2787,116,192303,1101,2635,1308,4865,479659,F
214631798,2082,377,131166,1101,1247,436,5036,480201,T
223927326,1189,23,98687,1101,42641,436,6502,479824,T
712947071,2726,123,261696,1101,1914,872,4653,480489,F
078876930,1960,10,121520,1101,3190,1308,9271,479730,T
907390102,2745,112,63135,1101,2288,872,7006,480534,F
587906307,1898,24,85410,1101,1737,1308,9636,480004,T
903811543,2721,110,209517,1101,2931,1308,9184,480382,F
569048012,1951,389,126815,1101,2322,872,4478,479561,T
515382669,2724,125,171612,1101,2141,872,6672,479891,F
382220976,2097,381,56619,1101,1475,436,9244,479620,T
419741911,2737,123,90321,1101,1640,436,6964,479669,F
122204025,1945,13,52515,1101,2233,1744,9146,479903,T
782251582,2594,114,98572,1101,1750,436,4667,480519,F
513440160,2823,88,160911,1101,2084,1308,4485,480327,F
443709967,2042,391,202158,1101,2132,436,9444,479614,T
715035326,2140,4,98440,1101,973,1744,7287,479587,T
701372582,2764,95,60808,1101,8229,872,9177,479681,F
083780965,1948,1,101296,1101,1347,2180,7380,479738,T
940151675,2705,82,116315,1101,965,1308,4609,480424,F
774449626,2051,394,49224,1101,1430,872,5281,480463,T
415618278,2657,98,196618,1101,1412,1308,8762,479553,F
467077639,2184,1,107016,1101,9771,872,9254,480193,T
231064091,2545,121,139975,1101,6797,872,8941,480105,F
232436854,2661,71,212880,1101,1122,872,7081,480330,F
126517891,1920,406,82560,1101,5583,436,8776,480477,T
988457289,2026,49,97248,1101,3065,1308,7110,479615,T
746193382,2692,125,99604,1101,17372,872,9284,480140,F
899981791,2091,400,133824,1101,1542,1744,4535,480158,T
478034982,2808,111,252720,1101,1979,2180,4713,479930,F
625204048,2078,383,85198,1101,29315,436,6653,479925,T
202247344,2557,109,214788,1101,4510,2180,4825,480454,F
754516035,2079,31,149688,1101,3876,1308,9038,479622,T
715844597,2614,97,99332,1101,3844,436,4836,480153,F
