userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
593691333,2576,1,198352,3424,16811,1312,1491,378430,T
835492202,2537,21,393235,1349,24656,1640,2031,377557,T
293643232,3746,33,603106,823,23115,1640,2814,377864,T
828309958,2459,1,607373,1275,14794,984,2325,378154,T
307859912,2467,83,574811,1117,11557,1640,1650,378217,F
047840503,2455,27,149755,986,9996,1312,2882,378289,T
290324079,2575,13,466075,1473,4998,1640,2751,378426,T
134255348,2561,32,606957,1673,8806,1312,2295,378489,T
035470142,2520,32,400680,4202,5870,984,2108,377890,T
390230619,2499,13,369852,1152,6488,656,2733,377864,T
283454883,2562,4,304878,5066,52836,984,2958,377885,T
439361559,2418,1,360282,3590,5870,1312,2759,377711,T
946147247,3711,45,768177,805,19465,1640,2149,378273,T
729491554,3677,39,731723,1024,52836,1312,3544,377990,T
366264355,2484,15,469476,2201,4931,1312,2729,378376,T
028673795,2598,26,522198,3934,33622,328,2828,378304,T
728232423,2440,6,478240,742,8405,328,2859,377857,F
320486438,2504,1,525840,2255,33622,1312,2099,377685,T
063896196,2411,24,106084,2150,4623,656,3221,378403,T
851521693,2527,29,563521,1622,5870,1312,2958,377937,T
442604791,2588,32,165632,1688,5283,1312,1322,377516,T
792649787,2425,14,220675,991,3976,328,2419,378135,T
266890069,2424,3,429048,2867,6604,984,2750,378083,T
845769682,2590,5,77700,1926,36985,984,1550,377689,T
000452242,2494,7,496306,793,9996,328,2612,377607,F
010705185,2498,11,257294,772,4803,656,3066,378243,F
860957682,2574,27,280566,1977,4623,656,1397,377818,T
614645574,2425,33,533500,1681,5066,1312,2696,377742,T
459368152,2551,1,58673,963,26418,1312,2924,377488,F
804063689,2463,8,325116,807,4251,1312,3581,378015,F
155074358,2458,1,233510,1858,8040,328,2732,377867,T
659141555,2493,1,493614,1999,4351,1640,2959,377984,T
214967414,2591,6,285010,1666,3976,328,2871,378365,T
141197785,3739,30,830058,1736,15410,1640,2131,377778,T
259973455,2578,2,270690,3522,28450,328,1803,377556,T
414146530,2576,1,126224,1433,8601,984,2848,378150,T
603473046,2465,1,105995,754,4109,328,2957,377604,F
775026665,2515,75,568390,960,4681,1640,3423,377524,F
888619326,2415,21,417795,2780,4251,1640,2695,377760,T
121482502,2410,1,101220,1509,41094,1640,1949,378198,T
936897372,2460,1,344400,1804,46231,1640,1650,377617,T
265823180,2430,1,38880,816,3735,984,3391,378062,F
870747654,2494,23,531222,1534,18492,1640,1650,377700,T
286857535,2466,6,140562,931,13698,328,2823,377762,F
046103035,2437,2,489837,1411,4403,656,1523,377643,T
632861488,2566,15,187318,1170,4803,984,2675,377521,T
761357307,2474,22,608604,2311,14225,984,2595,378058,T
187554381,2571,17,254529,2162,4456,328,2047,378146,T
940584614,2443,1,508144,1062,21756,984,1824,377810,T
915512672,2418,1,454584,3590,9246,984,1504,378207,T
022963586,2527,16,58121,2680,6604,1640,2267,378115,T
757143484,2404,1,199532,1193,16811,656,2144,378337,T
455507564,2431,33,308737,1567,73970,1640,3388,378491,T
574114465,2507,18,549033,1134,3852,984,1851,378076,T
161375984,2533,27,65858,3489,30821,328,2153,377894,T
828888425,2584,17,509048,793,6063,1640,3527,378142,F
800612588,2429,1,29148,960,9483,1312,2533,377819,F
904425367,2493,17,321597,838,16080,1640,3128,378357,F
391670966,2578,10,443416,5136,30821,1312,1322,378390,T
936497287,2447,22,452695,854,30821,984,2919,377664,F
940191241,2423,2,513676,2780,5136,656,2934,377580,T
894231666,2599,33,317078,1185,5778,984,2758,377666,T
033784529,2408,9,113176,2958,4064,984,2230,377599,T
212208951,2376,91,586872,1821,5690,1640,2292,378036,T
229689257,2565,30,153900,970,4020,328,2314,378046,F
189497509,2456,1,73680,3108,9483,656,2103,377582,T
858004561,2410,3,106040,1177,3976,1312,2086,377956,T
059800085,2494,19,314244,1433,61642,656,3150,378198,T
441642768,2502,2,82566,2889,9246,656,3331,377840,T
965501854,2509,83,57707,1896,61642,1640,2082,378001,T
498144984,2512,7,607904,762,5283,984,2096,377962,F
544675159,2556,28,40896,3424,5439,328,3353,377693,T
902517644,2418,1,120900,1302,6604,984,1992,377983,T
723677976,2439,6,575604,882,4741,1312,3620,377677,F
101249934,3716,39,798940,2228,20547,1640,2823,377942,T
175720412,2525,28,318150,1081,73970,984,1518,377573,T
496840017,2422,30,503776,3006,5778,984,1732,377705,T
572084522,2430,28,68040,931,9483,984,1542,377855,F
250121487,2493,14,421317,1340,6604,328,3428,377502,T
978956266,2523,1,45414,1503,8218,1312,2889,377868,T
005032332,2529,26,569025,3082,11557,656,2328,378137,T
460916387,2529,1,40464,2113,4064,984,3022,378455,T
790086949,2545,2,134885,833,4155,328,2363,378208,F
672483679,2580,9,183180,2550,9483,1640,2116,377886,T
202930223,2476,14,524912,812,16811,656,1942,377781,F
695190102,2468,3,207312,3332,4566,984,2929,378260,T
158349185,2422,16,450492,2101,14225,656,2242,378188,T
036735036,2509,1,584597,1349,4931,1312,1916,378246,T
428714059,2575,1,208575,4251,5066,328,1638,378262,T
692890736,2464,22,340032,953,6063,1312,2293,378475,F
765280699,2576,30,293664,860,3976,984,2649,377654,F
927702996,2590,8,486920,1320,6164,656,2834,378333,T
577343259,2573,15,203267,1145,4803,1312,1656,377797,T
619180056,2513,5,389515,2162,14794,328,1652,378079,T
875760099,2469,14,293811,2283,8601,328,3484,377632,T
890522190,2509,4,549471,741,7869,1312,3083,377646,F
186555415,2528,14,111232,2465,21756,328,2652,378359,T
880172160,2420,15,520300,805,3893,1312,2897,378417,F
703584551,2529,1,576612,1736,8040,656,1364,378412,T
944888074,2508,6,579348,1658,10878,656,2648,378342,T
408847121,2558,12,381142,1444,5778,984,1775,378448,T
951761344,2417,1,572829,811,4202,328,1737,378464,F
655613633,2515,5,591025,800,13209,984,2135,378482,F
254901506,2590,26,160580,915,3893,328,1352,377941,F
427598348,2546,31,590672,786,36985,656,1943,377575,F
997856933,2587,13,64675,848,3893,328,3587,378282,F
193260209,2542,13,231322,1166,5520,984,3525,378171,T
679074168,2433,1,262764,1270,4251,1640,2113,377613,T
