userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
482850462,2424,43,53328,1152,1696,1640,1975,378388,T
227382704,2439,96,163413,1152,960,1640,3609,378434,F
315671270,2582,32,149756,1152,1204,328,1637,377975,T
320808135,2421,103,101682,1152,12753,1640,3434,378349,F
028696292,2621,35,81251,1152,945,328,3280,378363,T
005544364,2606,114,187632,1152,9996,1640,3515,378191,F
100230090,2547,8,229230,1152,4931,984,2933,378047,T
499513216,2400,105,192000,1152,868,1640,3622,378382,F
331479528,2556,1,176364,1152,1249,328,1991,378144,T
396335481,2395,89,220340,1152,46231,1640,3488,377574,F
996238847,2509,43,92833,1152,936,1640,2889,377891,T
089987966,2334,120,133038,1152,73970,1640,3205,377864,F
238412980,2451,30,88236,1152,852,328,2591,378215,T
116606324,2350,125,173900,1152,11207,1640,3361,378361,F
019980504,2471,55,128492,1152,988,328,2586,377755,T
272852801,2345,111,227465,1152,61642,1640,2913,378222,F
150779261,2402,37,170542,1152,800,656,3023,377628,T
