userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
189112348,618,40,46968,160,727,1710,1756,72109,T
365425207,706,18,147554,146,6418,427,3172,72919,T
926082159,693,37,42966,238,1332,855,2883,72117,T
694306158,778,38,161046,306,1641,855,3674,72141,T
777481901,3081,60,616200,146,6418,855,1784,72150,F
446993566,711,36,38394,743,1604,2138,3662,72811,T
475241379,719,25,117197,234,705,855,1831,72665,T
588396662,3138,70,276144,619,2823,855,3992,72372,T
893831280,3066,80,561078,212,8824,2138,2148,72751,F
429952529,780,39,179400,387,1604,2138,2148,72456,T
100510472,794,19,29378,247,7059,427,4306,72339,T
970474009,673,45,131235,217,871,1282,2572,72807,T
236420390,713,8,129053,236,1008,855,3156,72633,T
333832529,3150,79,696150,422,1053,427,2385,72790,T
938344897,624,44,146016,274,1023,855,3725,72486,T
996279205,738,21,122508,261,3529,1282,3564,72718,T
776091681,792,12,142560,159,1810,1710,2700,72309,T
739058052,675,15,131625,598,1332,1282,3397,72426,T
429230441,695,33,45175,811,1023,1282,1896,72048,T
264838670,726,23,60984,195,784,1282,3206,72262,T
446579224,727,10,34169,543,1641,427,4167,72778,T
431000938,764,14,29032,164,905,427,2316,72015,T
664342793,714,32,17136,850,2139,855,2513,72872,T
285317564,685,21,98640,360,3361,2138,2148,72618,T
092182783,620,43,21080,252,1721,855,3940,72138,T
015511291,631,34,15775,254,2139,427,3776,72628,T
876890410,665,13,88445,534,1641,855,2869,72072,T
970850635,3078,59,261630,166,1534,427,2647,72068,F
504135346,733,34,63771,905,735,2138,4380,72816,T
893832555,721,25,131943,157,1810,427,2951,72770,T
150829791,732,24,117852,412,775,427,1816,72275,T
468383296,798,8,31122,141,1357,1710,3193,72907,T
381047491,693,36,14553,155,767,1282,4081,72657,T
223525319,780,43,18720,187,3922,2138,3386,72390,T
887716580,769,14,31529,573,1053,1282,2591,72790,T
638764564,679,19,140553,172,893,1710,2623,72439,T
770217310,717,40,84606,313,1023,2138,2148,71964,T
977951810,3134,76,451296,212,743,1710,1878,72179,F
829289766,3213,71,337365,190,2434,427,2710,72419,F
928585041,704,23,34496,234,1260,427,2768,72145,T
108060485,799,33,137428,253,1053,1282,3474,72641,T
187083722,629,19,110075,1008,5430,2138,3093,72713,T
804025244,3066,65,315798,619,14119,427,2361,72453,T
727955104,3116,58,414428,181,860,427,1924,72561,F
375875603,770,25,90860,269,2715,2138,2800,72692,T
029216606,700,34,140700,685,1857,1710,2324,72244,T
753259236,639,18,123966,705,2353,2138,2644,72085,T
523682346,623,16,71645,578,767,1710,1951,72269,T
812440926,3067,64,61340,180,1217,427,1895,72321,F
563825134,3112,41,264520,259,4412,1282,1828,71995,F
726094165,746,27,79822,165,4706,855,3635,72034,T
244366001,662,40,88046,339,4706,427,3248,72255,T
492331132,3150,73,674100,678,1120,1282,3447,72829,T
082377999,700,12,107800,158,1008,855,3859,72575,T
930820530,3123,50,746397,367,871,427,2257,72149,F
170860450,607,31,89836,337,1357,427,1994,72455,T
717264728,751,24,39052,166,1238,427,1828,72646,T
840296951,734,22,56518,408,840,2138,3017,72009,T
895126864,794,16,96074,1008,1604,855,3143,72083,T
890709835,614,30,58944,315,1217,427,3359,72387,T
041378136,658,12,34874,157,11766,427,3270,72263,T
791986361,3105,74,273240,775,4412,855,2674,72121,T
552418545,1859,22,420134,882,3715,2138,2296,72339,T
646270289,3076,75,233776,860,1038,1282,2880,72094,T
652780473,3224,65,438464,449,735,855,2117,71921,T
628394365,754,27,61074,154,994,1710,3770,72227,T
342697682,663,41,96135,394,2614,2138,2148,72416,T
325300207,660,18,122760,305,871,1710,3769,72478,T
173665437,3088,50,410704,363,6418,1710,2271,72862,F
117865781,3215,79,160750,1008,1307,2138,2625,72387,T
844382380,658,37,36848,306,735,1710,2217,71924,T
184449085,3140,67,540080,811,759,427,2514,72098,T
231283589,3126,56,231324,318,7059,2138,2531,72787,F
370420661,787,12,174714,173,10085,1710,3223,72500,T
262779243,606,9,30906,176,994,1282,2346,71924,T
911057180,703,15,165908,279,4152,1282,3073,72837,T
896263833,617,18,153633,156,5042,2138,2148,72136,T
122921502,3127,41,547225,1008,3361,1710,2352,72926,T
716079975,681,31,16344,331,14119,1710,2257,72215,T
680817243,3078,65,452466,223,1176,1710,2074,72682,F
036883591,669,35,161229,253,743,2138,2374,71931,T
544880915,629,18,120768,168,1120,1282,1707,72844,T
779021396,3066,67,588672,232,713,427,2290,72317,F
644700081,754,26,28652,286,1260,1710,1839,72121,T
113874984,683,30,148211,256,820,1710,1848,72175,T
441962587,710,16,147680,222,1260,2138,2701,72720,T
551630035,659,8,67877,308,735,2138,3494,72341,T
611320391,789,9,14991,221,5883,1710,3268,72859,T
603372093,703,46,167314,160,840,855,4293,72689,T
236225044,761,21,76861,954,7844,855,4343,72679,T
130177792,1828,31,153552,1008,2941,427,2736,72169,T
914207601,599,11,129384,412,871,427,2729,72388,T
500662835,729,12,57591,212,2206,2138,4315,71991,T
453013431,3057,47,348498,511,1157,1282,1986,72292,T
861935275,742,11,101654,390,2076,1710,3174,72626,T
398868564,754,45,30914,227,743,1282,2579,72340,T
065251919,748,41,83776,830,2017,2138,4358,72557,T
455825458,689,36,66144,158,7059,855,3121,72536,T
156249077,787,9,94440,222,1008,1710,3904,72060,T
222197311,758,15,7580,564,1086,1282,2649,72138,T
406565791,3157,65,473550,156,1411,427,2348,72749,F
757565226,648,43,16848,158,5430,2138,2610,72431,T
510457059,782,47,51612,467,916,1282,2519,72282,T
089159448,755,8,141940,178,2521,1710,3316,72417,T
253768839,3142,77,722660,217,759,1710,1892,72582,F
519340621,635,43,104140,156,1332,2138,2148,71947,T
151526230,614,45,20262,239,6418,427,3726,72849,T
136886942,790,9,178540,830,840,855,3441,72322,T
136729922,624,7,63648,166,1961,1710,3620,72189,T
849932461,672,28,29568,916,1384,1282,2340,72337,T
