userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
069058045,801,33,24831,170,759,427,4356,72438,T
825820684,3229,86,322900,170,147,2138,1744,72320,F
231278359,784,36,30576,170,427,855,2537,72849,T
322488387,3136,97,216384,170,239,427,1864,72559,F
761460359,638,9,15950,170,285,1282,1819,71951,T
166240346,3073,100,132139,170,209,427,1681,72843,F
233850047,667,9,59363,170,187,1282,3445,72920,T
701843933,3179,67,152592,170,4152,2138,1993,72481,F
171374161,885,8,28320,170,405,1710,3949,72419,T
756527675,3305,64,138810,170,207,427,1829,72274,F
620663256,747,63,51543,170,692,1282,1943,72643,T
852189238,3186,55,210276,170,14119,427,2820,72637,F
242235155,610,35,58560,170,3529,2138,3387,72898,T
411836787,3126,83,218820,170,196,2138,1751,72892,F
079266050,650,13,19500,170,154,427,4382,72660,T
797659875,3039,65,288705,170,208,1710,1716,72499,F
154891809,781,9,55451,170,252,1282,2152,72653,T
856472343,3086,99,129612,170,159,427,1839,72497,F
698736853,641,29,31409,170,200,2138,3401,72292,T
422193690,3124,90,271788,170,1069,427,1956,72744,F
786351194,891,71,81972,170,248,427,2873,72614,T
679134940,3048,63,280416,170,319,1282,1729,72707,F
141401889,615,44,28905,170,219,1710,2550,71991,T
710840403,3064,76,196096,170,208,427,2014,72475,F
288768361,882,18,84672,170,167,855,2570,72764,T
635632834,3107,103,254774,170,743,427,2417,71972,F
200160779,788,52,70132,170,1176,1710,2772,72594,T
179451924,3111,71,236436,170,282,427,1696,72715,F
885181655,762,55,55626,170,2353,1282,2517,72295,T
471132493,3139,64,244842,170,143,1710,1670,72183,F
686211790,3086,81,243794,170,172,855,1859,72896,F
005672808,709,43,26942,170,2353,1710,2438,72472,T
602787066,650,52,53300,170,173,855,3011,72913,T
289177876,3100,79,192200,170,155,427,2220,72413,F
445241769,819,64,27027,170,1384,1710,2656,72039,T
517275300,3178,77,314622,170,179,427,1765,72019,F
823004608,827,20,62852,170,555,2138,1768,72869,T
162235994,3133,84,175448,170,941,427,2051,72148,F
022410137,610,49,61000,170,147,1710,4087,72701,T
782417317,3252,109,198372,170,452,427,1740,72913,F
542951801,798,67,16758,170,267,855,3674,72622,T
060321144,3152,52,72496,170,3069,427,1928,72319,F
526357555,673,23,48456,170,232,427,4226,72166,T
345623282,3316,76,275228,170,169,427,1771,72232,F
816675010,3160,64,94800,170,248,427,1700,72477,F
211119274,692,38,53976,170,144,1282,3412,72599,T
498386058,794,24,61138,170,159,1282,2997,72557,T
939181987,3049,77,125009,170,916,427,1886,72236,F
422456283,607,42,23066,170,337,1710,2866,72562,T
898660305,3185,89,261170,170,336,427,2715,72065,F
199968516,609,47,20706,170,273,1710,3379,72202,T
017077353,3252,98,321948,170,467,427,2647,72855,F
355667104,706,68,55068,170,941,2138,3544,72009,T
926835275,3166,56,294438,170,534,427,2513,72163,F
474381796,810,66,47790,170,256,1710,4192,72541,T
696219137,3317,89,248775,170,169,1282,1797,71993,F
726461737,656,64,50512,170,636,1282,2597,72053,T
810324613,3291,72,306063,170,168,427,2680,72457,F
245870390,678,52,42036,170,183,2138,2719,72474,T
828353305,3136,61,125440,170,301,427,2082,72157,F
943203551,3172,98,272792,170,705,427,2586,72893,F
498259119,749,30,59171,170,497,2138,2188,72189,T
795431122,699,29,46833,170,217,855,4029,72189,T
584177183,3207,104,221283,170,784,1710,1782,72434,F
998494772,886,33,29238,170,653,427,2163,72130,T
114562704,3121,107,159171,170,398,427,1872,72406,F
319188729,709,27,66646,170,358,1710,3888,72376,T
573847024,3158,103,268430,170,2434,427,2956,72901,F
267777787,710,61,37630,170,241,1710,4188,72242,T
594505964,3172,88,98332,170,11766,2138,1671,72065,F
012088234,630,59,63000,170,928,1710,4076,72312,T
823954537,3250,77,282750,170,4152,427,2087,72586,F
984814928,734,34,56518,170,198,1710,3128,72036,T
938123953,3179,100,282931,170,173,427,2209,72154,F
645179940,629,46,32079,170,871,427,1968,72592,T
080328746,3264,65,323136,170,158,1710,1738,72831,F
011605807,760,40,30400,170,175,1282,2787,72445,T
004759559,3329,91,256333,170,149,2138,1972,72445,F
254848374,751,48,71345,170,1138,855,2740,71949,T
918856274,3122,50,268492,170,2353,427,2132,72375,F
793301390,691,69,42842,170,231,1710,2635,72049,T
854000043,3324,48,265920,170,241,427,1804,72816,F
043758430,645,62,45150,170,941,427,2527,72796,T
811038805,3203,111,169759,170,146,427,2122,72705,F
622922258,676,8,66924,170,165,1710,2712,72128,T
533406922,3319,70,268839,170,156,1710,1886,72706,F
143183073,747,26,50796,170,277,1710,3562,72703,T
489970908,3244,87,256276,170,185,427,2065,71991,F
539029052,3173,102,304608,170,480,427,2367,72425,F
100696537,896,73,41216,170,515,427,4223,72012,T
095702071,3113,111,298848,170,337,1282,1687,72473,F
245214688,677,62,42651,170,344,1282,3152,72597,T
645953198,653,13,53546,170,458,2138,3353,72132,T
049017191,3169,84,199647,170,438,427,2320,72735,F
671860152,3236,101,313892,170,199,1710,1835,72547,F
797933292,853,31,65681,170,227,1282,2683,72319,T
286431799,650,40,27950,170,232,1710,4235,71979,T
005322443,3086,88,111096,170,202,427,2059,72393,F
463136075,746,54,61172,170,289,855,1943,71925,T
574394372,3041,72,270649,170,190,427,2545,71955,F
