userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
894605583,4965,165,1176705,2604,9616,1011,6565,382534,T
138522590,3121,323,552417,976,7979,1516,8981,381876,T
397958038,1907,6,76280,864,10417,505,5026,382736,F
009224391,1459,17,29180,895,5515,1516,8042,382348,T
005217182,1985,30,79400,1420,5435,1516,4875,382698,T
620808610,1392,8,182352,784,6944,2527,6875,382202,T
959318127,4988,187,847960,1556,20834,505,4876,382177,T
190631400,1946,1,202384,844,75005,1011,6452,382673,F
700429169,1309,31,51051,801,28848,505,8898,382581,T
204453831,3060,338,413100,1035,16305,2527,4448,382306,T
151061132,3125,361,637500,1696,12097,1516,4995,382369,T
458768802,1299,17,33774,1420,7353,2527,6808,382483,T
681807507,4914,184,1223586,846,5859,1011,4023,382109,T
711746029,1377,1,55080,2106,13889,2527,8512,382142,T
617884076,3039,321,398109,782,6466,1011,9035,382010,T
118341407,3090,354,698340,2404,3989,1516,4712,382334,T
590846723,2073,12,364848,794,10417,2022,4853,382368,F
236776264,271,1,29268,837,46878,1516,4022,381835,T
401335763,3041,332,735922,1470,28848,505,6724,382181,T
116157185,4886,198,1114008,1704,17858,1516,8674,382379,T
749667397,3152,347,680832,1549,8929,1516,4603,382307,T
206634153,3079,330,658906,2232,5682,2022,4076,381921,T
445057135,3169,353,589434,916,8152,1516,4870,382828,T
445159004,3043,350,371246,1575,4261,1516,8119,382650,T
577930147,125,1,12875,1096,5769,505,6480,382561,T
635524453,1896,23,41712,1569,4518,505,6505,381839,T
569583685,1389,4,179181,1157,10135,1516,8131,381869,T
414114980,3007,331,523218,2404,4213,1516,8428,382370,T
383489720,3066,347,714378,1777,7353,505,8259,381876,T
109981209,1390,13,16680,3289,25001,1516,6299,382045,T
989943604,3124,358,309276,3676,22060,505,4761,381915,T
769459810,3078,330,661770,3024,4310,505,8574,382209,T
774875669,3155,324,217695,1728,5282,505,8884,382149,T
115422728,1963,1,266968,1752,8721,2527,4941,382366,T
258617322,3148,353,491088,1074,22060,2022,4519,382051,T
578711649,1407,21,233562,974,8721,1011,8550,382063,T
184749543,5004,194,965772,1623,8152,2527,4040,382148,T
256046916,1941,3,199923,892,4213,2527,4086,382479,F
088545267,3141,336,113076,1875,4076,1516,8297,381968,T
559814142,2987,335,98571,2976,13393,2527,4815,382667,T
711919123,2022,28,206244,3205,26787,2527,5019,382733,T
430545077,101,1,7474,842,5682,2527,4225,382282,T
140058868,2009,14,347557,1984,19738,1516,8962,382621,T
703087666,3134,329,670676,1589,4121,1011,8801,382271,T
270702556,1948,20,220124,4747,18751,2527,4481,381839,T
239519026,1345,1,318765,1194,53575,2022,8337,382690,T
183498815,3087,327,250047,997,5952,2022,4668,381838,T
120504408,4849,161,1212250,1090,8523,1011,6296,381994,T
379143646,1997,25,217673,5000,34093,505,6957,382351,T
989178043,4850,193,1134900,2659,7353,505,8665,382394,T
400788720,3088,360,497168,1530,19738,2527,4824,381911,T
623984000,3167,330,351537,1349,5597,505,6650,382220,T
229939911,293,1,27835,774,13393,1516,4288,382223,T
461103863,1409,13,270528,944,11364,2527,4619,382374,T
074254168,1407,30,125223,2373,5682,1011,8872,382364,T
090279887,1370,3,83570,3409,23439,2527,4806,381918,T
913532945,2070,22,260820,1442,62504,2022,4929,382122,T
290398720,3135,351,238260,1005,8721,1516,8227,381970,T
720379787,3074,331,504136,760,6048,1516,8809,382810,T
376934443,1907,21,402377,1696,6944,505,6687,382122,T
001591993,3106,359,540444,750,22060,1011,7000,382291,T
111465288,1302,12,179676,1030,4121,2022,8384,382712,T
514587411,1332,11,121212,1164,10135,2527,8443,382172,T
649715256,3078,333,461700,1512,5435,1516,4805,382297,T
501856705,3098,332,275722,1311,8721,1011,8127,382175,T
874344846,4824,195,1143288,2604,8929,505,8631,382035,T
376037675,2040,1,338640,3906,12500,505,4188,382793,T
479858725,1916,21,410024,971,6250,505,4090,382204,T
355549708,3170,342,234580,1549,17858,1011,6948,382590,T
721399940,1975,14,345625,2027,12932,2527,4860,382012,T
657821720,3045,322,648585,2219,12097,1516,8579,382274,T
887791243,3140,331,480420,1229,5769,1011,8361,382176,T
193565671,3027,353,320862,1062,6579,1011,6219,382799,T
553639545,152,1,17632,1183,7212,505,6214,382656,T
336669553,1336,30,24048,1150,4629,1516,7027,382345,T
626466309,2013,9,225456,789,7653,505,8161,382486,F
867510263,3089,343,89581,844,37502,1516,4340,381967,T
304675050,2998,325,29980,4573,10135,505,8979,382770,T
760707863,3096,354,495360,2952,5137,505,8557,381872,T
105382228,176,11,36960,866,6250,1516,4409,382481,T
969170834,2993,361,308279,1038,5435,1516,4208,382204,T
816885010,2005,11,130325,850,7979,1011,4697,382289,F
112098812,187,1,41514,753,20834,1011,4201,382606,T
