userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
424292457,1572,5,150912,756,1404,2527,4000,382622,T
093090727,2144,24,212256,756,797,505,4750,381944,F
597299909,1370,4,57540,756,2343,2022,8863,382191,T
509457468,2002,1,150150,756,2049,1011,4531,381884,F
772784964,289,1,23987,756,3750,1011,6257,382105,T
699342991,1900,14,176700,756,1409,2527,4073,381894,F
461316863,1317,5,86922,756,1065,1011,6342,382826,T
431338682,2152,1,101144,756,1038,1011,4133,382628,F
686483043,1427,12,122722,756,914,2022,4765,382640,T
232093161,2166,1,214434,756,10135,1011,4090,382148,F
301839097,3189,343,306144,756,1820,2022,4288,382693,T
637711030,2148,23,161100,756,1736,1011,4576,382097,F
034819270,1393,28,61292,756,1320,2527,6065,382790,T
142063294,1940,6,135800,756,1302,505,4375,382734,F
493814211,3217,355,164067,756,850,2022,4747,382472,T
411442833,2064,1,183696,756,7212,505,4224,382144,F
399453983,152,39,12920,756,986,1011,4344,382742,T
306865291,1912,16,116632,756,1129,505,6612,381933,F
100550180,3228,358,187224,756,846,1516,4592,382109,T
440640076,1975,20,163925,756,2373,2022,4102,382307,F
624004327,1316,41,56588,756,6818,2527,6247,382079,T
935121965,2088,1,116928,756,2819,505,8711,382448,F
787989377,1326,1,78234,756,3409,2022,8887,381856,T
475955403,2162,1,164312,756,1436,1011,5034,382128,F
003914555,1487,61,68402,756,1689,2022,4112,382457,T
577507077,2083,49,70822,756,1409,1011,4918,382774,F
406869667,1358,24,70616,756,892,2527,4169,381906,T
848149819,2057,14,187187,756,1030,1516,4404,382318,F
025483004,3019,323,66418,756,852,1011,4311,382592,T
887753257,2159,1,129540,756,1488,505,6961,382735,F
701641968,294,3,12348,756,1894,1516,4455,382463,T
930938383,2027,8,131755,756,3947,505,8256,382197,F
529026183,1510,38,49830,756,1530,2527,8977,382585,T
462866074,2085,10,43785,756,778,1011,4001,382521,F
199631259,1401,1,140100,756,846,2527,8415,382152,T
057305624,1986,1,190656,756,1171,505,4845,382685,F
576352431,144,44,9072,756,6466,1516,4434,382756,T
274919834,2044,41,155344,756,1666,1516,4076,382691,F
444954424,2038,9,75406,756,1537,1011,4815,382768,F
576996577,1538,47,33836,756,3606,2527,6134,382689,T
208972717,3212,356,138116,756,794,1516,6082,382784,T
744928075,2041,1,167362,756,3989,1011,4160,382514,F
861977781,2046,59,45012,756,5769,505,6142,382101,F
542496315,1331,57,77198,756,1470,1011,8447,382818,T
524813692,2140,8,121980,756,791,1011,4153,382544,F
195875284,3269,331,199409,756,1856,2527,6148,381899,T
970433616,1353,1,35178,756,837,1516,4238,382388,T
359311773,1900,46,119700,756,1146,1011,4386,382354,F
419214954,1987,10,47688,756,2259,1011,4687,381850,F
400141258,3086,390,101838,756,778,1516,6300,382683,T
950088247,3178,340,190680,756,925,2527,8197,382425,T
228953284,2105,1,172610,756,6944,505,8412,382037,F
098163142,1493,31,65692,756,3099,1516,6850,382324,T
625126424,2071,23,176035,756,2757,505,5021,381845,F
001520177,126,1,3528,756,3606,2022,4335,382818,T
663887431,1976,60,189696,756,956,505,4833,382011,F
473595997,1981,1,166404,756,1436,505,8530,382521,F
029025771,1287,62,59202,756,771,2022,6161,381884,T
775635401,1402,53,102346,756,1994,2022,6536,382647,T
993724453,2044,32,83804,756,6944,505,6369,382568,F
075272662,3151,359,267835,756,2155,2022,6413,382437,T
046512448,2175,1,71775,756,3409,1011,4167,381921,F
472640496,366,27,12078,756,1258,1516,4141,381968,T
166350907,2014,54,142994,756,781,2527,4051,382021,F
922570199,1357,41,103132,756,1415,2022,6589,382130,T
593618921,2106,48,202176,756,1112,505,6450,381878,F
699049952,3180,379,276660,756,1008,2022,4234,382293,T
544565945,2011,6,176968,756,3906,505,5000,382200,F
512077237,1323,47,125685,756,1035,505,6075,382054,T
288186770,2152,1,172160,756,3125,505,6419,382769,F
155151233,2980,360,86420,756,2286,505,4799,381946,T
345390128,1987,46,170882,756,1666,1011,4348,382554,F
509640547,3267,351,81675,756,1720,2527,6359,382716,T
933954587,2025,24,190350,756,23439,1011,6368,382536,F
075126628,1541,57,138690,756,3261,1516,5044,382657,T
184007234,2118,1,165204,756,1005,1516,4287,382655,F
350772028,3053,379,293088,756,1363,1516,4489,381981,T
972401936,2111,1,202656,756,1453,505,4622,382651,F
555215304,1580,28,34760,756,1221,505,9036,382551,T
155132464,2054,1,149942,756,2095,505,4796,382579,F
434551587,2991,351,266199,756,2106,1011,8655,381988,T
683416036,2031,17,148263,756,1284,1011,4635,382407,F
932292671,1547,16,94367,756,2314,505,8217,382299,T
241590034,2108,57,193936,756,2737,505,9028,382745,F
926568690,148,22,14060,756,2329,505,4172,381976,T
823888270,2024,21,105248,756,5067,1011,4397,382009,F
892245570,3264,331,287232,756,1041,2022,4281,382366,T
298799941,1990,12,89550,756,6696,505,4789,382039,F
739747122,102,42,6222,756,897,505,8346,382734,T
206277886,2047,1,131008,756,840,505,4500,382818,F
679890566,228,33,22572,756,820,2022,4307,382727,T
285781782,2021,1,74777,756,15001,505,6652,382276,F
970438918,3052,321,143444,756,1275,1011,6509,382094,T
430944808,1895,47,172445,756,1378,505,7010,382755,F
666747542,2174,15,160876,756,937,505,8470,382284,T
189752629,2120,1,192920,756,2300,1516,4179,382713,F
081333420,2028,25,123708,756,1297,505,8808,382199,T
042906073,2133,13,166374,756,7353,1011,4727,381896,F
524331934,1347,1,127965,756,818,2527,4946,382004,T
951536207,1928,22,156168,756,1093,1011,4983,382585,F
