userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
914538356,4959,53,520695,2950,2701,514,4995,265923,T
158457508,1961,4,396122,735,11666,514,6447,266045,T
428961926,2074,16,309026,2467,13508,514,3606,266191,T
970766088,973,45,150815,750,3614,1028,3136,265897,T
792554163,4923,38,1151982,897,3248,2570,4923,266102,F
813593172,2083,1,308284,555,4207,2570,6815,266362,T
394972902,4815,50,476685,1536,18333,2570,6417,265862,T
198001689,1983,11,202266,653,3830,1542,3705,265736,T
672833795,2030,1,176610,729,3666,1542,6788,265452,T
462472995,2113,8,65503,1034,7548,1542,6410,266406,T
180899364,2105,1,103145,2005,6260,514,6463,266217,T
077785505,4892,28,415820,1379,2883,1028,4881,266391,T
695900171,956,48,203628,614,51332,514,4655,265950,T
420036094,2124,1,299484,664,4207,2570,6447,266413,T
476088591,2046,15,337590,579,15097,514,3281,265859,T
698735953,4819,50,732488,1006,2566,1028,6329,265632,F
288637313,2020,31,325220,794,5703,514,3164,265760,T
198573276,1994,1,410764,1604,23332,2056,6526,265788,T
681692873,4958,58,1199836,3564,3774,2056,6412,265762,T
622658100,2088,25,127368,1092,3564,1542,5148,266048,T
927059914,4845,37,130815,1466,4583,1028,3877,266393,T
960054957,2095,1,25140,752,7777,1542,5489,265457,T
954362077,2015,26,384865,975,4842,1028,4941,265630,T
994995685,4781,55,1147440,1944,3377,1028,6895,265620,T
790741310,2033,1,485887,940,3948,1028,3702,265741,T
506997618,2090,1,319770,2592,14259,1542,3368,265836,T
674327136,2133,3,281556,789,2984,514,3756,266100,T
024839663,2038,1,211952,661,3092,514,7082,265892,T
548505630,4772,35,634676,2444,3830,514,5054,266320,T
020961110,2097,2,23067,1887,12833,1542,6326,266341,T
279815991,957,61,105270,1078,4139,1028,3826,266189,T
438538603,1050,64,200550,2037,36666,2570,3038,265598,T
000262486,4903,44,524621,633,4666,2570,3744,266012,F
811877369,2063,1,511624,601,3888,2570,5520,265579,T
333925723,2132,29,110864,565,3208,2056,6388,265595,T
005347158,4909,27,1060344,722,3564,1028,3559,265828,F
567481509,2101,21,172282,720,21388,514,5291,266160,T
980353144,2099,13,409305,809,3666,1028,6137,265913,T
611570698,2120,24,144160,2701,25666,2056,7083,266147,T
341816606,2005,17,74185,3130,2646,514,4605,266163,T
192599961,4858,43,548954,855,14259,514,6787,265876,F
343126663,2108,1,430032,777,2619,1542,6205,265449,T
694845888,2030,5,269990,630,5347,2570,6168,265939,T
588621419,2048,19,473088,517,2759,514,5235,266221,T
472522093,1043,68,132461,1944,28518,514,7058,265938,T
441799282,1938,31,195738,858,19743,2570,6302,266067,T
015463301,4951,58,336668,3019,3888,514,5113,265650,T
282513699,2060,4,121540,1125,4010,514,5603,265708,T
005733113,1070,71,258940,2883,3422,514,4589,265511,T
362635042,1484,28,46004,3248,3774,514,3517,265549,T
459952064,2127,13,425400,1433,5703,2570,3408,265748,T
327864591,1957,1,479465,2984,2646,1542,3152,265965,T
294429210,2116,10,446476,556,6260,514,3206,265887,T
365584268,2021,1,406221,833,23332,514,7108,265957,T
272774129,2125,3,48875,933,4074,2056,5423,266096,T
965853891,2016,27,459648,514,32082,1028,3705,266423,T
008237130,1963,1,259116,1645,3377,1028,3043,265829,T
106915542,4906,51,1211782,1252,7333,514,5246,265912,T
340997922,2096,10,339552,718,3719,1028,3369,265786,T
507427760,4959,46,1036431,954,32082,1542,3616,266226,F
419251000,1943,19,417745,722,2646,2570,6537,265757,T
601561819,4792,35,829016,739,4425,1028,3610,266363,F
318734020,914,48,90486,661,4753,514,3330,266149,T
070765104,2106,1,98982,855,4502,2570,4612,266290,T
497170644,2091,14,307377,804,4583,1028,3261,265995,T
985323915,1423,3,39844,2175,18333,1028,3380,266026,T
007232284,2042,1,73512,2619,11666,2056,4731,266334,T
519057687,2083,24,139561,523,3564,1542,4953,265572,T
738207657,1981,2,416010,1441,4502,1542,3906,265887,T
892780472,2052,1,404244,3055,8850,514,4996,265623,T
843727946,1961,3,174529,699,4074,2570,5284,265612,T
457557740,2015,1,54405,804,11666,1542,4641,266396,T
108769236,2048,3,129024,2138,2984,1542,3210,265849,T
741616597,4905,30,465975,2491,3774,514,7047,266444,T
708227405,2018,22,155386,3564,5703,2056,4594,265706,T
982018581,2119,1,305136,1289,5968,1028,6360,265794,T
605437264,1950,3,374400,1204,15097,2056,3852,266359,T
498558173,1948,1,40908,768,11159,514,6793,266149,T
936554099,2102,7,445624,524,8555,2056,6692,266390,T
302715168,1009,34,244178,817,17110,514,3168,266270,T
036748415,2008,11,114456,841,3333,2056,7106,266124,T
062613574,2099,22,323246,1536,23332,2056,6718,266359,T
355149721,1493,9,100031,916,6260,514,3448,266350,F
646343702,4840,37,77440,1156,5460,2056,3105,265723,T
636217922,1997,30,169745,1418,4583,1028,6662,266389,T
617206621,2053,1,207353,1289,3377,2056,6397,265721,T
715223321,2108,27,451112,2005,4277,1542,3529,266379,T
721140245,1064,68,57456,1634,5238,514,3189,265713,T
340325195,2035,1,480260,1199,23332,1028,7094,265578,T
426704806,2060,4,20600,1734,11159,1542,6394,266057,T
541492461,4926,55,467970,1536,6754,2570,5152,266184,T
493547016,1952,13,345504,1402,11159,1028,3075,265822,T
080447339,4817,42,496151,3377,2730,2056,3183,265659,T
088257614,2081,15,443253,1329,19743,1028,5325,266298,T
851672481,1943,1,301165,2193,6581,1028,7060,265621,T
891002476,2068,26,111672,2673,8850,514,6573,265670,T
749360485,4871,34,925490,716,3422,514,3397,266312,F
471048634,1946,1,89516,1034,8279,1542,6168,266053,T
580024653,1955,4,463335,523,6416,2056,4078,265892,T
539942811,2011,26,402200,870,6754,1028,6876,266264,T
