userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
442299791,2154,1,73236,517,521,1028,6341,266380,T
854789165,4979,67,438152,517,1372,514,3459,265720,F
889976676,1981,58,148575,517,782,2570,3325,265675,T
616441308,1478,18,39906,517,579,514,3485,265682,F
894262254,2183,53,113516,517,553,514,6461,265566,T
358708235,4934,79,379918,517,929,514,3746,265696,F
541592541,2105,32,126300,517,714,514,5566,265978,T
757895851,4838,40,348336,517,1624,514,3302,266025,F
051139601,2006,48,136408,517,950,2570,4931,265698,T
797492460,5055,41,424620,517,576,514,3329,265776,F
042281827,4883,87,478534,517,836,1542,3291,265483,F
596748439,1978,14,114724,517,1289,1542,3183,265721,T
376825634,1316,16,131600,517,1222,514,3239,266089,F
972037765,951,69,72276,517,867,1028,3121,265535,T
289789168,2137,1,145316,517,1757,514,3900,265968,T
492850516,5022,70,381672,517,4139,514,3239,265879,F
779282625,2064,51,41280,517,518,514,5571,266327,T
259776023,4773,84,415251,517,12222,2570,3364,266434,F
004714697,1989,8,129285,517,957,2570,5153,265761,T
016830488,5021,53,451890,517,929,2056,3369,266400,F
834161519,2232,1,93744,517,2851,1542,6490,265701,T
381294800,5051,58,378825,517,3614,514,3096,266226,F
279248090,955,62,63030,517,797,514,4933,265842,T
259983425,1431,6,128790,517,1645,514,3184,265588,F
933997416,2200,1,96800,517,612,1542,5174,266445,T
477569552,5033,40,166089,517,15097,514,3359,265448,F
973782001,4888,48,488800,517,2646,1542,3287,265808,F
985027789,2132,59,121524,517,729,514,5352,265820,T
686231225,2065,20,105315,517,4074,1542,5566,265534,T
020557654,1327,29,107487,517,720,514,3467,266185,F
696345126,2137,12,68384,517,679,1542,6577,265707,T
083961311,4778,42,410908,517,664,1028,3299,265753,F
078114057,931,70,76342,517,1239,514,4769,266195,T
976335428,1417,27,48178,517,671,514,3574,265766,F
555079173,2113,50,126780,517,580,1028,7035,265575,T
494747779,5059,75,490723,517,1228,1028,3729,265481,F
202130387,2032,54,160528,517,707,2056,4942,266050,T
028027969,4960,67,446400,517,707,1028,3571,266279,F
416528388,2061,18,158697,517,2121,2056,5281,265574,T
109628709,1333,34,30659,517,540,514,3068,266021,F
289356916,1972,13,149872,517,1120,514,4787,266424,T
555198146,1504,13,49632,517,524,514,3442,265931,F
092947277,2074,19,153476,517,1410,1028,6875,265607,T
208108092,1343,1,118184,517,3092,514,3547,265813,F
950796434,2120,9,65720,517,1030,1542,7118,265652,T
676038842,4817,37,462432,517,1087,2056,3470,265696,F
350573215,2140,46,199020,517,640,2056,3294,265464,T
997023494,1377,6,130815,517,1106,514,3718,265807,F
110226892,2023,56,89012,517,3515,1542,3451,265478,T
372592216,4983,61,368742,517,746,1028,3791,266149,F
640247294,2067,37,134355,517,3666,2570,3288,265964,T
457563304,1492,9,85044,517,553,514,3363,265840,F
214702323,2211,49,152559,517,5833,2570,4802,265688,T
997688488,4923,76,467685,517,523,2056,3845,266366,F
553020841,2213,58,199170,517,36666,2056,5092,266453,T
346729248,1341,37,45594,517,841,514,3074,265949,F
553639385,2201,1,96844,517,9506,2570,5189,266085,T
496561989,5028,74,427380,517,9506,514,3360,265603,F
974289495,2157,11,75495,517,3377,1028,6440,266194,T
348651993,1297,36,64850,517,852,514,3925,265485,F
723306762,2095,34,94275,517,1111,514,3220,265658,T
913070858,4944,51,449904,517,680,2056,3035,266394,F
786130647,1979,19,106866,517,9166,514,3300,265540,T
945039948,4995,66,234765,517,11159,1028,3834,265476,F
345975743,2121,23,212100,517,2291,2570,6222,266071,T
571225118,1438,16,71900,517,4277,514,3156,265506,F
852265726,2027,49,168241,517,632,2570,3185,265933,T
910275880,4880,63,351360,517,2037,514,3327,265791,F
903556269,1950,54,173550,517,1807,2570,3301,266335,T
247831148,4941,51,449631,517,2950,2570,3890,266262,F
910473793,2172,55,58644,517,833,1542,3550,266136,T
735000979,4901,85,318565,517,538,1028,3316,266327,F
491716576,1942,44,46608,517,1002,514,5394,265709,T
908091855,1467,29,63081,517,1276,514,3533,266075,F
541213920,2043,41,140967,517,936,514,6226,266370,T
482852677,1440,1,56160,517,1210,514,3625,265651,F
587580509,1965,42,70740,517,1210,2570,5105,265594,T
944951608,4926,44,374376,517,1171,1028,3430,265643,F
355253582,2122,1,125198,517,611,2570,3601,265699,T
353165916,4814,65,462144,517,1915,1028,3987,265907,F
212301211,1974,54,53298,517,547,2056,3693,265513,T
764281148,1504,10,124832,517,1833,514,3348,265458,F
961696354,1983,20,105099,517,849,1028,4748,265545,T
289395974,1427,7,114160,517,746,514,3739,265658,F
337500964,2053,17,96491,517,599,514,5412,266359,T
083430195,1554,1,32634,517,1264,514,3412,265741,F
145030875,918,88,43146,517,585,514,4059,266026,T
851253060,4832,52,463872,517,5133,1028,3125,266013,F
465221961,2211,2,137082,517,1087,1028,7101,266251,T
488215052,4960,86,391840,517,735,1028,3577,265466,F
731825400,2005,22,96240,517,2673,514,3925,265469,T
023774955,5013,84,380988,517,1959,1028,3970,265647,F
658250290,975,75,76050,517,1833,1028,3372,265717,T
142699160,1330,4,51870,517,794,514,3503,266141,F
825132799,1069,96,65209,517,599,514,4049,266102,T
363055920,1524,4,39624,517,532,514,3361,265929,F
596194038,2117,1,182062,517,3055,1028,5086,265477,T
798442817,4935,71,325710,517,2312,514,3842,265944,F
091841480,2046,23,135036,517,547,1542,3327,265777,T
151994794,4976,30,378176,517,15097,514,3078,265874,F
