userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
031980188,1461,4,62823,296,14002,2533,10990,127762,T
601554677,1385,21,234065,390,4065,1013,10784,127711,T
472930201,2558,100,401606,361,3073,2026,10567,128166,T
526823220,2554,134,168564,358,2210,2533,6053,128087,F
469420227,1356,23,188484,851,1355,1520,5822,128257,T
979212260,1669,1,370518,1400,7001,506,8417,128420,T
462379644,1459,9,285964,750,1285,1013,8214,127668,T
236927331,2617,103,28787,415,5251,2026,5132,128351,T
116230920,1441,7,194535,312,2800,506,5160,127713,T
477261350,2556,106,610884,264,1826,2026,10160,128272,T
340242881,2641,128,338048,1774,6001,506,10530,127861,T
218213049,2556,105,449856,433,4667,1520,10679,127927,T
216151062,1509,7,72432,518,1615,2533,10789,128275,T
279536041,1472,8,66240,275,2471,2026,5157,127904,T
881172699,1441,25,232001,863,2250,506,10911,128037,T
617540700,1437,2,324762,543,2930,2026,5747,128398,T
887498349,1430,11,233090,459,1299,2533,7608,128405,T
185676480,1350,8,207900,1032,1369,506,5426,127677,T
061480173,1486,4,343266,296,3150,2533,8472,128110,T
754393776,1440,2,54720,339,3316,506,10267,127775,T
915020185,2698,127,172672,276,1482,1520,6059,128377,T
767110150,2605,114,466295,475,1853,1520,5147,128231,T
622364470,2729,95,529426,414,4065,1520,5392,127752,T
486716660,1447,25,360303,258,1774,506,5156,128040,T
826367326,1410,22,179070,279,1518,506,8318,128224,T
124424860,2704,114,89232,286,1312,1013,10861,128492,T
011706617,1378,11,141934,639,1465,506,8025,128343,T
332730830,1362,1,123942,271,7876,1013,7645,128436,T
850861283,1319,1,199169,371,1555,506,10973,128047,T
345604902,1432,10,30072,311,1272,1013,5322,127701,T
782256748,1488,1,325872,430,6301,2026,10429,128178,T
643460320,2677,101,452413,567,5728,1013,10088,128145,T
070872120,1444,19,297464,516,4345,2533,7950,128138,T
232647724,1481,15,186606,663,1826,2533,10769,128468,T
498836670,1466,1,68902,349,1555,1520,10945,128434,T
372375736,1446,1,263172,311,1969,506,11119,127598,T
345518757,1368,22,236664,575,4667,1520,5816,128136,T
551845249,2709,129,579726,252,1355,2533,5244,127616,F
914355350,2612,101,436204,387,1355,2026,6061,128138,T
540893540,1507,7,39182,1000,2032,1520,5798,127699,T
551511885,1361,1,133378,268,2172,2026,10135,128450,T
997425927,1458,17,74358,391,3706,2533,5196,128352,T
428448994,2639,129,116116,254,1938,1520,5927,128312,T
528431938,2535,118,225615,285,7876,1520,10656,127613,T
603172731,1405,1,71655,424,14002,2533,7601,127692,T
406930700,1542,16,20046,1369,3150,1520,7855,127691,T
939105487,1444,11,118408,992,1595,1013,10335,128523,T
528958859,1479,1,202623,591,3316,1013,10785,128087,T
593112101,1458,1,364500,741,1969,506,8070,127738,T
775461406,1466,21,231628,594,1826,2026,5569,128462,T
961557207,2716,129,263452,413,1432,1520,5860,128157,T
588428267,1453,1,190343,684,3000,2026,7967,128120,T
341185063,2577,113,610749,339,1658,506,6058,127587,T
241257543,1522,25,375934,459,5479,1520,8050,128458,T
146627235,2600,109,644800,333,1969,506,10380,128126,T
887541703,1429,8,228640,262,9694,2533,8097,127938,T
038010737,1397,9,30734,255,12602,2533,5389,127945,F
855113407,1376,16,240800,259,1482,2026,10848,128410,T
357966574,2665,111,378430,1703,1432,506,5959,127727,T
817691577,2566,107,33358,293,1355,1520,11082,128462,T
328902594,2581,105,255519,402,7413,2026,10939,128317,T
223323238,2634,113,487290,522,10502,2026,8455,127734,T
087171027,1477,26,200872,285,1285,2533,5929,127816,T
440249888,1456,1,250432,557,2625,1520,5546,127665,T
884808748,2686,132,228310,630,1726,2533,8019,127628,F
161864001,2591,116,238372,326,2571,2533,10646,128042,F
346443729,2607,116,649143,364,1384,2533,5892,127698,F
755593912,2656,126,98272,302,3316,506,5596,128513,T
211715848,1348,24,272296,268,1260,1520,7598,127907,T
011944651,2566,112,143696,293,3231,2026,7878,128417,T
438557987,1493,10,71664,378,2681,2533,5345,127859,T
944759494,2632,104,594832,280,3600,2533,5269,128040,F
507742996,1472,1,178112,531,1938,2533,8225,127714,T
259525418,1464,13,207888,696,4667,1013,10694,128451,T
614661854,2684,131,509960,570,2100,1013,5075,128509,T
162434785,1414,3,281386,252,1500,2533,5520,127942,T
526303876,1374,1,190986,572,2423,2533,5141,128278,T
870029951,2609,94,380914,720,9001,2533,8169,128365,F
117223340,1472,1,289984,317,2172,2026,8303,127981,T
378649890,1427,22,248298,436,3150,1013,7594,128184,T
974923497,1418,1,174414,323,1260,2026,10834,128204,T
142005130,2680,107,511880,492,2520,2533,7923,128453,F
225082509,1375,1,239250,288,1285,506,5503,128335,T
015716056,1326,14,143208,470,2681,1013,10799,128332,T
990137043,1492,22,341668,252,1636,1013,10448,128063,T
140040323,1453,26,42137,887,2471,1013,5742,127898,T
738121045,1424,5,281952,275,1340,1520,7583,128049,T
823322798,2564,111,235888,623,3231,2533,10507,127852,F
149541972,1423,7,323021,290,2681,506,10556,127879,T
966919731,2690,119,352390,383,3231,2026,7768,128574,T
302152924,1484,13,148400,362,1384,506,10093,128479,T
876899260,1426,19,52762,1326,1482,1520,10299,127713,T
836336500,2593,113,510821,591,3406,1520,10966,128462,T
520102116,2603,102,635132,369,5251,506,10924,127839,T
630265344,1460,1,16060,555,1680,2533,10342,127912,T
691787937,1342,20,157014,411,2377,506,10513,127656,T
397863060,2705,132,481490,555,3938,2533,5584,127917,F
680848937,1343,1,326349,1000,1518,506,5625,128125,T
585990575,1343,16,273972,301,5251,506,8076,127806,T
985731952,2560,101,532480,445,1658,1520,5526,127818,T
549290408,1400,12,282800,538,4065,1013,5406,127749,T
239186998,1440,1,200160,354,3500,2026,5877,128283,T
296591458,2652,129,286416,337,4500,1520,5837,128508,T
665461998,2576,131,121072,525,1726,506,5663,128533,T
794224043,1400,15,51800,663,1465,2026,8011,127902,T
194351979,1474,1,132660,271,7413,506,5026,128136,T
466798635,1369,24,153328,407,6301,1520,5983,128174,T
