userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
790021277,2754,108,57834,253,745,1520,8084,127674,T
769376847,2671,155,205667,253,473,2533,5858,127988,F
605946908,2616,162,164808,253,463,1013,10623,128265,T
277534836,2759,100,80011,253,289,2533,5756,127761,F
767225592,2814,99,157584,253,481,1013,10705,127931,T
486484309,2673,117,106920,253,588,2533,5696,128492,F
624930502,2632,118,239512,253,2930,2026,8316,128013,T
150072552,2633,153,68458,253,2800,2533,5740,128361,F
358888004,2700,131,251100,253,802,1013,10192,127748,T
383386051,2724,109,59928,253,279,2533,5315,127996,F
624503842,2743,152,238641,253,401,2026,5210,127976,T
554280930,2545,109,145065,253,383,2533,5675,128502,F
408433650,2593,108,98534,253,415,1013,5520,128451,T
000882325,2810,161,213560,253,302,2533,5887,127653,F
606736502,2613,108,235170,253,875,1013,5561,127720,T
422102358,2746,148,107094,253,630,2533,5251,128227,F
128913617,2725,148,177125,253,797,1013,10169,128160,T
963336978,2607,126,237237,253,275,2533,8292,127810,F
706600773,2689,129,201675,253,255,1520,7799,128223,T
309475867,2556,145,79236,253,1726,2533,8351,128309,F
303535280,1425,53,31350,253,275,1520,5121,127613,T
769171190,2675,126,98975,253,724,2533,5276,127624,F
845620106,2547,133,183384,253,919,1013,10795,127946,T
953021670,2747,155,206025,253,1041,2533,8072,128514,F
071820016,1514,27,83270,253,1853,2533,8284,128412,T
011062395,2791,107,209325,253,510,2533,10098,128248,F
380931563,2638,100,232144,253,298,1013,8447,128067,T
346294901,2687,127,182716,253,807,2533,10594,128209,F
647712341,1359,27,55719,253,1615,506,10614,128009,T
097597898,2770,137,168970,253,692,2533,7576,127940,F
571089561,2538,133,162432,253,415,1520,5219,128307,T
846424967,2617,131,253849,253,256,2533,10307,128005,F
232286559,1418,13,73736,253,284,2533,5875,128424,T
271227893,2810,100,213560,253,353,2533,6008,128170,F
102853472,1540,7,80080,253,1050,1013,5969,127716,T
539421300,2643,115,84576,253,636,2533,5553,128336,F
586259595,2701,120,251193,253,1432,506,10367,128027,T
516760349,2654,139,79620,253,787,2533,5204,127985,F
729608179,1567,1,34474,253,787,1013,5794,128385,T
571640999,2769,155,202137,253,417,2533,7578,128059,F
801336923,2626,157,118170,253,3073,506,5216,128546,T
639366988,2773,109,58233,253,454,2533,8076,128367,F
771589459,2723,138,264131,253,265,1520,10979,127711,T
145191673,2640,125,124080,253,282,2533,5159,128294,F
432190177,2608,115,234720,253,291,1520,8404,127590,T
971903153,2671,136,104169,253,288,2533,7688,128040,F
637780344,2829,140,282900,253,586,506,7706,128239,T
051614515,2723,98,68075,253,411,2533,8280,128277,F
332626022,1456,5,100464,253,273,2533,8198,128561,T
383215296,2615,154,120290,253,1384,2533,5135,128049,F
183592586,1492,46,108916,253,14002,2026,5954,128262,T
313498456,2699,157,67475,253,1125,2533,8538,128144,F
780092401,1437,41,81909,253,555,1013,5349,127768,T
330408437,2689,103,239321,253,340,2533,8235,127673,F
882926399,1446,23,128694,253,2377,2026,11106,128469,T
125790688,2771,163,163489,253,688,2533,7569,128348,F
618830905,2686,129,104754,253,292,2533,5987,127909,F
367967270,2561,105,125489,253,428,2026,5852,127970,T
399402400,2602,117,59846,253,439,1520,5390,127904,T
689372416,2782,127,116844,253,1400,2533,8464,127853,F
062076366,1325,38,47700,253,385,1520,7581,128432,T
481853676,2826,149,194994,253,608,2533,10785,127980,F
240911994,1501,44,49533,253,336,2533,5792,128410,T
106697825,2567,164,241298,253,594,2533,8537,128534,F
085072260,1563,52,37512,253,818,2026,7560,128535,T
843693686,2706,112,192126,253,386,2533,10285,128098,F
998099489,2756,134,132288,253,962,2026,7769,128572,T
984491805,2653,155,206934,253,332,2533,6019,127971,F
510466560,1481,39,136252,253,417,2533,8359,128478,T
410796920,2622,105,157320,253,15753,2533,5204,127905,F
897301087,2700,113,97200,253,260,506,5750,128330,T
401298412,2645,98,153410,253,649,2533,7692,128150,F
097863664,1478,10,143366,253,1826,1013,8121,127660,T
704100916,2555,122,94535,253,339,2533,5399,128346,F
483646802,1505,44,72240,253,425,2026,7754,128538,T
821634729,2555,130,66430,253,1355,2533,5031,128291,F
296162981,2831,114,271776,253,1235,1520,8280,128207,T
940244976,2681,146,171584,253,1223,2533,7778,128228,F
501953187,1540,53,141680,253,403,506,5400,128452,T
931993053,2618,149,109956,253,1853,2533,7638,128006,F
016199207,2828,96,59388,253,386,1013,10897,128027,T
638263070,2753,162,68825,253,3316,2533,10683,127934,F
437270722,1545,56,57165,253,5728,2533,10123,128002,T
348460185,2719,104,184892,253,893,2533,5918,127933,F
912100044,2677,143,174005,253,1145,1013,5589,127576,T
989393261,2760,147,176640,253,1177,2533,10364,127966,F
743724804,2732,140,180312,253,442,1520,7788,128452,T
676087609,2793,106,100548,253,282,2533,8014,128521,F
398279999,2583,128,121401,253,262,1520,7964,127963,T
830663878,2742,119,175488,253,773,2533,10316,127823,F
431423360,2578,158,157258,253,745,2026,10934,128192,T
601158450,2817,115,264798,253,330,2533,5783,127963,F
105300958,1339,1,61594,253,264,2533,5086,128377,T
392701481,2687,100,112854,253,321,2533,5470,127781,F
722113336,2533,148,96254,253,802,1520,10726,127872,T
479313109,2808,164,235872,253,1016,2533,10486,128135,F
598263509,1584,39,90288,253,623,1013,7671,128355,T
616111919,2822,95,132634,253,475,2533,8395,127679,F
868241982,2576,94,77280,253,540,2533,5772,128467,F
489126457,1574,8,121198,253,4065,506,10655,128020,T
