userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
969887612,4273,63,905876,1274,5951,2308,4322,654274,T
345560126,4281,37,526563,2898,7663,1154,5297,654564,T
103795573,3136,330,420224,1700,22378,1731,4192,654704,T
799213551,4338,26,264618,3858,10172,1731,3703,654500,T
647293789,4387,27,829143,1172,8108,1731,4666,654575,T
295506557,3017,333,307734,2664,6581,1731,4753,654119,T
312070573,4414,50,1010806,2769,6286,1154,2948,654711,T
862435533,3109,338,348208,1177,5889,1154,4673,654568,T
557454261,3154,352,384788,1235,43036,577,5111,654783,T
031795539,4251,41,799188,1280,8607,1154,5192,654530,T
992324359,4319,35,552832,2869,19292,1154,2522,654096,T
349994850,4263,38,878178,1742,93244,2885,4250,654596,T
576249799,3151,322,598690,2079,24324,1154,3564,654838,T
872739769,2766,118,273834,1127,9815,2885,3573,654247,T
430896840,2850,119,91200,3656,19981,577,3076,654287,T
860825001,394,1,27974,1949,20721,1154,3573,653921,T
340125487,410,14,85280,1203,7992,2308,2388,654518,T
357010216,473,20,16555,1301,43036,1731,2587,654422,T
757624494,3042,360,532350,1545,8607,577,3672,654803,T
290855096,3042,334,212940,1575,20721,2308,3973,654385,T
951674736,429,1,10725,7459,50860,1154,3474,654809,T
541510552,4222,59,1038612,3609,7459,1731,4134,654649,T
768667786,5023,33,321472,1864,111893,2885,2895,654500,F
889458526,4242,51,602364,6430,14345,2308,3953,653909,T
372167724,4378,54,315216,1423,27973,1731,4667,654168,T
949991607,2750,125,55000,3831,12162,1154,5067,654560,T
155280791,4224,46,468864,1445,37297,577,3997,654791,T
194178616,498,22,95118,1409,11189,2308,5418,653838,T
131370753,502,22,120480,1621,7663,2308,4375,654045,T
670531382,4318,57,423164,3178,111893,2885,5183,654147,T
865142364,4355,43,535665,6216,15540,577,3761,654100,T
865818577,2990,355,714610,2127,9815,1154,4431,654409,T
152562900,3054,348,491694,4475,7172,577,3684,654648,T
