userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
471436378,4414,91,176560,1134,3609,1731,2358,654841,T
238360958,4967,20,144043,1134,79924,2885,3159,654804,F
989707871,2793,115,187131,1134,2064,577,3293,654031,T
904693678,4993,27,404433,1134,79924,2308,2412,653993,F
536887954,2998,347,149900,1134,2211,1154,4586,654081,T
221374017,5109,76,275886,1134,79924,1731,3065,653980,F
546430955,2942,112,185346,1134,3780,577,3841,654106,T
041422603,4391,29,250287,1134,1268,1731,2687,654104,F
543696598,325,1,7800,1134,1935,1154,2381,653917,T
004598845,4990,30,209580,1134,79924,2885,4838,654492,F
152139676,464,14,16704,1134,5040,2885,5527,654518,T
792939141,5007,38,330462,1134,43036,1154,3130,654323,F
905824793,2909,145,154177,1134,1216,2885,4260,654598,T
882270577,5114,20,419348,1134,31081,577,4356,654031,F
693041381,4275,95,294975,1134,2742,1731,3711,654465,T
549304699,5004,16,380304,1134,19981,577,2320,653863,F
596562821,3021,378,241680,1134,3996,1154,5577,654720,T
236822686,4309,31,275776,1134,1260,577,2777,654790,F
947113754,475,21,10925,1134,1645,1731,4199,654545,T
204461300,4949,33,336532,1134,25430,577,4768,654142,F
616520165,422,31,27852,1134,1607,2308,3656,654636,T
994685282,4450,28,360450,1134,1516,2308,2588,654640,F
295665340,485,1,29585,1134,1593,577,3462,654007,T
016222682,5063,66,131638,1134,37297,577,4767,653986,F
295996647,2977,351,250068,1134,1139,1154,2723,654488,T
191825760,4382,30,92022,1134,1549,2885,2715,654834,F
937685164,473,21,45881,1134,1445,2885,3569,654808,T
522077601,4991,15,339388,1134,37297,577,5048,654311,F
369970994,4236,59,245688,1134,1726,2308,3512,654752,T
397183736,5024,63,180864,1134,15984,577,2560,653980,F
663721692,543,1,13032,1134,3967,1731,2759,654205,T
609074322,4941,52,182817,1134,32909,577,3074,654216,F
195235310,2968,140,92008,1134,4585,1154,5570,653909,T
309174173,4346,27,299874,1134,3586,577,2607,654607,F
202931862,4422,89,380292,1134,2041,2885,3304,654773,T
122449534,4920,37,285360,1134,69933,2885,4843,654772,F
694499742,4471,84,93891,1134,1976,2308,4322,653874,T
816989122,5117,71,419594,1134,34966,577,2740,654161,F
244438434,395,20,35945,1134,1584,1731,3994,654675,T
345047887,4372,27,393480,1134,1224,2885,2518,654161,F
995823833,522,1,50634,1134,1325,1731,5101,654799,T
003491040,4360,25,244160,1134,4823,1731,2780,654106,F
806031807,2915,113,67045,1134,9646,2308,2927,654316,T
550564014,4481,31,125468,1134,16454,1731,2485,653840,F
871932594,361,11,8303,1134,25430,2885,2492,654260,T
019283768,4427,25,270047,1134,8227,2885,2647,654830,F
773163424,3002,385,282188,1134,4144,577,5516,653858,T
358842619,4966,61,173810,1134,69933,577,2677,654809,F
803670054,4352,48,304640,1134,3453,577,4767,654790,T
710146942,4434,30,403494,1134,3996,2308,2549,654059,F
066388247,382,41,8022,1134,1304,1731,5392,653926,T
868232972,5062,35,293596,1134,1631,577,2370,653926,F
564818930,3010,379,231770,1134,1562,1154,2846,654332,T
996511500,5022,73,180792,1134,93244,577,5506,654148,F
057474974,4324,46,112424,1134,1182,2885,4120,654506,T
412363564,4291,27,416227,1134,1381,1731,2378,653935,F
802711485,2867,161,220759,1134,1456,1731,4717,654452,T
924122067,4982,67,219208,1134,21518,577,3062,654350,F
789592182,2918,145,218850,1134,1224,2308,4971,654782,T
041710996,4468,31,428928,1134,6286,1154,2659,654286,F
398398759,4371,73,236034,1134,2027,1154,3243,653941,T
921546936,4986,62,398880,1134,24324,577,2542,654269,F
978057934,2868,150,192156,1134,1956,577,4995,654231,T
567221131,4254,29,93588,1134,2854,2308,2417,654844,F
510737940,3074,377,89146,1134,1351,577,2639,653858,T
948550305,4968,64,471960,1134,62163,1154,5185,654290,F
692959767,473,1,30745,1134,1325,1154,2810,654499,T
113796069,4949,19,331583,1134,93244,1154,4253,654612,F
550568378,515,31,13390,1134,3160,1154,3193,654708,T
797356718,5013,16,275715,1134,3967,577,2359,654421,F
995426052,4222,28,181546,1134,1364,2885,3285,654705,T
175359885,5084,15,203360,1134,21518,577,4972,654775,F
614138263,345,35,18630,1134,1456,1154,3908,654460,T
850027750,4959,24,396720,1134,29445,577,5564,654812,F
324668520,582,21,34338,1134,25430,1731,4406,654061,T
994302178,5080,23,121920,1134,111893,1154,4934,654535,F
390135862,2828,146,132916,1134,7172,2885,2578,653841,T
572449127,4865,51,160545,1134,37297,577,4593,654287,F
