userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
474271146,4177,143,1015011,891,6094,1200,4073,223632,T
394524304,2501,65,347639,462,9972,1601,4330,222843,F
924040381,1804,1,68552,1059,4875,800,8011,223317,T
787146367,4629,46,129612,1843,4570,1200,8946,223082,T
251421884,2349,140,216108,547,2261,800,8964,222954,T
916345746,2241,167,159111,772,2193,800,8936,222906,T
954550444,2490,94,547800,561,2334,1601,4028,223365,T
111543905,2429,86,417788,2130,3274,400,4513,223424,T
886083001,2439,81,563409,475,6268,1601,3991,223821,F
116536181,1686,20,62382,857,3274,400,8036,223233,T
268652501,4572,41,521208,493,5929,2001,6266,222870,F
733361960,2428,94,165104,3090,2581,400,4022,223188,T
952229186,2539,73,581431,623,2410,800,8631,223559,T
043980204,1848,2,27720,679,3718,800,4163,223279,T
524147322,1796,24,122128,1198,2581,800,4051,223419,T
073501013,4523,56,560852,1015,2334,1601,6340,223581,T
635392340,2287,147,441391,445,4769,800,6675,223716,T
244372675,4306,131,701878,527,3656,1200,4909,223429,F
220024111,2347,154,485829,438,3656,1601,8238,222891,T
619229444,2486,66,64636,860,11547,800,8902,223294,T
367395089,2529,75,217494,1044,18283,1200,6758,223564,T
461139986,2421,57,508410,2493,27424,800,8540,222920,T
715223072,2480,71,257920,468,3596,400,4997,223114,F
004465831,2412,79,24120,561,3538,800,6254,223779,T
307078612,1735,10,32965,551,4062,400,6966,223567,T
888188188,1763,1,52890,634,4387,400,8839,223664,T
410531554,2434,71,559820,1025,2465,1200,4594,223632,T
356516288,4567,35,639380,469,4769,1601,6701,222879,F
658593509,2551,87,63775,1075,3428,400,6533,223156,T
986089521,4549,57,545880,634,6856,1200,6863,223666,F
015695970,1803,18,55893,860,3375,800,8752,223690,T
162055778,2421,91,239679,556,7077,400,8798,223617,T
245542438,2336,149,91104,630,3375,2001,4605,222888,T
884453076,2332,174,298496,1054,5484,2001,4506,223416,T
786691410,2372,150,429332,1523,9538,1200,8858,223307,T
003676163,1865,1,104440,937,2216,800,6403,223246,T
518705323,2303,167,435267,2031,8125,400,8203,223142,T
909487775,4204,148,643212,1769,3917,400,4548,222841,T
251275218,2380,71,342720,685,4986,800,4560,223678,T
263090966,1684,19,218920,509,2521,400,4311,223810,T
173844245,4337,134,273231,1232,5773,400,6344,223355,T
106578047,2423,88,208378,2611,3849,1200,4334,223297,T
164827445,4169,143,50028,1674,3047,400,4339,222989,T
853415780,2523,96,280053,1283,8125,400,8490,223623,T
694297915,2380,163,259420,736,2285,1601,8086,223508,T
896974427,4605,47,842715,786,9141,2001,4727,223161,T
841433974,1708,16,223748,619,2708,1601,4643,223199,T
936304509,1689,9,72627,692,18283,400,8630,223257,T
061390243,4626,69,929826,558,2261,1601,4602,223806,F
372342812,2252,165,421124,549,5223,1601,8814,222929,T
296668403,2322,149,510840,1260,2925,1601,4357,223550,T
349619617,4221,127,422100,797,4477,400,8127,223369,T
602369366,1808,16,432112,611,5929,400,8401,222848,T
403657983,2405,92,353535,2708,36566,1200,8013,223505,T
820555655,2274,169,59124,1994,2437,1200,8278,223318,T
123040373,2281,145,520068,694,2521,400,6427,223462,T
525228767,2517,56,442992,547,2777,1200,4316,223778,T
819728045,4591,69,1032975,1006,3134,1601,4839,222938,T
966467803,4604,63,607728,2031,13712,1200,6274,223405,T
751561236,2818,36,476242,1212,43879,1601,8086,223370,T
859245433,4543,42,1044890,2964,10447,1200,4383,223348,T
375824967,2278,143,275638,526,4769,1601,4219,223084,T
323580181,1795,18,107700,599,4986,800,4965,223549,T
634221169,2430,66,449550,1091,3134,400,8536,223577,T
557031892,2367,156,33138,483,2581,800,8806,223074,T
934651934,2478,70,250278,857,3849,400,6525,223321,T
459987277,1688,1,108032,616,4301,800,8495,223278,T
471345587,2407,170,52954,588,18283,2001,8229,223708,T
866544150,2374,164,346604,628,2309,2001,4761,223013,T
686326091,2357,92,98994,488,3375,400,6124,223093,F
177356027,2456,70,525584,1136,8438,800,8237,223356,T
237391402,4482,58,1044306,533,4301,1200,3971,223119,F
188873403,4244,152,462596,552,31342,800,4722,222901,F
615512652,4502,36,364662,1080,3134,2001,4305,222993,T
380980539,4561,64,291904,2886,3047,1200,4343,223094,T
316951819,1778,1,94234,670,2285,1200,4396,223335,T
820066762,2535,69,187590,585,3596,1200,3958,223713,T
523445152,2433,143,523095,797,3596,1200,8033,223091,T
541348740,4349,130,126121,589,3226,400,4275,223814,T
412761915,4563,57,383292,489,3005,1601,8949,223741,F
811703686,2249,168,238394,2675,8125,800,8749,222993,T
801455065,4497,60,350766,2581,3989,1200,8852,223327,T
392032360,1775,11,209450,476,3005,1200,6634,223527,T
716582658,2410,165,436210,1649,3782,1601,3974,223323,T
270385576,2362,92,498382,470,5484,1601,4375,223360,F
172093010,2506,67,400960,641,2581,400,4350,222992,T
697024344,2380,83,145180,555,3596,1200,5970,223751,T
256923658,2393,145,521674,447,3324,2001,6287,222858,T
