userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
329109799,1741,1,128834,559,614,1200,6913,223217,T
652867119,4624,73,430032,559,743,1601,4532,223807,F
201781714,2462,187,93556,559,491,800,8954,223088,T
643458864,4239,141,423900,559,630,400,6059,223655,F
102849830,2413,169,168910,559,523,2001,4487,223408,T
077401029,4605,101,419055,559,3134,2001,4653,223226,F
128852316,2603,79,174401,559,853,800,6492,222865,T
214263744,4360,149,436000,559,8775,400,8273,223020,F
392384013,2428,197,60700,559,668,2001,4193,223264,T
474990069,4563,80,219024,559,1482,1601,4176,223501,F
271936699,2487,110,67149,559,3274,800,6187,223142,T
519426044,4667,61,378027,559,2216,1601,6203,223651,F
421897649,2377,83,171144,559,475,400,8829,222958,T
572844278,4565,40,356070,559,569,1601,6808,223249,F
774826053,2436,57,92568,559,517,1200,4446,223193,T
849388267,4301,136,408595,559,632,400,4715,223166,F
758302052,2651,59,227986,559,988,800,6830,223161,T
640217522,4446,123,435708,559,3179,400,6937,223750,F
970849965,2485,186,164010,559,3782,1601,8176,223390,T
920719714,4680,66,430560,559,577,1601,8030,223656,F
593826066,1839,1,93789,559,466,1200,6874,222922,T
069694058,4668,45,154044,559,834,1200,6570,223684,F
421361865,2387,135,221991,559,12188,1601,8257,223520,T
420034068,4572,70,292608,559,459,1601,4666,223326,F
854528269,2312,182,60112,559,925,400,8091,223106,T
708927681,4640,96,129920,559,645,1601,4692,223210,F
084890379,2598,79,67548,559,12188,800,6345,223159,T
804597553,4665,75,293895,559,18283,1200,4933,223705,F
297618117,1741,20,120129,559,2031,800,6259,223217,T
901777338,4550,75,163800,559,597,1601,4442,223381,F
000450959,2247,140,173019,559,1492,2001,4603,223353,T
690864248,4485,35,296010,559,569,1601,4458,222882,F
722498716,2256,163,194016,559,753,1601,8440,223219,T
392756081,4450,46,427200,559,780,2001,4622,223696,F
278824254,2430,194,240570,559,4570,400,6367,223415,T
109334035,4740,63,151680,559,685,1601,6992,223546,F
605770498,2396,174,100632,559,4769,1200,8732,223437,T
652525561,4483,74,313810,559,10447,2001,6153,223461,F
872452790,4317,131,388530,559,1976,400,8032,223733,F
072684607,2649,85,127152,559,626,400,6459,223676,T
776581521,1723,33,134394,559,594,1200,6024,223519,T
816909331,4687,103,206228,559,1136,1601,3961,222939,F
432100126,4610,73,419510,559,703,1200,4705,223724,F
561819926,2396,150,117404,559,759,1200,8022,223361,T
509658347,1698,31,108672,559,469,400,8686,223090,T
385095312,4554,59,232254,559,502,2001,4110,222883,F
526800043,2594,91,254212,559,710,400,6503,223505,T
413841176,4323,172,172920,559,464,400,4576,222942,F
473202619,2360,98,207680,559,556,1200,4668,223391,T
832019003,4715,40,207460,559,6648,2001,4979,223334,F
812773747,4263,137,251517,559,464,400,4576,223803,F
280459961,2416,200,159456,559,2109,1200,8800,223162,T
451620019,2504,116,92648,559,555,800,4622,223526,T
764620176,4383,141,232299,559,441,400,4822,223680,F
470715146,4329,167,259740,559,1136,400,4625,222996,F
292373947,2382,60,211998,559,937,1200,4883,223729,T
133501504,2550,75,219300,559,569,800,4699,222834,T
785550185,4234,161,84680,559,1625,400,4718,223015,F
332298664,2396,169,194076,559,1086,1200,8165,223221,T
089348540,4604,78,405152,559,8438,2001,6978,223425,F
302780689,2242,169,114342,559,1011,800,6870,223328,T
219127341,4502,71,288128,559,1813,1601,6246,223429,F
256807470,2466,118,113436,559,877,800,6164,223411,T
957451353,4564,35,392504,559,577,1601,6199,223108,F
945128648,2427,159,172317,559,724,400,8797,222898,T
333044964,4552,69,132008,559,43879,1601,6581,223618,F
817810877,4642,60,334224,559,2643,1200,6275,222928,F
603835708,2439,67,65853,559,5484,400,6650,223810,T
579879305,4559,51,341925,559,1482,1200,4929,223290,F
055488597,2601,86,80631,559,586,800,6762,223748,T
722999947,2498,162,172362,559,970,1601,4065,223234,T
771351992,4207,125,151452,559,1212,400,4580,223179,F
635969611,2492,161,166964,559,1260,1601,8543,223139,T
173571098,4644,42,390096,559,714,2001,6876,223138,F
814399903,2505,85,155310,559,806,400,8488,223690,T
659936126,4600,46,289800,559,1154,1601,4223,222954,F
577215521,1817,1,54510,559,490,1601,6204,223650,T
464745359,4397,135,118719,559,12188,1200,4275,223794,F
899033655,2234,193,109466,559,668,1200,6819,223485,T
168771390,4697,55,465003,559,459,1601,8081,223641,F
967125556,2506,116,92722,559,2521,800,6335,222933,T
654015951,4590,61,408510,559,677,1601,4030,223168,F
613805567,1784,1,169480,559,666,800,6195,223334,T
458683775,4552,39,355056,559,1406,1200,8130,223694,F
019240042,4613,47,442848,559,1828,1200,8688,223127,F
497083069,1847,49,110820,559,463,400,4931,223584,T
402041115,2327,155,79118,559,809,1200,6538,223672,T
288408971,4694,52,192454,559,1049,2001,4414,223468,F
081916342,4565,36,333245,559,3656,1601,6687,223240,F
827129158,2604,104,83328,559,442,800,6657,223370,T
863866708,2369,183,146878,559,1424,2001,4043,223771,T
221487263,4238,180,169520,559,19945,400,8829,223483,F
945617122,2248,162,139376,559,761,2001,6014,222903,T
095604898,4721,66,406006,559,459,1601,4082,223690,F
735470099,2426,187,60650,559,4477,1601,6462,223103,T
383136979,4538,95,426572,559,1433,2001,4292,223330,F
869470583,1831,6,179438,559,2012,400,5983,223364,T
471856468,4555,96,400840,559,654,2001,4548,223073,F
477768971,1717,11,130492,559,577,800,8113,222840,T
281823658,4492,69,278504,559,6856,2001,6034,223408,F
