userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
268044334,4867,66,939331,4266,9780,992,8047,482280,T
337520926,612,5,47124,1463,36454,1488,6612,482792,T
833689150,2642,27,499338,893,28643,992,8527,482466,F
968719328,2741,7,597538,4662,19095,992,6265,482536,T
589705464,2767,1,437186,820,25062,1984,4253,482612,T
430489224,2656,19,653376,4890,5647,1984,6164,482975,T
363921416,2652,29,328848,1706,7566,992,6046,482194,T
156625039,2713,22,86816,838,11139,2480,8690,482646,F
141300238,645,10,114165,1536,12531,2480,6456,482311,T
080751685,2703,11,172992,1368,4311,992,6438,482318,F
196094506,2783,31,211508,2252,5569,1984,8072,482191,T
083272903,577,16,99244,1946,5728,2480,4845,482273,T
780571516,2614,96,224804,1713,6075,2480,4224,482654,T
668030598,2530,96,430100,1211,5493,1488,8390,483035,T
321120186,640,1,120320,973,4505,1984,3992,482650,T
911855548,682,12,45694,1041,16040,2480,8932,483107,T
375623004,635,4,12700,2252,10552,1984,6588,482939,T
377645435,2774,26,133152,919,5076,1984,6632,482712,F
051792764,2453,88,537207,844,5728,1488,8456,483110,T
871728576,2452,90,159380,905,5728,992,8076,483043,T
958410995,2755,22,63365,830,23588,1488,6850,482217,F
572047951,2568,91,102720,1927,11794,1984,5984,483082,T
792898203,2635,21,52700,3341,6573,1488,4548,482936,T
728940875,2498,82,152378,1241,6169,2480,4070,482419,T
260919493,2533,83,435676,939,57286,1488,6643,482209,T
204868698,2635,23,574430,1218,10025,496,6222,482942,F
976791920,2782,30,433992,2430,6075,2480,4812,482788,T
142229214,2685,1,528945,1766,4266,992,4696,482518,T
678393125,592,19,61568,803,7290,1488,6616,482185,T
393491341,2702,38,253988,4406,6075,992,5943,482332,T
624406863,601,5,76327,928,5811,1488,8145,482551,T
221663828,519,1,17127,959,6913,2480,3964,482523,T
134672056,2608,6,88672,1327,5276,1488,6274,482404,T
527966733,2608,38,396416,2927,7426,1984,6186,482222,T
990847471,566,3,102446,833,23588,1488,6053,482281,T
917372978,2611,1,407316,1891,12151,1984,8380,482549,T
430857394,2626,24,441168,3486,5985,496,4385,482995,T
080203720,637,7,117845,1416,4091,2480,7971,482951,T
598028117,2549,62,415487,1104,9780,1984,6512,482177,T
180423799,2627,6,336256,1007,40100,1488,4063,482827,T
857820447,2537,74,575899,1327,5276,1488,8568,482562,T
404053882,2534,93,430780,982,28643,496,6412,482452,T
391568991,699,1,105549,987,4221,2480,8201,483154,T
979796328,2605,1,640830,2167,7862,496,8738,482295,T
634993907,2636,21,653728,1055,4010,2480,8639,482397,F
333786591,660,1,62040,1597,7426,1984,4680,482591,T
717438933,2732,33,609236,853,6467,1488,6624,483173,F
133018335,645,16,35475,3398,5897,2480,4716,483070,T
422560963,2804,35,39256,939,9780,1984,6175,483061,F
917460358,523,17,48639,862,5897,1984,8562,482445,T
914614939,657,1,13140,1427,5346,1488,6776,482283,T
082232992,519,3,84078,3260,4050,2480,8334,482830,T
619204131,2736,25,369360,833,12531,496,4865,482712,F
049392410,2778,6,658386,1063,10837,992,4756,482834,T
182509981,2443,94,339577,1204,4662,992,8210,482487,T
842689799,653,20,37874,849,5985,1984,7936,483053,T
185875916,600,1,104400,1033,4505,1488,8193,482613,T
341939819,2461,65,317469,3341,6075,2480,7907,482407,T
293477300,2452,92,556604,1490,28643,2480,5993,482595,T
769721872,2665,20,588965,847,6467,1488,8828,482681,F
322085719,2631,68,489366,1158,33417,1488,4927,483123,T
299838337,2804,39,89728,815,44556,992,4399,482683,F
560246682,2582,64,142010,2265,36454,1488,6129,482426,T
603156779,524,7,100608,2415,4609,1984,7900,482189,T
617640050,2674,2,34762,4177,40100,1488,8765,482648,T
702485732,2668,15,533600,1075,4091,1984,8511,482443,F
700678462,2765,15,141015,1117,12935,992,8907,482320,F
689421921,2638,20,540790,866,4831,496,6939,482387,F
227725914,2692,8,75376,982,6169,992,6566,482426,T
566653016,2767,29,33204,1323,4505,1488,8901,482547,F
714700699,582,1,97776,954,18227,1984,6002,482451,T
203158428,588,20,102900,4311,18227,1984,6306,482181,T
421738587,681,1,170250,5647,4717,1984,8310,482384,T
586787144,2645,29,563385,806,21105,496,4347,482562,F
057215735,2660,19,47880,1965,23588,992,6614,482673,T
916582832,2779,24,111160,952,12151,992,4555,482538,F
794753226,2723,25,157934,1572,5346,1984,8693,483088,T
498205070,2523,65,148857,978,26733,1488,4909,483091,T
057933119,2717,17,114114,855,10025,2480,4150,482498,F
223928124,600,9,99600,2884,6365,2480,4555,482729,T
223943958,2626,99,270478,2035,17434,2480,6257,482938,T
651678829,2532,68,301308,808,9113,2480,8057,483139,T
210985796,2710,6,433600,1066,13366,992,8534,483107,T
867696291,2769,4,675636,2727,4505,1488,4712,482657,T
713924495,2619,94,644274,806,9325,1984,6020,482380,T
382271246,2585,91,416185,2155,4266,1488,8809,482781,T
623973881,2654,4,108814,1610,7566,496,6209,482549,T
020648494,665,1,109725,1856,4010,1984,6944,482643,T
150808727,2473,82,568790,1650,4406,2480,4358,482337,T
353405988,673,2,150752,1142,6467,1984,6491,482501,T
538457972,2650,32,426650,5493,7035,1984,8760,483106,T
627806717,2785,38,492945,1900,6796,1488,4669,482283,T
573743753,2805,33,387090,4091,22278,2480,6759,482440,T
351789449,605,1,27830,3893,6573,1984,4487,482600,T
864639636,2734,34,527662,2727,11794,1488,4590,482682,T
301890223,550,1,81400,1427,7566,2480,6580,482865,T
634046873,2544,74,600384,815,5985,1488,7998,483160,T
692813807,2598,72,597540,862,7426,2480,4558,482589,T
957348130,2500,60,180000,1865,21105,2480,8088,482933,T
835986189,2643,30,227298,2372,6075,2480,7889,482184,T
331688930,2623,97,275415,3645,40100,1488,8855,482550,T
225890167,2608,37,378160,1479,4662,496,8431,482562,F
614481441,2713,1,119372,1442,22278,992,4928,482814,T
073157241,563,1,137935,2415,4505,1984,6350,482897,T
539124098,2606,4,601986,2475,20050,496,6565,482232,T
721730735,2488,62,410520,928,18227,2480,8053,482376,T
628549756,576,1,27072,879,4091,1488,4373,482955,T
741848245,2658,16,409332,1831,6573,992,5972,482937,T
370875264,2477,74,185775,1101,13827,1984,8358,483123,T
311982025,2690,22,34970,4010,4091,2480,6271,482327,T
434814859,2692,20,648772,2386,5346,1984,6597,482646,T
396849302,2554,91,273278,1536,6075,2480,6445,482955,T
968501785,2630,4,499700,4890,4134,1488,4814,482859,T
905250869,2630,4,394500,3819,10282,1488,4740,482823,T
737354040,2798,35,212648,1402,8911,1488,7964,482652,F
228301151,2693,2,298923,2035,14321,992,7919,482359,T
189503880,2797,31,441926,939,8911,496,4610,482601,F
055132355,2624,64,115456,2727,5569,1984,8553,482897,T
805781620,2763,30,176832,905,7711,2480,4229,482367,F
346945143,2747,27,71422,1721,14852,1984,8230,482617,T
236995623,2618,1,636174,1591,5647,1488,5939,482521,T
508116791,2472,68,106296,1416,7566,1488,8443,483067,T
464937964,2752,1,415552,936,5985,992,4220,482541,T
634789528,2634,19,273936,869,5569,1488,6683,482563,F
868184068,2776,26,632928,1336,10837,1984,5942,483020,F
586221624,671,19,95953,1657,4950,2480,8876,482735,T
837401143,2715,21,629880,1098,6683,1488,4096,483074,F
406184736,650,2,68250,1918,36454,2480,6703,482807,T
853400794,2609,37,631378,954,4455,1488,8873,482924,F
240035892,2549,77,379801,3015,13827,1984,4639,482863,T
