userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
753883732,2512,84,72848,973,1856,2480,6519,482202,T
106185141,2739,67,219120,973,1063,992,3956,482503,F
660956538,2764,26,60808,973,1597,1488,3983,482718,F
422398061,2717,72,108680,973,14852,2480,4424,482821,T
428432030,2731,47,139281,973,1670,2480,4225,482895,F
563708009,512,29,46080,973,959,1488,4661,482652,T
565783147,2647,93,264700,973,1670,1488,8924,482655,T
299024938,2674,51,58828,973,2727,2480,4744,482605,F
417388154,2880,7,123840,973,2331,496,6646,482948,T
406078369,2880,55,60480,973,3893,2480,4413,482669,F
380042267,2774,16,183084,973,818,496,8637,482957,F
086520819,772,1,19300,973,1319,1488,4391,482937,T
968690157,774,47,40248,973,862,1488,6489,482467,T
144615692,2760,35,129720,973,7290,992,4224,482264,F
746077880,2557,129,130407,973,1363,1984,8808,482777,T
013261902,2872,45,68928,973,923,992,6237,482590,F
805215006,782,4,61778,973,12935,1984,6051,482276,T
155486337,2747,22,195037,973,4662,496,4915,482595,F
715581066,588,10,41160,973,1306,1488,8353,482190,T
731557837,2666,16,165292,973,25062,992,4426,482417,F
747630101,738,6,21402,973,1139,2480,3938,482488,T
209027189,2729,25,261984,973,1572,1488,8391,482694,F
492080143,2771,47,271558,973,877,1488,4578,483034,F
451958608,2518,96,146044,973,813,2480,6887,482240,T
476648435,2640,27,58080,973,8717,1984,3968,482691,F
265803762,617,1,30850,973,9325,2480,4879,482670,T
077231394,2627,7,70929,973,856,496,6224,482648,T
874800957,2755,65,99180,973,2015,1488,4312,482434,F
487045862,579,1,26634,973,1036,992,6729,482889,T
657818524,2890,23,216750,973,1463,496,8062,483022,F
672944745,543,1,32037,973,2746,1488,6520,482782,T
247722284,2655,61,63720,973,941,1984,4409,482494,F
944196290,2869,17,189354,973,6075,1984,4016,483116,F
855920804,673,9,63262,973,3037,1984,8738,482358,T
158483878,510,27,47940,973,855,1488,4836,482841,T
745684673,2761,53,55220,973,2522,496,4734,482507,F
435014535,2545,65,150155,973,990,1984,6477,483087,T
996584144,2747,53,98892,973,1856,1488,6204,483120,F
467654625,2808,52,188136,973,828,496,4301,482183,F
842635402,586,52,36332,973,2067,1984,8828,483079,T
901782373,622,5,42296,973,915,992,8228,482926,T
751951947,2762,13,201626,973,1129,1984,8305,482493,F
335819952,2609,116,216547,973,5811,2480,4857,482506,T
148286596,2765,11,69125,973,1080,992,6557,482617,F
478133010,2803,19,271891,973,3580,496,4075,482652,F
228774363,2640,2,248160,973,1524,992,6821,482741,T
106330479,643,41,41152,973,1542,2480,4673,482446,T
777381358,2878,19,69072,973,1402,992,6399,482934,F
145294020,567,1,20412,973,966,2480,8038,482967,T
736137269,2758,24,115836,973,1175,2480,8534,482418,F
817211774,728,1,22568,973,1891,1984,6000,482491,T
917632198,2872,21,287200,973,9113,2480,4281,482632,F
688781817,2891,59,239953,973,8020,992,5957,482500,F
821548796,743,1,63155,973,3015,2480,4137,482226,T
023020426,2816,57,180224,973,2005,1488,4806,482370,F
554217499,2677,76,190067,973,3819,2480,4057,482413,T
784891908,2865,28,80220,973,1172,496,4860,482259,F
982917020,506,22,34408,973,1113,1984,4311,482811,T
422891555,2691,120,156078,973,1597,992,8499,482745,T
360308308,2839,37,153306,973,826,1488,4520,482708,F
573196930,2693,24,158887,973,1452,1984,4332,482886,F
153735500,2575,110,59225,973,7862,1488,8683,482226,T
359426852,2487,99,164142,973,2331,1984,4061,482353,T
479519230,2732,68,150260,973,1548,992,6101,482325,F
726382802,2454,76,174234,973,16708,992,8402,482773,T
206894628,2725,19,87200,973,1774,1984,6375,482458,F
321754160,2790,24,156240,973,990,1488,4559,482204,F
397553866,2499,73,189924,973,1323,1984,8039,483124,T
674882995,2802,32,263388,973,802,496,6829,482643,F
786953044,608,20,24320,973,1332,1984,8448,483069,T
758537435,2551,76,91836,973,835,2480,6843,482611,T
000683753,2716,23,206416,973,847,1984,6142,482234,F
463691324,2822,43,79016,973,1463,992,4355,483062,F
399051361,647,23,45290,973,10025,1488,8500,482264,T
142742331,2775,54,58275,973,2475,992,8138,482443,F
022405605,2663,5,82553,973,4134,1488,4389,482821,T
845195883,2527,100,80864,973,23588,1984,6714,482289,T
755704800,2799,66,179136,973,3517,992,6077,483003,F
371597898,2580,109,183180,973,1193,1488,8074,483059,T
005432291,2621,45,86493,973,1020,496,4795,482748,F
784396946,2530,61,93610,973,2506,1984,4627,482329,T
883101852,2798,14,223840,973,1005,1984,8574,482184,F
073554722,2680,9,241200,973,1507,1488,6911,482537,F
332361575,2697,119,229245,973,1226,1984,8458,483005,T
772540002,2632,84,213192,973,18227,1488,8067,482211,T
303887205,2659,58,66475,973,4890,496,6820,482489,F
774235534,635,1,59690,973,1411,992,6904,482887,T
942499479,2801,35,123244,973,1230,496,8742,482535,F
228176910,2659,28,207402,973,1306,1984,8681,482215,F
461893615,609,33,30450,973,2475,1488,8105,482438,T
570785340,2502,81,147618,973,816,1488,6643,483145,T
478668459,2651,38,82181,973,913,2480,4587,482213,F
681564664,655,1,49125,973,844,2480,4310,482479,T
555952363,2785,66,228370,973,2784,1488,4950,482249,F
809660024,2517,66,186258,973,4717,1984,4803,482281,T
532081105,2732,42,103816,973,1204,1488,4721,482706,F
036042839,621,1,51543,973,1044,992,6116,482283,T
239824785,2682,59,225288,973,1123,1488,4126,482467,F
741370835,2766,24,226812,973,1501,1984,6126,482417,F
350442508,687,1,19236,973,2905,992,8811,482960,T
