userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
849899978,2555,46,189070,115,1297,478,7519,54815,F
441698785,1578,5,314022,312,818,1436,10424,54564,T
660723290,320,1,14400,436,554,957,5235,54979,T
304688177,2554,59,263062,141,967,1436,4993,54860,F
365453599,2629,28,102531,132,3129,957,5479,54929,F
087382230,1613,23,111297,240,2128,957,10549,54667,T
484958985,2538,39,271566,224,560,1436,9597,54377,T
842644309,1488,10,105648,125,4433,1915,9572,54960,T
570952025,1550,4,227850,235,806,1915,5509,54291,T
834934807,1587,5,82524,111,532,1915,7983,54334,T
558235219,2520,45,136080,125,1437,478,8127,54663,F
255877321,2534,50,134302,124,967,1436,10332,54939,F
732288094,2485,40,308140,109,584,1436,5709,54898,F
080579061,436,1,7412,141,10640,957,5163,54887,T
934312767,1483,11,364818,432,1209,2394,5279,54347,T
528923369,300,21,32700,334,2216,478,5749,54093,T
706227249,377,1,11310,141,2533,957,7346,54638,T
821331959,1482,11,143754,125,665,2394,5050,54025,T
172351242,2457,44,565110,215,1043,478,7945,54259,T
171798083,1592,1,332728,565,548,957,7582,54754,T
367140286,2475,51,376200,633,10640,1915,5077,54050,T
855505118,1563,28,326667,175,1364,1915,7948,54356,T
005619400,1493,30,292628,203,738,1915,7198,54125,T
284982624,1429,21,171480,244,542,1436,5734,55001,T
193311999,2454,62,269940,272,933,478,9966,54976,T
059617503,2438,54,370576,140,886,1436,7855,54185,F
424491274,2573,45,128650,175,3129,1915,5720,54488,T
675676490,1437,7,192558,158,1043,1436,5592,54445,T
313241608,1564,23,115736,760,1834,478,7691,54080,T
153625871,360,1,42120,188,1209,478,4794,54308,T
906757306,1499,1,152898,415,901,1436,9948,54627,T
860785941,404,1,10908,164,2533,957,4758,54778,T
980740790,1569,31,251040,117,760,1436,10425,54992,T
183150875,2488,42,233872,305,700,1915,5049,54104,T
714721292,2521,42,249579,259,1108,1436,10266,54638,T
090051465,2530,63,139150,112,1131,1915,5207,54863,F
890776690,1456,10,165984,203,648,1915,7282,54713,T
307002653,1581,23,123318,682,872,2394,10319,54798,T
457742696,443,1,46072,338,794,957,7301,54747,T
763387107,475,17,11875,153,2533,957,10172,55001,T
825751437,2517,29,216462,275,1131,478,7186,54342,T
079559913,2450,56,497350,364,1108,957,5113,54163,T
023779086,1492,30,117868,432,1716,2394,5620,54322,T
306935635,1441,25,59081,172,844,1915,4788,54354,T
607080763,1562,22,78100,161,1043,957,9545,54639,T
916757175,1547,21,157794,316,1773,957,7611,54848,T
147202811,344,9,30272,216,604,957,8174,54233,T
514450901,2617,50,314040,132,933,1436,10519,54922,F
496546367,1597,10,346549,565,771,478,7736,54332,T
165303865,1550,12,212350,169,2660,478,10526,54971,T
848252437,1476,26,270108,123,818,1915,5341,54421,T
624148180,1601,1,224140,143,1970,1436,8046,54900,T
294748640,401,1,18045,121,1400,478,4749,54515,T
385165371,365,1,32850,728,1564,478,5708,54383,T
138792575,2452,54,561508,673,560,1436,7597,54135,T
013903412,2545,50,137430,345,584,1436,5184,54588,T
436642862,1585,1,226655,113,633,478,9538,54665,T
118084145,2051,26,385588,760,2418,478,7598,54154,T
259889804,2485,39,154070,175,967,478,9578,54668,T
919188353,368,21,83168,190,1003,957,7666,54054,T
592855381,404,1,98172,113,2046,478,5420,54195,T
974297668,2499,44,369852,290,3325,1436,5337,54286,T
266199026,1499,1,283311,156,1156,1915,10540,54546,T
689255463,455,1,22750,153,1131,478,9572,54959,T
503178565,1430,2,191620,159,886,2394,10418,54729,T
887934314,2456,52,324192,175,1437,1436,7986,54438,T
775023319,433,1,77074,542,532,478,10239,54103,T
350165055,2441,59,148901,204,2128,957,10040,54790,T
460225244,2618,40,397936,382,844,1436,9678,54133,T
641377426,1479,9,365313,203,933,1915,10553,54477,T
334246771,374,6,69190,129,933,957,5226,54706,T
935140768,1527,21,35121,334,554,957,7260,54770,T
950293118,351,1,30186,124,1237,1436,5730,54665,T
848569746,1561,18,148295,532,3325,478,9582,54104,T
000388930,1510,20,157040,412,1131,2394,10164,54484,T
139082446,1549,31,44921,111,618,1915,5612,54582,T
165301216,2447,53,237359,115,1834,957,7488,54084,F
360290728,1551,19,107019,497,2955,957,9609,54641,T
472098433,1618,6,386702,124,2800,1436,9798,54875,T
542671002,296,1,40848,153,1400,478,8022,54194,T
346893762,312,2,70824,466,2533,1436,7311,54839,T
410440459,1571,1,25136,226,4433,2394,7985,54779,T
312019396,2587,43,131937,192,886,1436,9931,54670,T
820454472,415,1,17015,565,4836,957,5611,54762,T
036622368,2597,61,231133,202,597,957,7429,54621,T
163187827,1613,15,390346,226,2660,1915,7148,54477,T
566066600,331,1,27142,192,4433,957,7866,54583,T
507852316,2486,26,91982,648,709,957,5397,54884,T
284129026,384,1,25728,122,1520,957,5163,54455,T
539039839,2449,27,570617,146,1662,1436,5658,54263,F
812183330,1444,17,177612,113,591,478,7860,54775,T
196652117,2463,27,177336,521,1364,957,8134,54335,T
