userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
473414501,2679,80,147345,114,221,1436,5666,54304,F
189951340,1435,9,63140,114,380,1915,10306,54999,T
849436193,327,32,32046,114,454,478,5686,54056,T
754376468,2643,78,243156,114,168,957,7539,54026,F
425662984,2659,82,260582,114,242,1436,10546,54607,F
721905787,1437,32,81909,114,122,957,7286,54745,T
168973346,1491,31,64113,114,162,1436,7867,54549,T
002483387,2640,28,73920,114,1266,1436,5425,54282,F
926115583,2562,48,251076,114,682,957,10209,54756,F
485020599,1720,1,73960,114,137,1436,10061,55027,T
713646589,2495,69,84830,114,203,478,5718,54360,F
746431318,1561,1,154539,114,121,478,9833,54703,T
744515790,1464,15,99552,114,554,1915,7451,54784,T
930996183,2708,81,127276,114,112,478,5349,54811,F
150977641,1600,25,33600,114,354,957,5772,54925,T
086388192,2709,62,62307,114,138,957,4907,54683,F
219178667,1484,41,120204,114,132,1436,10299,54965,T
705967663,2707,27,249044,114,244,1436,4810,54385,F
848064720,1605,15,49755,114,192,2394,7639,54279,T
275959964,2538,37,68526,114,207,478,5113,54113,F
920897892,2507,84,218109,114,143,478,7417,54139,F
291229455,1597,21,78253,114,191,478,9652,54638,T
359037207,500,25,30500,114,155,957,4833,54675,T
318572291,2523,93,166518,114,262,1436,10260,54438,F
809880583,1608,36,104520,114,380,1915,5471,54354,T
948675035,2729,67,215591,114,397,957,8118,54791,F
375274572,1592,32,63680,114,738,1436,5369,54438,T
339819925,2727,92,133623,114,4433,1915,10021,54800,F
591989417,1619,1,110092,114,267,478,10469,55023,T
539451302,2611,93,70497,114,690,957,5683,54316,F
832791283,1671,44,51801,114,338,2394,9681,54363,T
178565338,2490,91,87150,114,7600,957,5190,54640,F
645696957,1539,34,110808,114,844,1436,10013,54707,T
966679117,2582,57,245290,114,176,1436,9536,54081,F
221712423,1597,52,60686,114,4092,2394,7780,54995,T
668831358,2562,75,238266,114,718,1436,7560,54587,F
426426269,2529,76,70812,114,136,1436,5325,54240,F
019949699,455,17,24570,114,172,478,5772,54576,T
717974294,2708,34,165188,114,152,1915,5024,54517,F
692702717,538,7,27438,114,142,957,4902,54032,T
079581716,2611,64,258489,114,10640,957,9635,54385,F
853687004,1529,5,68805,114,122,478,9838,54393,T
461902541,1701,1,76545,114,648,2394,9821,54521,T
178772465,2699,65,191629,114,203,1436,7720,54457,F
718581637,1447,4,70903,114,179,1436,7331,54800,T
813009852,2728,79,250976,114,112,478,4935,54449,F
514562687,1693,53,89729,114,163,1915,8112,54133,T
350593465,2455,58,181670,114,5320,478,7358,54599,F
898162451,1514,1,124148,114,156,957,9730,55031,T
839949930,2446,66,144314,114,357,1915,5472,54539,F
482120029,441,10,11025,114,1437,478,8159,54322,T
340971575,2447,92,56281,114,117,1436,5627,54732,F
896888129,504,1,38304,114,439,957,9909,54458,T
316132841,2540,89,99060,114,118,1915,5579,54905,F
627614226,1485,7,130680,114,886,2394,7905,55007,T
267716767,2516,44,85544,114,682,478,5589,54216,F
477934723,1556,43,90248,114,415,478,10485,54335,T
420311415,2687,84,263326,114,143,478,10270,54296,F
667519424,279,1,5580,114,110,957,10492,55000,T
682900397,2542,69,198276,114,208,478,9782,54313,F
893650087,1591,9,92278,114,211,1915,10291,54035,T
421456382,2583,74,201474,114,369,478,7193,54556,F
927025998,1622,24,47038,114,1520,1436,7368,54068,T
330167304,2655,77,204435,114,132,478,5619,54214,F
076719453,2699,89,151144,114,123,478,5591,54638,F
491257934,376,1,10528,114,112,478,4995,54627,T
746244613,2521,36,141176,114,114,478,4978,54386,F
119738872,1432,49,111696,114,179,1915,7715,54306,T
615403037,1651,54,161798,114,886,1436,9833,54988,T
743209515,2669,66,210851,114,164,1436,9689,54344,F
275121112,2630,36,157800,114,125,1915,5241,54754,F
152474121,1595,6,154715,114,123,1436,10271,54728,T
860623863,2524,50,232208,114,195,1436,10418,54434,F
012920123,1426,1,49910,114,205,1436,9745,54254,T
159030090,452,43,34352,114,782,478,5440,54907,T
044692743,2514,58,158382,114,175,957,5420,54874,F
239134173,314,1,12246,114,146,1436,5099,54178,T
990100952,2466,45,221940,114,1900,478,10080,54906,F
855511642,1694,27,77924,114,107,957,10032,54320,T
364637082,2725,60,250700,114,111,957,7559,54499,F
209496014,1642,23,121508,114,250,1915,5480,54432,T
620510624,2680,49,259960,114,311,1915,4935,54429,F
303780926,1468,34,46976,114,200,1436,5173,54727,T
142067197,2601,46,148257,114,818,957,10001,54131,F
584511387,2479,88,153698,114,394,478,5742,54490,F
200334494,1706,1,153540,114,1834,478,10114,54750,T
994844087,1685,13,94360,114,1477,1436,4973,54033,T
310727828,2697,69,102486,114,155,1436,5495,54428,F
165022812,2437,44,199834,114,858,1915,5720,54459,F
995468037,1647,1,123525,114,121,957,10561,54612,T
562575849,373,1,14920,114,409,1436,4993,54707,T
386578470,2699,67,259104,114,260,1436,5242,54078,F
018123721,2686,49,212194,114,156,1436,4753,54179,F
393736552,1512,8,127008,114,447,2394,7226,54412,T
389118165,2531,67,187294,114,126,957,7314,54448,F
103089683,511,1,38325,114,3546,478,10021,54424,T
343612739,1532,21,137880,114,3546,1915,5730,54891,T
836223356,2696,47,229160,114,176,957,10283,54526,F
474629686,1502,42,87116,114,145,2394,7856,54231,T
709433599,2714,42,255116,114,311,1436,7444,54294,F
