userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
597447965,276,1,50508,1136,42253,1001,5851,610305,T
321603610,4154,174,311550,2148,7800,1001,10155,609813,T
385017985,420,19,48720,4056,10140,1501,7586,610303,T
495865543,4061,191,897481,1630,18108,500,5136,610584,F
940146106,4096,46,417792,1877,11791,2503,7556,609775,T
707520751,4087,19,445483,3545,16901,1001,10670,610221,T
822634784,3044,34,630108,1190,28168,2503,5251,609795,T
058845751,3037,8,209553,2770,8048,500,10932,610404,T
251651148,3045,15,706440,1221,5633,500,5075,610149,T
735366007,368,18,42320,1906,56337,500,10558,610522,T
952563754,3030,21,484800,1684,9566,500,5615,609654,T
350553066,3118,27,770146,1804,26686,2002,8068,610097,T
001712361,414,1,83628,1014,5281,2002,4956,609913,T
710371389,389,21,67297,1760,6671,1001,10438,610133,T
798978524,418,1,54758,1646,9054,1001,10253,609848,T
349443158,317,25,19020,6760,7567,2503,7884,610152,T
578131245,330,1,49170,1074,25351,1501,9970,609952,T
249448351,3156,41,766908,5697,8178,500,8451,610199,T
138491259,3044,43,368324,1491,12366,1501,5282,610216,T
993158030,3057,27,259845,1640,33802,1001,5143,610139,T
140089043,4034,189,415502,3647,7243,1001,5877,609757,T
579039095,3145,5,701335,3091,31689,500,7645,610165,T
546128028,317,20,70691,5828,6500,1501,7602,610456,T
187664343,4034,16,375162,1092,56337,2002,7497,610122,T
056504165,4024,21,438616,4122,72433,500,8347,610644,T
002173302,318,1,36570,1277,12072,500,7957,610286,T
108333180,4115,13,283935,2982,84506,2002,5721,609662,T
559853280,4128,22,833856,4527,7567,2002,10748,610274,T
078503340,251,1,41917,1352,8895,500,8070,610019,T
628592610,388,7,51604,1504,8048,1501,5263,610452,T
644833280,278,22,55044,4122,9941,1501,5746,610327,T
345260269,3037,44,416069,1690,11267,500,8273,610355,T
315631681,228,1,43776,1173,5070,500,7706,610291,T
939824533,245,25,7350,2185,10140,1001,10741,610233,T
450714292,375,1,84375,2304,8593,1501,10197,610062,T
359565913,4054,170,709450,1589,5895,500,5942,610342,F
295937775,3060,14,336600,2358,18779,1501,7491,609696,T
892356542,4135,40,818730,1619,24144,1501,10965,609806,T
131528104,3030,32,718110,1097,8895,500,7681,610203,T
375926454,3050,43,57950,5965,29825,1001,7903,609671,T
540584359,310,1,45570,1457,6259,2002,10130,609803,T
773994028,3068,18,92040,1207,24144,2503,5491,610168,T
984290778,4131,156,607257,3992,21126,500,8320,609971,T
442040597,4180,164,606100,3271,11523,500,5213,609813,T
674880550,3816,32,892944,2697,39002,500,5400,610464,T
891477264,3005,43,540900,1173,24144,1501,9998,610448,T
198230102,4132,44,136356,1193,29825,1501,10414,610115,T
880179979,3044,33,471820,1651,5452,1001,10619,610057,T
992727876,416,7,26624,1083,20281,2002,8276,609873,T
478696397,336,1,29904,1207,29825,500,5290,610125,T
173459877,276,1,57132,6259,7042,2503,5637,610303,T
831713366,4132,163,582612,2078,9750,500,10761,610370,T
261413631,4048,30,400752,1461,19501,2503,8213,609773,T
891238547,230,10,42550,1550,9566,2002,7813,610510,T
370649328,3092,29,265912,4487,17484,1001,5284,610272,T
255088742,3013,33,349508,3271,5452,1501,10015,610010,T
588843453,3994,31,271592,5571,10347,1501,10453,610560,T
616120665,376,1,62040,1843,11267,1001,7662,610635,T
393334598,427,1,35441,1920,13703,500,10489,609921,T
813463526,3070,7,445150,1076,7567,1001,10335,609826,T
697590019,4048,28,506000,1316,7682,1501,10480,610428,T
128117251,3116,44,645012,6671,5965,1001,10528,610557,T
409163391,4178,37,973474,1026,9566,2002,10168,609924,T
810367663,3124,40,324896,2069,20281,1501,10379,610286,T
360162567,3181,26,744354,2711,9389,1001,10560,609699,T
668753481,3107,25,727038,1207,5511,1001,10105,610572,T
814342384,370,1,54020,1972,5337,2503,5402,610168,T
546201660,285,14,6555,1830,11523,2503,4997,609725,T
700086218,364,1,4004,1927,14912,2002,10885,610572,T
363996891,264,22,48048,1092,8742,2503,7482,610539,T
632782659,3132,8,319464,1594,6584,1001,7481,609757,T
226798034,3100,6,46500,1139,26686,1501,7920,610042,T
166419312,350,21,25200,1088,5761,2002,5101,609985,T
993845737,3116,24,442472,1381,11791,500,5480,610579,T
776861021,3049,7,216479,1363,42253,1501,5040,609834,T
339600668,4036,18,427816,3596,23047,2002,10742,610408,T
046847431,4226,187,997336,3449,6183,500,9993,610551,T
480292165,4014,37,533862,2233,10563,2503,5593,610024,T
809600765,3139,27,354707,1569,13703,2002,8383,610385,T
971976150,3199,29,246323,3545,7922,1501,7624,609948,T
655439956,3190,30,676280,1428,5697,2002,5314,610130,T
788101437,423,25,82485,2273,5452,500,5670,610368,T
567004957,3117,39,585996,4651,5571,1001,10156,609710,T
026318259,3056,26,446176,6945,5828,1001,5341,610123,T
