userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
995170935,3134,5,166102,1218,9218,1001,7846,609760,T
463826176,4265,208,187660,1218,2914,500,10371,610429,F
669125235,265,15,24645,1218,4922,1001,7704,610386,T
798173768,4193,214,142562,1218,6500,500,7828,609929,F
509327455,491,19,16694,1218,5633,2002,5845,610419,T
934136503,4295,190,403730,1218,3521,500,5075,609662,F
186064435,4024,74,124744,1218,31689,2503,7767,610447,T
731574434,4178,220,309172,1218,2640,500,7507,610403,F
704533993,3089,29,268743,1218,1830,2002,5944,610269,T
826601712,4252,182,233860,1218,1337,500,8029,609907,F
579924298,4189,67,418900,1218,16901,2503,7840,609835,T
877314204,4254,185,331812,1218,1277,500,5256,609954,F
239306805,413,28,37996,1218,2832,1001,5598,609723,T
360547453,4129,222,396384,1218,1817,500,10574,610001,F
401473758,4195,45,96485,1218,2627,1001,10781,609909,T
831242640,4224,154,342144,1218,1574,500,10535,610212,F
215820436,360,21,28440,1218,3621,500,10324,610031,T
115747584,4231,153,135392,1218,1408,500,10429,610403,F
354354670,437,33,33212,1218,1625,500,5300,610374,T
450159226,4199,218,134368,1218,6584,500,8497,610514,F
803868672,3176,60,238200,1218,1102,2002,7949,609932,T
615165862,4156,195,403132,1218,3402,500,5754,609826,F
648111454,487,48,39934,1218,1320,1501,8482,609881,T
801162284,4280,171,149800,1218,1014,500,8341,610050,F
961030722,519,23,30621,1218,1245,2002,8137,610037,T
565344245,4314,161,90594,1218,3168,500,5398,609949,F
070900324,290,29,28130,1218,7567,500,5288,610547,T
642950077,4087,186,347395,1218,1504,500,5822,610624,F
064249892,231,48,21021,1218,3647,1501,7465,609688,T
492481695,4251,221,174291,1218,1251,500,10608,610117,F
338378230,306,6,21114,1218,7243,500,10433,610443,T
374799302,4326,152,147084,1218,2112,500,5397,610202,F
705887942,4250,36,140250,1218,2061,2503,5053,609688,T
404315751,4254,153,221208,1218,2640,500,10093,610218,F
064263874,3170,61,221900,1218,1016,2002,5026,610221,T
895956140,4228,185,139524,1218,10563,500,10008,609856,F
637984649,504,11,32760,1218,56337,1501,5702,610319,T
