userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
947667191,1199,1,13189,888,24232,1590,5253,375991,T
676813227,3772,29,735540,1307,60581,1590,4021,375487,F
471747748,1560,32,121680,4660,6858,1192,6512,375294,T
818846271,1310,1,103490,829,5267,1987,7140,375383,T
179022838,1518,45,336996,1975,4432,397,6402,375210,T
513027904,1321,1,297225,1799,3747,1987,3871,375693,T
036553277,2666,190,277264,1316,4487,1192,6907,375231,T
368694074,3840,41,595200,1161,10096,1987,3238,375447,F
556879320,1233,1,270027,1135,3709,1590,3909,375870,T
781921275,2646,225,100548,861,40387,1987,4997,376044,T
946377929,1290,3,172860,951,4432,1590,3518,375672,T
779513233,1322,19,259112,4846,8865,1987,5269,375868,T
097799081,2906,238,139488,4543,9087,795,3532,375720,T
846094285,1223,20,140645,822,6608,1987,6410,375919,T
100164802,2774,218,33288,1275,4327,1987,4901,375307,T
410380360,3894,46,735966,1527,9087,1192,3304,375622,T
793108409,2710,208,306230,853,3950,795,6991,375251,T
370110090,3872,15,782144,1706,8654,795,6591,375731,T
285721239,1487,48,160596,985,5507,1192,5059,375799,T
371409165,1219,9,304750,954,10690,1987,3481,375575,T
464644847,3952,19,936624,1580,4379,795,3529,375222,T
970470840,2638,229,321836,1442,3826,1987,5649,376111,T
391631697,1640,36,185320,1425,8865,795,6341,376090,T
945047865,1643,19,18073,3106,6608,397,6675,376069,T
818453377,2761,223,687489,977,7269,397,6437,375181,T
817934007,2809,227,449440,3216,3826,1192,6638,376052,T
036178409,1215,20,196830,1257,4084,1590,4111,376042,T
888137969,2897,252,518563,1228,5769,397,3642,375748,T
215865755,1633,20,101246,2202,4487,397,4967,375426,T
503611327,1178,1,263872,941,8077,1590,3965,375834,T
947582890,1490,40,81950,758,7572,795,6862,375380,T
295554983,2738,213,446294,4720,3950,795,3289,375958,T
266052063,1483,44,56354,1180,9320,795,5087,375511,T
049067728,2757,206,634110,1477,7733,1590,6841,375779,T
250036868,1511,41,120880,4432,51927,1192,7130,375325,T
322006432,2826,210,421074,1419,22718,1987,5190,376011,T
409012071,3838,14,913444,778,20193,1987,3718,375895,F
772327090,2816,243,157696,3133,4084,795,3407,375886,T
790367159,3819,40,538479,5192,4276,1192,4846,375907,T
346131591,1499,47,32978,814,8453,397,5526,376031,T
400810567,1226,3,56396,743,8261,1192,6375,375269,T
435888128,2780,226,642180,1560,7418,397,3881,375590,T
546535203,2710,196,135500,2125,4487,795,6732,375954,T
055739502,3769,39,678420,765,5507,397,3346,375251,F
313603760,1209,1,71331,1059,40387,1987,7058,376056,T
865170424,2758,210,322686,2774,4601,397,6865,375616,T
594091203,2744,246,460992,964,6267,397,4107,375357,T
561771440,1187,27,217221,871,9320,1590,3737,375477,T
707254997,1500,30,276000,2692,4226,1987,5566,375309,T
428530529,2667,208,434721,1143,5119,1192,5114,375377,T
144223355,1177,2,269533,1128,6377,1987,5247,376119,T
052860056,1648,42,291696,2391,60581,795,6899,375262,T
984055524,1606,16,321200,1508,11359,795,3744,375907,T
807414195,1219,16,84111,1442,20193,1987,3882,375635,T
995925871,3842,39,902870,1864,3908,397,4740,375596,T
544433576,2805,220,246840,3245,9320,1987,7094,375635,T
183309306,1490,24,99830,841,7901,795,7138,375291,T
952819685,1583,17,182045,2796,4912,1590,3631,375848,T
253072260,1539,29,130815,795,6490,1192,5119,376005,T
395792447,2655,207,538965,857,4912,1192,6936,375699,T
222887036,2726,211,487954,944,24232,795,5566,375652,T
808307764,2748,206,65952,1483,27960,1192,5056,375125,T
365843255,3774,19,920856,1964,4276,397,5456,376043,T
230920997,2815,192,73190,1108,4130,795,6448,375906,T
652940346,2699,203,555994,1168,20193,1192,7253,375708,T
516545235,2655,201,523035,1471,6858,795,3718,376119,T
953062087,2798,192,595974,809,4226,1987,6925,375621,T
857367026,1168,1,63072,1153,5345,1590,4043,375625,T
556773878,3892,19,432012,1331,11014,795,5030,376068,T
670731354,1502,30,361982,1425,16522,397,5441,376061,T
277643783,2637,195,203049,775,7127,1192,3651,375642,T
778563034,1203,1,203307,1986,7572,1987,3429,375695,T
483088692,2813,197,247544,1072,8077,1987,5281,375735,T
697801448,2712,206,480024,4979,13462,1192,6663,375962,T
988756024,2719,218,299090,740,3634,1192,4763,376055,T
696094056,3845,28,772845,911,6608,397,3360,376056,F
195819961,2791,196,156296,2019,30290,1590,3710,375682,T
009722265,3867,21,835272,1453,7733,1192,3138,376088,T
698101699,1511,46,368684,1118,10690,1192,3582,375530,T
815179612,2668,191,552276,3908,8077,397,5469,375683,T
358837264,2659,226,156881,1223,12534,1987,3625,375184,T
343748382,1614,32,192066,2817,6608,1192,7151,375800,T
434968698,2800,214,299600,920,11359,1590,3655,375809,T
907034256,1577,34,274398,920,4038,795,5602,375243,T
813501378,3923,40,615911,3397,5592,1590,4037,375718,T
216175600,1494,12,228582,1392,45436,397,5524,375590,T
824512137,2636,221,574648,1790,72697,1192,4779,376118,T
059738120,2634,210,579480,987,5769,1590,6436,375226,T
426416946,2668,202,256128,884,15803,1192,3252,375253,T
153928680,1615,37,387600,1346,6058,795,5329,375754,T
459813477,1628,27,245828,913,4720,1192,3364,376065,T
753894194,1613,14,262919,977,8077,397,3736,375458,T
526134654,1268,1,289104,3245,5267,1987,6840,375386,T
225245118,1585,15,317000,3160,45436,1192,3262,375476,T
221097899,2663,200,314234,1808,4782,1192,7254,375942,T
831891760,2796,212,162168,811,3950,795,6335,375974,T
190449855,1126,11,93458,813,7127,1192,4922,375552,T
290001249,1514,10,251324,1228,6858,397,3278,375962,T
265951332,1220,1,65880,1157,5192,1590,3440,376084,T
770886272,1617,45,137445,1069,16522,795,6825,375433,T
838977241,1512,44,96768,811,7127,397,5399,375232,T
681352903,3920,17,901600,780,4782,397,7205,375317,F
707772463,1270,24,91440,1986,5769,1987,7194,375818,T
966234159,2801,199,366931,1540,5592,1590,5723,375470,T
943585451,2804,207,98140,800,15145,1987,5762,375306,T
967284581,1145,4,62975,809,30290,1987,5516,375794,T
746209521,3884,30,842828,1044,11359,1987,3292,375272,F
253438282,2760,225,389160,2559,3994,397,3587,375818,T
197054793,2734,226,593278,1232,5592,1987,3768,375568,T
270209513,2778,203,405588,851,6058,1590,3497,375908,T
950032742,2730,209,319410,941,13462,1987,5219,375479,T
237964206,1242,14,111780,4084,11725,1987,7350,375333,T
713816784,2652,217,58344,1021,9087,1987,4018,375875,T
977421157,2780,218,116760,1023,5048,397,6743,375414,T
292104298,2831,226,467115,768,60581,397,3329,375955,T
887721811,2734,193,51946,901,8865,1590,4052,375467,T
565914244,1139,26,249441,785,4846,1987,5098,375896,T
851337666,2730,216,649740,800,5507,1987,4804,375472,T
014679729,3490,194,659610,3529,6858,397,4066,375656,T
636781727,2812,245,410552,3216,15145,397,3840,375246,T
516327804,2755,217,203870,763,4432,1590,6325,376023,T
373657605,2756,209,451984,927,27960,1192,3243,375668,T
419150595,1174,1,76310,822,51927,1987,6627,375182,T
790019993,1554,42,209790,3786,3950,1192,6481,376039,T
183235273,2643,199,388521,867,21381,1987,6560,376034,T
258807886,2739,198,73953,5119,14539,1987,5269,375348,T
396434792,2657,219,605796,1118,3950,1987,6795,375879,T
049337436,2787,221,415263,762,5048,397,3876,375898,T
909668614,1154,26,229646,2979,8865,1987,6462,375777,T
071043166,3652,210,463804,5048,4038,795,3356,375438,T
107855119,1665,22,136530,2407,5958,795,7058,375131,T
635840332,1147,9,26381,1232,14539,1192,5682,376016,T
422389248,2822,205,668814,809,13462,1192,5454,375621,T
236962540,2644,214,438904,1608,5192,1590,4936,375996,T
469569612,1584,27,278784,3029,11725,795,3745,375720,T
167829629,2800,210,131600,890,4782,1192,4014,375529,T
744533565,2740,226,82200,1773,4979,1590,6675,375716,T
567803481,2666,224,565192,1012,6058,1192,5608,375950,T
006524898,2686,212,83266,1845,6990,1987,6395,375385,T
514362957,1644,10,136452,2360,27960,397,6434,375662,T
649127129,2908,236,104688,2163,6608,795,3221,375816,T
969421970,1519,45,202027,3133,5119,1192,6611,375853,T
815170451,1202,3,92554,737,6608,1192,3199,375656,T
846895164,2640,191,630960,805,3994,1987,4927,375203,T
204700368,2634,226,308178,987,4276,1590,6977,375401,T
009661644,3919,28,454604,1128,10385,1192,3913,375347,F
379272845,3953,33,845942,2456,40387,397,3487,375664,T
803015194,2674,197,74872,3950,9824,795,5723,375263,T
650702780,1209,13,180141,859,7572,1192,5371,375263,T
902181559,2809,226,491575,3950,6608,1590,7225,375132,T
206080283,1627,11,187105,1321,4084,795,4017,375313,T
981855729,3555,209,707445,4593,19651,637,1306,731722,F
501410017,3813,37,739722,936,4660,1192,5259,375809,F
742579303,3946,35,836552,1540,6267,1590,4138,375862,T
557393999,2647,202,344110,1065,6267,795,3880,375407,T
