userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
339836292,1542,85,94062,1776,4364,1304,4135,380295,T
650267580,1614,103,348624,1550,25249,1304,2989,379945,T
705042848,4492,38,1037652,995,4208,1630,3782,380850,F
585579469,1547,91,222768,1170,4474,652,4261,380827,T
440346104,1411,11,148155,2155,11783,326,2543,380905,T
618941075,1713,93,352878,971,11783,1630,3312,380184,F
047313764,1645,106,256620,2805,9553,326,3586,380541,T
944567461,1652,106,130508,2019,4842,1630,2774,380389,T
202288022,1603,94,341439,981,8033,1630,4693,380008,F
044115766,1456,1,93184,2043,9553,1630,3218,380634,T
507852321,1667,70,290058,1479,8220,978,3844,380546,T
793173341,4538,27,875834,2265,32135,1630,2162,380759,T
607976938,1677,75,298506,708,14139,1304,3516,380338,F
470673382,1669,99,201949,1294,58915,1630,2296,380342,T
935387517,1539,27,70794,1776,4474,1630,3098,380036,T
113584278,1387,33,263530,1067,6546,326,2291,380152,T
213750442,1419,17,51084,792,5991,978,4910,380384,T
183576437,1578,23,268260,963,3842,1304,3048,380862,T
597572509,1552,93,60528,1067,5991,1630,2734,380356,T
150591774,1561,73,78050,1644,25249,1304,3985,380573,T
290713214,1509,17,105630,1841,8416,1304,4165,380126,T
792182932,1384,5,66432,2873,4110,978,3516,380756,T
183844629,1520,1,237120,1198,6546,1304,2043,380302,T
086614503,1543,93,55548,1257,22093,1304,4784,380022,T
938583534,1469,5,105768,1349,7684,652,4008,380074,T
440035999,1676,103,98884,1108,3570,1630,4402,379958,T
005081185,1580,22,178540,1402,10099,1304,4773,380615,T
288351719,1547,89,51051,1024,5611,1304,3119,380531,T
939112189,1531,71,131666,1408,9063,1630,3909,380525,T
679593193,1692,103,228420,724,10099,1304,2636,380152,F
310371117,4618,18,886656,1767,35349,326,4794,380458,F
800442847,1429,5,22864,731,8416,652,3175,380632,T
647497336,1688,88,388240,1448,3534,652,3112,380439,T
477963646,1436,31,30156,831,7214,652,4316,380094,T
509292197,1635,102,408750,3398,7855,326,2012,380592,T
696364372,1587,110,265029,1328,23566,1304,3457,380225,T
332484845,1558,99,258628,2897,3801,1304,2981,380789,T
872515399,1332,10,101232,945,4418,326,3900,380680,T
124926995,1673,110,339619,1454,4776,326,4674,380849,T
209161939,1568,88,246176,1064,16067,652,3658,379982,T
891397238,1539,84,278559,770,9063,1630,4082,380338,F
111660663,1691,94,62567,773,22093,978,2665,380063,F
642310659,1314,16,30222,1386,7855,978,2917,380841,T
929581315,1662,105,339048,960,13595,978,2889,380792,F
401653314,1560,84,67080,1472,10396,1630,2686,380818,T
224591073,1496,4,299200,3570,5276,1304,2546,379970,T
127143725,1485,1,291060,2129,3842,326,4668,380026,T
830177032,1478,32,128586,1108,3607,652,3683,380334,T
615802650,4602,14,814554,2142,4016,1304,2786,380872,T
071291683,1616,85,231088,1850,5794,1630,3024,380735,T
786404814,1550,79,44950,711,4016,1630,3741,380023,F
324032335,1410,34,150870,897,6931,326,2403,380392,T
434698977,1721,89,225451,808,4978,652,4535,380814,F
664924982,1407,1,74571,1027,7069,978,3951,380034,T
021380044,1556,80,326760,1380,4590,1304,4165,380744,T
376531234,1435,12,245385,3184,4364,1630,4004,380322,T
395748422,1694,70,352352,790,3971,978,2192,380240,T
525698346,1711,92,177944,1132,7069,652,4348,380028,T
586542967,1631,92,37513,1732,25249,652,2781,380254,T
106424465,1392,20,211584,3073,6931,652,3281,380240,T
160551530,1600,72,304000,1027,4418,1304,1995,379952,T
919583587,1649,109,410601,1338,6094,652,2043,380858,T
963205547,1410,1,15510,771,3971,1304,3227,380599,T
479522901,1544,5,284096,4590,6546,1304,4714,380436,T
753456891,1584,75,239184,1328,4978,1630,4724,380828,T
186833180,1312,2,244032,3303,4158,326,2863,380350,T
302808000,1721,76,125633,1240,10099,1630,2518,379974,T
328442116,4578,27,1057518,1122,7521,1304,2302,380156,F
151388288,4667,23,1129414,1170,4713,1630,4881,380323,F
325135580,1644,108,289344,3273,11783,652,2496,380765,T
946265669,1663,78,224505,2897,27191,1304,2534,380196,T
459171405,1532,75,335508,1071,3607,1304,3841,380507,T
127538804,1299,4,75342,1794,5198,326,2785,380673,T
151117118,1468,13,127716,742,4110,978,4438,380753,T
426778650,1582,85,373352,756,3720,978,2097,380045,F
674444140,1622,95,175176,1048,11046,1304,3910,380572,T
250871715,1450,1,332050,879,4208,1630,3717,380288,T
320547229,1632,102,153408,711,3971,1304,3393,380561,F
190830545,1562,106,367070,1276,15369,652,1954,380719,T
791227211,1580,99,346020,1460,3607,978,4649,379921,T
487614167,4629,46,819333,2182,3682,1304,2580,380836,T
728072301,4537,9,961844,2356,6201,978,4564,380559,T
149656645,4646,9,511060,2618,16833,1630,4292,380174,T
487834699,1649,81,123675,1592,3570,1304,2891,380310,T
089837897,1450,4,50750,3100,3682,652,4510,380837,T
302226061,1344,1,158592,2599,4842,326,4046,380364,T
860014283,4568,21,945576,1039,4364,1304,2926,380229,F
189541186,1567,9,219380,901,14728,1304,2940,380116,T
469318137,1537,80,193662,775,4909,326,4343,380475,F
611652566,1291,27,268528,1280,32135,652,2061,380679,T
904084141,1479,1,251430,864,4258,1304,2726,380091,T
016166941,1479,6,221850,1136,13595,1630,4547,380011,T
184614577,1529,1,137610,3842,4016,978,4167,380542,T
669835425,1289,1,155969,2970,7684,652,2480,380784,T
076439912,1682,83,284258,792,3534,1304,3955,380034,F
125895534,1589,83,389305,1058,12624,652,4651,380187,T
742427726,1671,102,153732,1436,7684,978,3655,380100,T
832859244,1540,1,32340,1122,5355,1630,4640,380312,T
760544204,1592,79,380488,835,5276,652,2498,380807,F
455028836,1461,1,147561,721,3570,1630,2602,380026,T
562595896,4529,13,1037141,1182,4842,1304,1957,379956,T
173890259,1526,1,76300,955,9302,1630,3649,380856,T
831748885,1676,71,350284,1052,4208,652,3421,380673,T
912140723,1476,16,222876,2116,58915,326,3100,380830,T
207278527,1574,95,26758,3720,12189,652,3186,380756,T
194867605,1718,96,120260,750,4531,1304,2871,380653,F
427093008,1558,103,320948,4713,3760,1630,2447,380474,T
990671371,4489,21,816998,2280,5276,1304,4734,380013,T
023363541,1664,76,397696,1064,3534,652,2560,380355,T
183365696,4507,41,1081680,812,4531,1630,3770,380179,F
705038132,1453,22,241198,794,6427,326,4475,380453,T
767618564,1303,1,156360,4776,4590,978,3244,380233,T
660576440,1713,83,32547,766,5438,326,4347,380491,F
882908215,1681,83,321071,1543,3801,978,4098,380811,T
690044179,1599,105,308607,920,3644,1304,4439,380259,F
765929515,1326,16,225420,1055,4776,326,2336,380557,T
835877197,1361,6,314391,1359,7364,652,3356,380755,T
727116728,1609,86,238132,1794,29457,326,4013,380727,T
203280305,1427,9,228320,1111,3801,978,4018,380454,T
782052752,1664,82,386048,885,8621,652,4761,380349,F
610227458,1504,19,132352,901,50499,1630,2831,379915,T
942514098,1379,1,162722,1860,4713,326,4440,380091,T
704778446,1423,23,82534,2454,7214,652,3401,380609,T
791829181,1646,75,184352,1162,32135,1630,4261,380397,T
724755106,1715,98,382445,981,7214,652,2904,380350,F
680114123,1574,106,253414,862,5891,978,2374,380650,F
461351943,1479,1,53244,1007,3971,652,2796,380690,T
671671314,1559,1,321154,1557,10711,1630,3278,380188,T
371289379,4599,34,791028,2019,7214,1304,2644,380839,T
610192879,1647,100,88938,877,4531,1304,3829,380738,F
375168603,1530,86,114750,1942,4909,326,2430,380565,T
341509086,1374,13,229458,1942,6797,978,3310,380161,T
660596210,1560,109,218400,2142,4364,326,4224,380753,T
804447141,1579,71,281062,2437,5355,978,3569,380515,T
523824642,1321,1,143989,904,4842,652,3285,380210,T
522144044,1385,1,38780,1036,3971,1630,2437,380494,T
947784387,1355,16,223575,937,8837,652,2441,380274,T
249002994,1559,89,155900,733,5611,1304,4463,380643,F
093100805,1577,24,231819,1397,8837,1304,2495,380299,T
253051132,1471,1,55898,715,3644,978,4786,380377,T
576653889,1482,10,294918,1061,3682,1630,2938,380884,T
138827715,1542,94,260598,1262,4418,978,4691,380133,T
525464492,1675,77,417075,1354,11046,1630,4481,380422,T
924381971,1644,105,351816,913,3801,978,2829,380170,F
396579071,1671,105,317490,1055,8837,978,3233,380751,T
399652189,1328,20,37184,913,6931,652,4516,380212,T
449415335,1649,91,49470,810,10396,652,4562,380618,F
180648767,1691,84,67640,1249,5198,1630,3492,380182,T
355256870,1404,10,276588,1271,70698,1630,4285,380846,T
923807204,1563,90,389187,1402,3927,1630,4671,380284,T
709938744,1565,84,137720,1257,12624,652,3993,380128,T
867632176,1664,84,51584,911,5198,326,2405,380105,F
873517317,4575,29,846375,2126,11920,1619,6972,860523,T
592018928,1345,35,127775,773,4590,326,2581,380820,T
352326901,1714,85,18854,719,6312,1304,3649,380126,F
085288430,1594,77,226348,3398,7069,978,4196,380085,T
140265368,1315,2,142020,4531,6546,326,4535,379957,T
371044936,1505,1,203175,2280,4909,1630,4026,380871,T
591378789,1576,105,107168,799,6797,978,4272,380636,F
229374006,1612,85,291772,1214,15369,1304,3695,379991,T
434712375,1362,14,39498,4258,4158,1304,2373,380182,T
826720460,1698,73,242814,750,4474,1630,2898,380835,T
647852646,1422,1,247428,1564,3760,1304,3380,380626,T
909788378,1514,12,255866,1285,3720,1304,3927,380700,T
118935262,1444,1,203604,862,13092,1304,2386,380781,T
418527909,4575,15,713700,2372,3644,652,4233,380003,T
913794436,1527,17,90093,2599,6094,1304,2987,380381,T
265175368,1463,14,275044,1097,5198,326,4720,380435,T
051952449,4531,28,919793,763,8621,1630,4061,380201,F
452420360,1645,102,208915,2638,3842,652,3530,380813,T
172318162,1519,12,78988,2295,5794,1630,3369,380790,T
795003646,1572,19,319116,3971,4110,1304,2643,380474,T
978274638,1563,80,367305,877,4713,978,3871,379994,F
802293141,1426,10,280922,792,6546,1630,3068,380503,T
951268246,1572,100,306540,4063,4713,652,2017,380295,T
821303951,1435,9,354445,1061,6669,652,4232,380273,T
220570857,1651,102,120523,1077,58915,1630,2887,380369,T
490368133,1339,17,265122,1803,4909,326,3487,380083,T
988940299,4644,46,854496,750,15369,1630,3933,380792,F
