userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
305996268,3112,52,329872,1770,3622,502,5219,317004,T
081827390,3151,42,444291,1137,4450,2009,8507,316818,T
095886565,3080,55,763840,2307,8420,2512,5909,316905,T
663770283,3189,58,778116,938,22253,1004,5681,316263,F
275495856,4577,70,608741,796,7988,2009,5583,317021,T
122978704,4580,84,219840,695,8420,1004,8413,316088,T
019063748,3116,49,311600,982,5465,1004,7637,316848,F
909443476,4688,66,548496,3461,3753,2009,5650,316868,T
019964804,4106,146,357222,756,8420,502,7557,316195,T
523521299,4670,80,709840,703,4154,1507,8136,316433,T
678797077,4727,68,614510,1337,5280,502,8299,316973,T
416998135,4731,90,99351,1865,7080,2512,5961,316956,T
237276015,4182,145,991134,1011,51925,1004,7684,316816,T
679531844,3046,60,356382,708,31155,1004,10222,316625,F
447410672,3154,71,47310,2307,8420,1507,7632,316071,T
461063430,3145,47,119510,780,3146,1004,8398,316605,F
420628284,3135,63,87780,1730,6923,502,10589,316955,T
373164116,3095,40,516865,692,5192,1507,7718,317004,F
187152478,4557,66,182280,1449,7080,1507,7690,316119,T
713444539,4183,129,527058,677,3500,502,5319,316474,T
912619127,3046,32,627476,839,5280,502,7696,316583,F
310896953,4684,95,407508,1045,25962,1004,11037,316046,T
689768580,3217,44,482550,824,31155,1004,10725,316159,F
667747157,3229,55,345503,1811,9735,1507,5084,316945,T
458510642,4142,142,215384,782,3994,502,5522,316079,T
084930340,4590,79,114750,1832,10743,2512,10319,316502,T
783353129,4051,145,376743,2163,8420,1507,5738,316483,T
890215598,4696,100,154968,740,3146,502,10990,316031,T
450833015,3221,42,779482,1780,8420,1004,7564,316705,T
782614793,3220,55,244720,706,7598,502,7585,316186,F
201273412,4188,135,113076,961,4046,1507,5292,316651,T
395893164,3211,45,231192,1372,3581,1004,10628,316516,T
458520429,4551,96,869241,2396,5991,2009,6016,316800,T
685332965,4680,93,70200,935,6628,2512,10529,316577,T
432733994,4597,80,556237,1066,3753,1004,10787,316948,T
852494924,4085,156,596410,1216,4581,502,10670,316818,T
863389398,3105,57,372600,1435,3423,1507,5522,316348,T
007208742,3072,48,276480,1292,6923,1507,5571,316568,T
870136970,4669,75,616308,1056,4046,2009,5930,316739,T
169437145,3219,48,350871,1483,6231,1004,10162,316523,T
534859627,4740,76,417120,860,8198,1507,5634,316746,T
252615896,4137,157,1025976,727,5025,502,8472,316481,T
902940169,3108,55,574980,683,7080,502,8128,316057,F
176432274,4689,101,164115,662,3994,2512,7638,316820,T
286689487,4182,126,982770,3753,10050,2512,5519,316168,T
151132210,4693,92,281580,1614,5025,1507,10767,316151,T
788445002,4176,123,476064,634,5465,502,5652,316750,T
299757466,4617,92,844911,2194,3500,1004,5720,316098,T
237503197,4561,83,551881,729,22253,2512,5677,316236,T
569526358,3201,65,550572,1141,3943,502,10953,316657,T
173215709,3113,58,339317,976,4267,2512,5803,316130,F
116879445,3155,67,97805,853,3350,2009,5647,316946,F
194543432,4723,66,425070,668,3179,1004,8025,316722,T
612540861,4725,69,893025,1141,4210,502,11001,316539,T
