userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
425554323,4711,85,466389,630,701,2512,8175,316390,T
883496146,3193,101,220317,630,724,1507,7602,316973,F
713972399,4706,104,348244,630,1008,2512,8016,316700,T
411602104,3063,96,196032,630,3423,1004,8107,316757,F
911755300,3177,90,82602,630,646,1507,5287,316183,F
852892704,4730,66,420970,630,2472,1004,5146,316028,T
696826265,4738,125,123188,630,1800,1507,7528,316461,T
994541850,3272,87,265032,630,34616,1507,7635,316403,F
284381624,4642,115,450274,630,1089,1507,8160,316656,T
975085816,3143,100,135149,630,658,502,5528,316387,F
574564023,4655,108,446880,630,5025,2009,5377,316497,T
453878935,3290,68,273070,630,905,502,5529,316324,F
165783071,4754,123,299502,630,731,502,7968,316370,T
991472702,3079,92,292505,630,11126,502,5959,316699,F
264921080,4742,85,379360,630,2732,1004,8424,316605,T
292785133,3250,100,94250,630,22253,2009,5239,316371,F
093608659,4018,128,249116,630,809,1004,5164,316399,T
533024382,3308,62,284488,630,1074,1004,8022,316738,F
650451466,4764,68,414468,630,1573,502,10528,316113,T
298403812,3097,89,80522,630,4099,502,10109,316814,F
647515454,3077,65,289238,630,38943,502,7738,316965,F
968485301,4641,120,375921,630,2472,1004,7659,316730,T
711168729,4752,72,313632,630,822,502,8312,316587,T
057739876,3264,35,166464,630,5563,2009,5443,316445,F
530023667,3302,50,72644,630,641,1507,7876,316314,F
234230154,4657,113,307362,630,855,2512,8126,316809,T
866475019,4777,70,148087,630,643,2512,10609,316865,T
971648482,3136,55,81536,630,784,502,10177,316892,F
494756018,4580,73,192360,630,1730,2009,5726,316447,T
437179984,3063,46,220536,630,802,2009,8423,316084,F
138219233,4813,120,481300,630,2307,1507,10248,316024,T
752550747,3126,68,175056,630,786,502,10154,316826,F
077376983,4606,96,294784,630,4720,1507,10882,316173,T
161123357,3110,67,90190,630,25962,2512,5171,316931,F
476763231,4721,119,410727,630,28322,1507,7918,316057,T
607558778,3219,56,80475,630,1666,1004,7769,316388,F
522542976,3133,71,84591,630,693,1004,10169,316107,F
461372161,4680,87,234000,630,7598,502,5658,316095,T
233051489,3309,69,105888,630,2241,502,10259,316708,F
439489841,4558,71,433010,630,1622,1507,10217,316549,T
022727944,3312,53,149040,630,25962,1507,5555,316692,F
827404282,4764,87,290604,630,7080,1004,7562,316667,T
610357284,3323,91,206026,630,1684,1004,8377,316048,F
150043951,4575,75,343125,630,2553,1507,5671,316122,T
932538420,4653,123,130284,630,1018,502,10208,316973,T
531445213,3291,96,273153,630,2396,1004,8130,316259,F
554674277,4718,126,457646,630,4046,502,10527,316158,T
684031893,3281,31,108273,630,692,502,10945,316072,F
146969408,4557,104,277977,630,7080,1507,5410,316449,T
733730185,3205,101,92945,630,1959,502,5543,316367,F
282580555,3147,73,289524,630,828,1004,8419,316493,F
514157332,4797,130,417339,630,1052,2009,10853,316272,T
899289882,3058,41,223234,630,877,1507,10597,316828,F
261483222,4745,105,398580,630,1070,502,5431,316489,T
633624051,3206,67,70532,630,1331,2009,5694,316999,F
741717419,4684,77,468400,630,16397,1004,10185,316401,T
594440480,4573,123,448154,630,1675,1004,5970,316931,T
557873050,3189,65,299766,630,1573,502,10908,316958,F
939994348,3294,98,154818,630,12462,1004,8371,316073,F
273241574,4800,101,235200,630,9440,2009,5845,316396,T
545425082,4621,67,212566,630,10743,2512,8277,316659,T
911039303,3331,46,99930,630,1331,502,10623,316303,F
956889711,4749,85,194709,630,711,2512,8534,316217,T
949910716,3157,52,296758,630,1648,2512,5803,316853,F
473673712,3139,53,109865,630,824,1507,8492,316183,F
487487788,4843,108,121075,630,828,502,5496,316851,T
969885837,3129,58,212772,630,828,2512,5343,316908,F
761918038,4239,163,377271,630,1276,502,8400,316349,T
224115843,4093,173,151441,630,2194,1004,7546,316380,T
592309173,3246,33,207744,630,964,1004,5730,316209,F
698525231,4049,139,388704,630,1303,502,5696,316958,T
513264693,3266,50,97980,630,1189,1004,7796,316560,F
891153220,3092,51,194796,630,892,1507,5228,316855,F
467835001,4735,82,293570,630,1442,2512,10979,316466,T
837176862,4102,175,377384,630,998,1507,5700,316254,T
659809770,3062,42,156162,630,949,2009,7997,316516,F
739134851,3233,39,261873,630,1348,1004,5335,316845,F
265840625,4785,72,468930,630,623,2009,10577,316338,T
397169312,3043,84,258655,630,2939,1507,8262,316272,F
868559415,4136,141,310200,630,1409,502,7561,316056,T
417522461,4730,81,198660,630,690,1507,5396,316770,T
748043872,3243,42,81075,630,1597,1004,10342,316979,F
607245732,4165,123,224910,630,776,502,7917,316912,T
349152429,3150,47,220500,630,700,2512,5595,316592,F
817297639,3319,42,328581,630,905,1004,10719,316485,F
271427241,4587,94,357786,630,5664,1004,10794,316737,T
712288690,4820,118,477180,630,3146,1004,5157,316085,T
358266147,3096,77,105264,630,863,502,5901,316416,F
205582708,4627,102,148064,630,809,1004,7717,316751,T
818563138,3184,59,130544,630,756,2009,7642,316564,F
837898831,3239,68,87453,630,2010,1004,5922,316758,F
919228265,4279,132,423621,630,3581,1004,5752,316159,T
676951016,4733,89,269781,630,634,1004,5502,316077,T
273165832,3262,44,101122,630,1298,502,5261,316102,F
057257449,4643,115,218221,630,1721,1507,8273,316545,T
704127174,3049,71,94519,630,1342,1004,5598,316478,F
189274341,4795,133,249340,630,786,1004,8267,316131,T
917379116,3185,51,76440,630,1519,2009,5042,316386,F
554157350,4217,175,400615,630,711,502,7946,316744,T
367163563,3205,61,134610,630,4515,1507,5376,316637,F
