userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
814616234,1979,1,182068,566,2881,415,3345,65398,F
625921361,3333,60,579942,172,1196,415,3395,65367,F
733241435,362,1,43802,640,1440,831,3807,64870,T
396316572,3315,74,500565,640,1196,1247,4956,65360,T
668991221,417,4,75060,581,674,415,5457,64901,T
501653593,382,1,63030,178,1056,2078,4235,65601,T
173136393,3237,60,462891,473,2264,415,2584,65444,T
194836522,287,1,67732,127,2438,831,4256,64985,T
871737178,414,1,46368,782,2641,831,2846,65186,T
528386074,3272,74,808184,128,1074,831,5110,65220,F
950520023,379,1,32594,183,1112,415,2824,64955,T
305057548,3319,64,311986,182,1219,831,2563,65520,F
879262950,297,8,56430,384,2113,2078,3490,65439,T
477213176,1952,14,318176,354,9056,831,2782,64837,F
413156111,287,20,62279,135,4876,1247,3982,64802,T
522551255,384,1,16512,205,2264,415,3751,65554,T
405079274,1989,29,212823,346,2044,415,5419,65182,F
496209407,3331,81,269811,370,3169,1663,4954,65346,T
236250096,374,1,7854,223,3336,2078,3946,65140,T
287340518,3320,71,401720,148,856,415,5047,65227,F
880990478,305,14,61610,174,932,1247,2777,64997,T
771370016,3220,78,734160,276,5282,2078,3032,65716,F
996406189,406,1,53592,172,1474,415,2646,65409,T
693102973,3308,77,542512,425,1056,1663,5972,65643,T
102538032,316,1,42660,289,667,415,3317,65159,T
213303308,333,17,23310,189,737,2078,2606,65183,T
112893147,313,1,40064,129,946,415,5090,65149,T
364161899,263,11,40502,185,892,831,3340,65676,T
935352334,369,1,80442,235,2044,831,5150,65224,T
831592642,263,1,37346,235,856,1663,4295,65322,T
187535008,3154,61,346940,241,1006,415,5800,65456,F
153141221,3278,75,121286,812,918,1663,2994,65304,T
922159132,3278,80,763774,156,975,831,5339,65530,F
821029199,278,1,43090,168,2756,1247,5894,65062,T
378127293,378,1,27972,143,640,1247,3088,65290,T
111887530,390,1,56940,473,2438,1247,3261,64939,T
682209836,244,1,48068,377,773,415,4062,64817,T
790558990,387,1,32895,235,1584,831,5595,65356,T
692210475,385,22,34265,234,3521,831,2707,65157,T
496886060,414,3,60858,297,1267,1663,4123,64748,T
563248174,354,17,58056,236,1173,1247,4584,65558,T
021238018,364,21,53144,153,792,1247,3070,65318,T
822204021,1973,29,284112,293,1760,831,2566,65162,F
137106327,309,1,29355,139,1112,415,5851,65028,T
752017465,256,1,16640,134,1981,415,5568,64926,T
062256435,380,7,42180,284,6339,415,2866,64781,T
317204816,1975,12,156025,660,720,1663,3217,65351,T
403880155,3252,50,569100,434,1811,2078,2666,65154,T
029691837,278,19,41700,689,905,1663,5817,64907,T
022069904,369,5,4797,480,4876,1663,3765,65580,T
773149278,3205,81,80125,792,823,415,3927,65515,T
650647210,239,1,22705,782,1864,1247,2676,65270,T
981583356,3140,50,580900,469,728,1247,3954,65552,T
052135413,387,1,79722,251,918,1663,5697,65261,T
786874968,241,1,8676,129,1152,415,3218,65688,T
542586329,3208,57,718592,379,834,415,5548,64833,T
654274446,243,1,16038,173,3962,831,3031,65634,T
746622881,387,4,94815,581,4876,415,5798,64888,T
887172370,3225,72,780450,172,2641,831,3228,65352,F
517823769,431,13,83183,340,1811,1663,2766,65197,T
070318479,392,1,92120,268,3962,1247,3950,65145,T
678855701,3220,48,515200,127,674,415,5000,64819,F
046952981,423,1,64719,152,745,2078,2519,65010,T
708472080,2046,8,497178,737,1196,831,4044,65577,T
063354663,355,1,23075,449,946,1663,3817,65251,T
237177838,300,1,65400,561,1509,1247,3882,65151,T
834966044,433,1,104786,211,9056,2078,5163,65077,T
238569404,1954,1,41034,633,856,415,3386,64969,T
749513463,405,20,75735,284,1006,2078,2638,64954,T
653884046,430,11,104490,235,1320,831,5506,64821,T
002408449,258,22,15222,193,1074,1247,5350,65261,T
867291963,2067,10,510549,561,1320,2078,2888,65623,F
067069483,341,11,41943,313,856,2078,3183,65711,T
919725527,266,1,61180,667,2113,831,5175,65487,T
278116876,251,12,37148,476,681,1663,3196,65616,T
260327040,341,19,21142,203,1092,2078,3934,65419,T
692934448,3197,55,476353,358,3336,415,2501,65709,T
503315369,368,11,36800,198,1440,831,4493,65610,T
777834537,3196,48,600848,368,1112,831,4081,64973,T
790776855,3270,59,447990,233,1243,831,2619,65042,F
000799421,364,1,44044,541,728,2078,3044,65214,T
474749023,407,1,99308,148,1196,831,4061,65416,T
269481641,436,15,44472,419,1811,415,5045,65562,T
072743313,290,9,68730,640,868,831,4640,65149,T
044609328,315,1,22995,183,2535,415,3843,64754,T
893450440,317,1,15850,172,946,2078,3458,65624,T
385169668,1988,9,437360,603,6339,831,3041,65192,F
898926370,3185,58,340795,140,1584,415,3980,65333,F
694743661,1974,18,380982,299,3521,415,5109,64907,F
276127225,3282,68,790962,162,1152,415,4178,64906,F
743102480,3171,59,317100,147,3336,415,4302,65526,F
875294982,3155,63,378600,224,4876,415,5429,64743,F
009347544,267,5,5073,207,1152,831,5883,65148,T
502623569,3294,68,161406,551,918,1663,4496,65735,T
346755041,3211,71,314678,566,696,2078,3995,65116,T
197156381,3226,51,709720,200,868,415,2960,65582,F
298112575,258,1,42312,274,2185,1663,3979,64934,T
295389296,403,1,10075,226,667,1247,3923,64844,T
733617054,321,14,34668,249,2264,415,3248,65651,T
117311040,3210,67,410880,150,1921,415,4628,65381,F
593389948,350,18,19600,660,6339,831,2568,65114,T
070798990,3196,78,348364,150,763,831,4401,64977,F
101796874,420,13,35700,483,4226,1663,4082,65619,T
848782555,282,1,47094,252,4226,1663,5415,65488,T
406038077,389,8,33454,165,1811,1247,5444,65035,T
351812991,398,16,28656,411,1293,831,3343,65525,T
026345538,3260,78,270580,523,2756,2078,3486,64962,T
297625315,3311,43,331100,646,892,1247,4167,65086,T
321821824,3298,43,237456,483,5763,415,2929,65127,T
419513659,288,1,19584,162,1546,2078,2763,65052,T
674539086,287,21,3157,147,5763,1663,4157,65455,T
490434926,3143,79,440020,480,1713,2078,3233,64763,T
374505967,322,22,3864,152,1584,1663,2642,65005,T
930266609,3322,41,109626,266,4226,415,5867,65612,F
565853455,3293,68,46102,177,1440,415,2999,65156,F
752463379,3252,77,504060,306,1074,415,4207,65701,F
099640987,372,1,5208,263,2264,415,4979,65342,T
512293384,325,7,4225,398,2264,415,4199,65351,T
173098192,259,1,64232,185,1196,2078,2622,65715,T
365320358,299,1,34684,856,653,1663,4495,64811,T
492404171,3172,80,282308,712,1625,2078,5870,65492,T
466402876,1937,10,244062,905,1811,1663,2593,65047,T
590477592,438,17,64824,160,3336,415,5391,64913,T
826800673,264,9,63096,152,1713,1247,5611,65032,T
965441810,254,1,15240,507,932,415,3053,65185,T
246595975,283,12,33960,241,782,2078,4459,64810,T
823643024,3323,47,392114,256,9056,831,5103,64968,F
452885280,3155,45,369135,207,7924,415,2710,65215,F
561755967,275,1,57200,158,3169,2078,4294,64747,T
247578743,391,1,63342,546,975,1663,3710,65391,T
150840153,3327,42,375951,434,990,831,2792,64947,T
642379483,3323,67,285778,339,812,1663,5366,65158,F
974816853,276,1,51612,175,1152,1247,4181,65279,T
094197104,347,6,40946,228,667,415,3076,65493,T
158402865,3310,58,314450,452,1267,831,4219,64874,T
869218325,382,22,72580,162,2185,1663,3323,64947,T
213266948,3328,79,492544,381,918,831,5486,65332,T
774252852,3207,68,747231,408,932,415,2571,65216,T
473441108,294,1,32046,476,1056,831,4536,64854,T
764034937,360,1,59040,168,1348,1663,3398,65104,T
315942123,242,11,54450,170,3521,1247,3079,65197,T
394630238,384,5,38784,375,1348,1247,3024,65231,T
056311102,262,16,42182,230,674,1663,5365,65608,T
065769814,400,1,78000,193,1112,415,3144,65000,T
222159781,369,1,72693,138,7924,831,4438,65284,T
813506732,257,1,31611,141,868,1663,5786,65106,T
667261895,403,1,28210,621,3521,831,4494,65331,T
368550458,411,7,15207,306,1056,1247,4105,65278,T
416997689,3156,62,451308,132,9056,831,3928,65282,F
564886885,1977,14,405285,823,960,1663,4954,64927,T
294907474,265,1,41075,175,3018,2078,5191,65224,T
161939208,2105,12,204185,456,1092,831,5668,65634,F
