userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
432759730,305,1,11590,156,187,1663,5918,65473,T
361070093,3284,102,75532,156,856,415,3311,65119,F
497470062,333,48,15984,156,337,1247,2633,65586,T
647865125,3311,70,188727,156,187,831,2577,65026,F
410418969,417,1,15429,156,290,1663,5763,65234,T
293769637,3213,65,266679,156,576,831,4661,65680,F
935168265,481,17,18759,156,134,2078,5711,65727,T
199002983,3212,90,321200,156,130,415,2686,65688,F
257725569,344,43,11352,156,1219,2078,4604,64808,T
934773106,3369,90,289734,156,1152,415,3955,65423,F
959395751,305,48,14640,156,173,831,5248,64956,T
213085506,3172,90,76128,156,137,415,3413,65337,F
008248605,419,50,30587,156,300,1663,3018,65200,T
251769231,3354,84,305214,156,10565,415,3133,65176,F
859176465,303,36,10908,156,183,1247,5345,65107,T
866862948,3309,79,317664,156,674,415,4068,65286,F
599578897,528,3,30624,156,224,1247,4478,65491,T
428869755,3407,61,299816,156,868,415,4687,65134,F
229297796,390,1,14430,156,802,415,5964,65024,T
797573345,3241,64,233352,156,166,415,5811,65529,F
709801814,256,4,15360,156,149,831,4149,65026,T
631553204,3184,90,95520,156,138,415,4701,65677,F
353337693,411,34,23016,156,152,415,3735,65077,T
444103197,3335,52,263465,156,263,415,3927,65001,F
632494516,369,46,22509,156,141,415,3829,64838,T
967814219,3300,105,313500,156,187,415,3396,64942,F
994396644,3239,80,136038,156,300,415,2951,65115,F
812195250,527,1,34782,156,1348,2078,5213,65384,T
526850184,335,1,11725,156,131,415,4210,65161,T
680575107,3182,67,289562,156,153,415,5540,65688,F
434399084,407,37,21978,156,440,1247,4226,65611,T
571467386,3278,102,275352,156,166,415,3901,64871,F
921397495,428,1,18832,156,354,831,4627,65727,T
836954030,3318,93,86268,156,220,415,5834,65379,F
731883717,380,25,17100,156,2881,1247,2741,65735,T
358508355,3140,81,304580,156,515,415,5602,64984,F
996836311,390,24,35880,156,220,415,3796,65232,T
919076091,3315,66,328185,156,134,831,4241,64885,F
344678546,530,21,53000,156,459,1247,4700,64898,T
297252706,3253,88,227710,156,143,415,5940,65115,F
226165247,525,6,35700,156,318,1247,3852,65559,T
100340718,3177,63,317700,156,127,831,5141,65185,F
958130925,341,9,10571,156,175,831,4284,65192,T
497378300,3319,61,192502,156,134,415,5094,65140,F
535808676,261,25,8091,156,160,415,5597,64924,T
963629529,3261,52,303273,156,257,415,4230,65147,F
250638084,305,1,17995,156,196,2078,3711,65375,T
786879032,3291,90,236952,156,307,415,3730,65653,F
349670673,311,18,13684,156,167,1247,5473,65583,T
327940244,3178,74,317800,156,175,831,3316,65703,F
999658945,382,1,21392,156,152,1663,2738,65163,T
586081574,3212,104,285868,156,473,831,4257,65578,F
270166630,501,50,17034,156,235,831,2767,64950,T
320980138,3391,95,332318,156,437,415,4554,65109,F
483988284,320,8,31360,156,1811,415,2579,65702,T
710838082,3337,95,206894,156,292,415,5536,64890,F
312236015,303,9,20907,156,203,1663,5324,65488,T
543701779,3267,86,274428,156,164,831,4616,64812,F
710547086,3279,53,219693,156,603,415,2867,65127,F
202529837,458,18,18778,156,160,2078,5252,65684,T
281381034,455,1,24570,156,205,415,2818,64838,T
798967923,3355,64,97295,156,571,415,4224,65713,F
287047866,519,8,18165,156,250,1663,3336,64771,T
624661938,3435,95,278235,156,171,831,4684,65366,F
239337115,531,48,39825,156,316,415,4336,65132,T
692331348,3282,106,65640,156,234,415,2835,65489,F
071461234,3148,110,254988,156,1509,415,5254,65728,F
840685987,451,47,35629,156,182,1663,5492,65168,T
538987218,482,1,45790,156,193,415,4979,65129,T
953637146,3432,96,171600,156,204,415,3960,65171,F
182405107,474,45,20856,156,2641,2078,2971,65328,T
839897597,3305,94,267705,156,154,831,3046,64853,F
122504137,263,32,6312,156,212,1663,3096,65525,T
323487837,3374,65,175448,156,153,415,2532,65379,F
767832183,3235,105,197335,156,170,415,3255,65745,F
261716239,532,1,51072,156,189,831,2747,65380,T
910321226,421,1,35364,156,146,831,5044,65129,T
278531028,3222,90,302868,156,158,415,2486,65650,F
328607972,425,34,19125,156,339,1663,5115,65410,T
592534225,3187,87,270895,156,222,415,5917,65330,F
207131329,301,23,18963,156,240,1663,4355,64741,T
385577881,3320,74,225760,156,150,415,5720,65098,F
468421946,3293,69,289784,156,261,415,3150,65098,F
465187019,382,18,32852,156,1173,415,5157,65253,T
804906732,410,9,20910,156,1039,415,4159,64990,T
063578395,3281,62,285447,156,388,415,3405,65628,F
191815019,277,1,27146,156,235,831,3792,65267,T
255607082,3432,54,140712,156,1074,415,5457,65045,F
846581960,332,40,9296,156,227,1247,4665,65098,T
331665852,3180,80,225780,156,257,415,4538,65706,F
301272184,387,14,10449,156,440,1663,2886,64949,T
412177875,3339,41,293832,156,162,415,2913,64902,F
240924278,395,11,8295,156,284,415,2670,65270,T
016816123,3382,41,338200,156,142,415,5391,64757,F
882692652,395,52,13825,156,301,831,4379,65716,T
629897995,3319,75,325262,156,315,415,3895,65155,F
670814493,3322,68,305624,156,211,831,2855,65299,F
635170319,277,33,18836,156,255,1247,2643,65116,T
867975134,452,43,42036,156,462,1247,5203,64775,T
255953159,3307,54,205034,156,217,415,3073,65290,F
