userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
293594226,1021,179,158255,315,6826,1948,4026,160245,F
817876608,4392,894,1018944,2039,17445,1461,4456,159701,T
287805446,895,182,128880,918,19626,487,6374,159722,T
873077559,953,168,175352,437,1987,974,8698,159809,T
232146759,926,173,208350,682,2308,487,3988,159710,T
647829923,4511,913,780403,357,3204,1948,8637,160080,T
751833109,4438,877,301784,329,8263,1948,8701,160547,T
666035856,4934,40,1060810,326,9235,1461,4657,160415,F
429934643,4920,27,856080,679,1987,974,3855,160135,F
068496953,1029,165,221235,1365,5414,1461,4640,159816,T
915037595,975,168,9750,707,3078,2435,8672,160423,F
429454018,4428,904,287820,1217,4361,974,6058,160111,T
963789788,1050,148,30450,528,9813,1461,6413,159890,T
942392108,4393,885,1063106,2039,1962,1461,4440,159650,T
784285328,4559,893,455900,1453,4486,1461,8338,160525,T
906459465,928,173,18560,341,7476,1461,6168,160249,T
579874017,4561,915,209806,957,6038,974,4393,159975,T
470071263,2237,57,552539,356,2907,487,6576,160436,T
300269904,2206,71,178686,1539,1706,2435,6401,160559,F
150972705,4439,911,790142,513,5064,487,4033,159642,T
926337596,4409,893,105816,442,4617,2435,7865,160217,T
013969305,2155,46,239205,1090,19626,487,6246,160312,T
264832700,4833,41,768447,334,2453,974,6076,159866,F
396511769,4545,889,449955,2121,1987,487,4263,160570,T
084991193,2175,56,365400,380,4361,487,6395,160349,T
137495259,972,161,242028,688,2012,2435,8093,159736,F
972169347,4906,42,927234,716,3829,974,4258,160435,F
642291148,884,171,117572,620,5815,974,7822,160420,T
066772235,4454,897,685916,518,17445,2435,4659,160067,T
802737408,4428,883,526932,1090,5815,1461,4373,160022,T
354320848,907,177,163260,685,2039,2435,6249,159963,F
751003147,1208,20,302000,577,19626,487,4545,160397,T
638544846,4499,892,742335,361,2661,974,6492,160366,T
851170215,4425,882,1079700,2121,17445,2435,4332,159648,T
382602922,2261,37,264537,1090,4617,1461,4174,159674,T
714944626,4474,908,608464,419,5233,974,8022,160002,T
140494143,952,143,38080,993,1784,974,8346,159991,T
291462620,1076,161,151716,665,7850,1461,8431,160018,T
386247387,4429,897,890229,613,1891,1948,8100,160137,T
725820348,2270,71,202030,1440,2803,2435,5799,159783,F
923243620,2186,32,100556,560,2343,2435,6306,159999,F
241245036,1034,145,177848,723,1585,1948,3878,160392,F
356316400,4526,916,113150,426,2754,487,8759,159862,T
761212589,2216,56,139608,475,3204,1948,7787,159842,T
247095561,901,157,55862,700,6826,1461,8664,160314,T
169725234,4554,900,132066,484,2378,487,6719,159723,T
290643144,4447,896,778225,412,2378,1461,4486,159974,T
232938980,2233,51,410872,948,22826,1835,5461,435023,T
530815483,2305,42,567030,558,4025,2435,6260,160500,F
824594788,1271,16,269452,558,2211,487,6007,160376,T
742712235,2249,65,26988,552,7136,1461,6836,160532,T
549009087,892,158,108824,365,8263,2435,4453,160380,F
667330287,4866,48,924540,414,31402,487,4132,160116,F
644122140,4533,901,779676,368,11215,1948,6236,160225,T
993724036,948,171,27492,460,1602,974,8273,159709,T
960126158,2280,55,428640,608,2039,487,6772,160404,T
607318633,2171,36,531895,360,2275,487,8294,160288,T
103259565,941,158,130799,1467,3204,1461,6302,159830,T
498561164,2272,57,256736,500,4486,2435,6799,160043,F
843191036,4565,877,734965,415,1962,974,8762,160440,T
806735481,902,155,37884,436,1962,1948,6598,159574,F
163700944,4487,906,1009575,762,7476,974,8159,159736,T
025255433,2208,36,430560,716,2661,974,8612,160391,T
863466169,887,148,24836,388,4757,974,6570,160107,T
366423652,4508,891,297528,483,1784,1948,4356,159832,T
366788049,1024,152,194560,934,3204,487,6613,160041,T
537342113,2171,65,310453,443,6826,2435,4602,160334,F
448787565,1002,157,169338,987,2661,1461,7902,159734,T
