userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
294650126,1135,202,91935,329,6280,2435,6348,160484,F
754283556,2242,48,186086,329,4361,1948,6385,159844,T
579542410,4528,915,353184,329,327,1461,4042,159856,T
191124395,1014,204,73008,329,518,1948,4233,159948,F
937426617,2343,65,159324,329,386,1461,8435,159945,T
064417753,1104,147,93840,329,444,1948,4019,159913,F
220888863,4685,893,356060,329,314,974,6653,159870,T
871752671,956,205,90820,329,545,1948,4635,160045,F
589056243,4443,942,195492,329,1602,2435,4343,159592,T
346618164,1095,212,32850,329,1847,1948,8287,159607,F
913649941,2290,91,87020,329,923,2435,4641,160401,F
380583560,2339,55,173086,329,1217,1948,5903,160228,T
082571312,2205,89,81585,329,6280,1461,8085,159745,T
947689965,970,213,88270,329,579,2435,6794,159749,F
890706136,992,150,94240,329,758,487,7846,160379,T
439998038,2175,84,182700,329,603,2435,6470,160347,F
573776652,1174,184,91572,329,417,1461,7946,160282,T
262813349,2425,77,198850,329,405,2435,4602,159994,F
305347869,919,182,84548,329,564,2435,4601,160552,F
007027702,1123,163,26952,329,422,1461,5961,160145,T
660802439,4622,910,268076,329,710,487,8129,160480,T
668731513,925,176,49950,329,2415,2435,4280,160245,F
297367635,2304,43,92160,329,773,2435,6589,160078,F
754694821,2297,82,229700,329,321,1948,6613,160193,T
197385567,1173,163,55131,329,654,487,8597,160078,T
548994652,948,166,91956,329,1163,2435,6820,159830,F
479510871,4529,937,271740,329,11215,1461,4888,160256,T
775877994,2417,89,205445,329,3651,2435,6261,160234,F
434231420,972,197,73872,329,897,1948,4703,160578,F
113332047,4517,923,356843,329,329,1948,3862,159986,T
705492804,2269,78,197403,329,341,1948,4726,159820,T
363228639,1010,164,58580,329,2661,1948,6383,160264,F
662161497,2199,95,158328,329,416,1948,8614,160098,T
158288133,2345,51,107870,329,562,2435,8676,160518,F
634910625,1024,190,68608,329,688,1461,4783,160536,T
896200560,2389,81,162452,329,1012,2435,6771,160196,F
053231819,2185,71,54625,329,1006,1948,6049,159791,T
480302594,923,174,37843,329,867,2435,6313,160265,F
741059626,1144,152,67496,329,545,2435,5864,160000,F
141271767,4492,922,287488,329,1987,1948,8773,159727,T
622787768,1148,152,96432,329,912,1948,8733,160434,F
000846614,4387,930,285155,329,437,487,4430,159631,T
884398746,4597,926,119522,329,1670,1461,6236,159699,T
815755254,1000,200,81000,329,912,1948,4730,160511,F
373672539,4589,938,252395,329,4025,487,4489,160526,T
240638255,1092,203,32760,329,3078,1948,7954,160354,F
390038719,1079,146,72293,329,6280,487,6276,160091,T
907572531,2299,64,94259,329,633,2435,6318,160289,F
480180322,2217,38,215049,329,969,2435,6408,160544,F
112511633,978,204,42054,329,360,487,8654,159677,T
395574119,936,176,71136,329,6280,1461,4058,159633,T
460481104,1009,185,85765,329,437,1948,8417,160491,F
644243066,4393,891,101039,329,325,1948,6838,159916,T
377599183,898,152,70044,329,7476,1948,8344,159766,F
065670192,976,177,72224,329,3271,974,8393,160331,T
415697378,2149,94,189112,329,1180,2435,6037,159802,F
419680073,4450,881,293700,329,581,974,7801,160505,T
792922497,2186,66,111486,329,1006,2435,4327,160437,F
058505385,4683,919,290346,329,356,2435,6590,159783,T
013882785,2288,48,116688,329,2661,2435,8675,159982,F
907037270,4646,943,385618,329,2573,487,8151,159984,T
629700816,940,183,19740,329,449,1948,6643,159767,F
674837819,4645,906,106835,329,395,2435,4255,160574,T
348888237,1066,165,36244,329,599,1948,4229,159715,F
049656341,4626,945,282186,329,7136,1948,8762,160542,T
005079859,2403,65,161001,329,606,2435,6131,160387,F
640337237,910,190,46410,329,1256,1948,6477,159983,F
613721197,946,190,52030,329,1286,487,6403,160311,T
029597531,4507,901,392109,329,414,487,4814,160487,T
240600708,906,152,20838,329,640,1948,8115,159605,F
102978895,1118,167,102856,329,670,2435,7987,160233,F
446574958,886,146,38984,329,700,487,6445,159769,T
514009470,970,167,88270,329,3568,974,4417,160175,T
585968400,2147,56,139555,329,665,2435,4641,160328,F
917088360,1135,175,86260,329,3078,487,5935,160214,T
729055543,1105,154,56355,329,1725,2435,8281,159842,F
374691561,1038,194,100686,329,1570,1948,4628,159715,F
163752255,4410,893,123480,329,363,1948,7767,160376,T
681401148,1008,185,69552,329,1146,1948,6356,159798,F
485478442,1157,155,55536,329,526,1461,4136,159763,T
400084079,1090,147,65400,329,2065,974,3955,159892,T
756688659,888,148,88800,329,934,2435,4774,160126,F
662854223,4464,898,392832,329,358,1948,4617,159604,T
954693246,964,157,44344,329,872,2435,8516,160079,F
341395772,4635,881,310545,329,2532,1948,8762,159639,T
894418424,905,212,67875,329,463,1948,4353,160302,F
486618301,4421,902,167998,329,762,1948,4761,160452,T
996237448,2215,45,66450,329,315,2435,6439,160537,F
800209203,4632,929,412248,329,467,487,4222,159745,T
380792242,2173,46,119515,329,844,2435,4826,160148,F
849637127,4490,939,255930,329,1082,487,4279,159998,T
023109967,2161,37,149109,329,331,2435,6033,159610,F
407010037,933,211,55980,329,383,2435,4443,160124,F
490576289,4671,942,228879,329,2343,2435,4728,160229,T
739872578,1017,160,83394,329,408,1948,7996,160450,F
782261518,4686,881,121836,329,1744,974,8402,160091,T
547028571,1058,171,73002,329,726,1948,4472,160439,F
716159091,4446,897,284544,329,581,487,4550,159847,T
632550819,4660,922,372800,329,339,1461,7895,160077,T
743189040,892,208,28544,329,403,2435,6622,160031,F
