userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
437292429,5028,65,889956,1218,67039,343,4693,612713,T
402937130,3294,164,306342,1567,100558,1718,3499,613246,T
212521884,4899,80,563385,1314,46411,343,4573,612999,F
778323891,3228,196,342168,1323,18854,1374,4382,613304,T
079753705,4973,63,517192,1600,14031,1718,4393,613000,T
281068708,3322,179,475046,1328,60335,1031,4519,613195,T
048401346,4927,88,739050,1426,86193,1031,4375,613535,F
984645718,3377,169,87802,1662,37709,1718,4831,613213,T
088413923,4910,75,751230,3279,14715,1718,4502,612905,F
216193163,5040,63,1028160,2356,18854,687,4397,613149,T
500554741,3228,180,645600,1328,10774,687,3869,612844,T
054105749,3266,189,450708,2080,11173,1031,4651,613292,T
761819833,4964,95,655248,1714,13407,687,4433,613350,F
860002098,5033,82,875742,2202,50279,1718,3940,613106,F
278484320,4919,63,423034,6220,33519,687,3541,613406,T
594917860,3364,197,77372,6418,7098,1718,4985,613039,T
507742422,3373,185,418252,1396,22346,687,4493,613338,T
372881172,4919,78,600118,5339,7448,687,4009,613033,T
310581830,3224,203,477152,2717,15877,343,2706,613232,T
399088569,3347,164,398293,2259,31755,343,3486,613524,T
472904347,4995,57,799200,5485,6351,343,3269,612979,T
741522850,3366,170,383724,1500,16306,1031,2063,612933,T
771946370,2915,26,61215,1583,10226,1374,4980,613430,T
221894214,3280,196,715040,1387,6033,1374,4130,613406,T
963895242,3270,187,389130,2394,11383,1374,2849,613141,T
059068106,3313,175,573149,1694,28731,687,3491,613250,T
336503969,4901,65,220545,6418,27425,343,4303,613445,T
632230701,5047,87,555170,5586,7835,1031,3907,613548,T
236082536,3353,183,231357,3943,67039,687,2065,613136,T
244976284,3229,173,729754,1575,8044,1031,3196,613142,T
767586585,3234,166,481866,3031,6418,687,5121,613275,T
966520240,3235,167,478780,3078,46411,1031,4170,613478,T
333816037,3264,202,261120,1416,12313,687,3102,613270,T
464077347,3299,167,729079,2442,10226,1374,3013,612660,T
650293867,3264,203,398208,2886,6703,1718,3138,613199,T
357905232,4990,94,1077840,3031,7637,687,3688,613178,F
037202434,3227,182,70994,5246,33519,687,4282,613347,T
828213408,4974,68,805788,4022,24134,343,2655,613569,T
118536618,3371,186,505650,2845,14715,1374,4469,613429,T
903899252,3251,192,204813,3818,14365,1374,4469,612610,T
053180924,3340,164,641280,2011,12837,343,3803,612920,T
261257217,3232,188,743360,2482,6630,343,4023,612918,T
901694062,3242,188,512236,1604,7835,1031,3035,613144,T
033932124,3297,183,603351,1785,7448,1031,3384,613502,T
870725644,4870,73,1139580,3226,35491,1374,2150,613339,F
887613027,4983,71,1200903,5691,27425,1031,5057,612941,T
428958199,3329,171,782315,1489,50279,1718,3474,612686,T
625556108,3211,177,728897,1331,26232,1718,4618,613199,T
566228906,4885,66,180745,3370,7357,343,4619,613207,T
345389633,3255,175,156240,1779,7269,1374,2678,613279,T
592773986,4937,75,246850,3724,22346,1374,4755,613384,T
917265418,4934,92,1179226,4469,12569,1718,5080,612594,T
583948461,3318,184,122766,2503,12837,1031,2022,612840,T
666031130,3259,165,48885,3507,7357,1374,2315,612643,T
438300785,3351,187,650094,3591,35491,1031,4561,613088,T
891988625,3201,169,288090,2154,24134,343,4327,613484,T
499916601,4869,89,452817,4788,26232,687,2926,613269,T
628453692,5011,78,666463,5801,7835,343,2362,613575,T
419750459,4971,63,238608,1231,100558,343,4548,612716,T
215189472,3247,165,519520,8379,7541,1718,3059,612671,T
