userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
385128084,3482,228,205438,1785,1251,1718,3018,613501,T
645211462,4952,71,316928,1785,1278,687,5020,613577,F
375080821,3425,212,106175,1785,1539,687,4762,613201,T
662857344,4902,80,382356,1785,18283,1374,4166,612834,F
538307956,3435,189,336630,1785,2080,1718,3466,613562,T
608965680,4948,78,286984,1785,8872,1031,4642,613049,F
449833716,3318,178,242214,1785,1685,1031,4620,612990,T
278334233,5022,101,462024,1785,1671,687,4738,612849,F
170401137,3340,195,257180,1785,6630,687,2142,613175,T
802495521,4937,70,256724,1785,1909,1031,5033,613036,F
876939522,3481,163,240189,1785,3770,1374,4597,613008,T
284845330,4882,72,385678,1785,20805,1718,4363,613256,F
821872499,3419,225,95732,1785,1527,343,4480,613278,T
104112198,4852,95,101892,1785,3243,1031,5078,612612,F
524652399,3389,176,183006,1785,1390,343,4120,612973,T
458785576,4949,94,440461,1785,2087,1718,4994,612576,F
790393233,4903,58,455979,1785,1709,1031,4943,613514,T
702956538,4993,99,409426,1785,1559,1718,4833,613387,F
477818463,3302,233,241046,1785,2432,343,4214,613522,T
951281971,4952,98,242648,1785,5535,1031,5084,613573,F
884618212,3349,195,87074,1785,23205,1031,4298,613098,T
659098245,5139,96,251811,1785,2124,1374,5031,613196,F
267622525,3470,225,187380,1785,1254,687,3702,613464,T
887201411,5139,82,380286,1785,1915,687,4372,612925,F
067083336,4888,65,131976,1785,1236,343,4951,613450,T
473372284,5103,74,153090,1785,12569,1374,4569,612617,F
937143379,5076,67,258876,1785,1630,687,4486,613466,T
551836730,4941,109,98820,1785,15470,343,4748,613222,F
361032015,3201,177,217668,1785,7735,343,3513,612912,T
426427345,4941,87,345870,1785,4865,1718,4799,613511,F
745038156,3351,219,191007,1785,2900,1718,3079,613493,T
625307607,5039,76,297301,1785,2347,687,4971,612983,F
359870890,3206,208,269304,1785,1482,1374,2176,612863,T
791970341,5148,101,432432,1785,46411,687,4983,612606,F
980908283,3449,203,234532,1785,1779,343,3296,613011,T
870490824,5141,81,452408,1785,1927,343,4817,612948,F
819763878,3283,194,105056,1785,2462,1374,3674,612626,T
543503867,5051,103,454590,1785,1559,687,4786,612881,F
551733433,3356,208,70476,1785,28731,687,2227,613388,T
769230817,4850,115,155200,1785,46411,1718,5060,612694,F
305696620,3377,228,178981,1785,4372,343,4369,613164,T
352294224,4989,77,359208,1785,1211,1374,4948,612808,F
566373455,3480,188,191400,1785,2139,1031,4309,612874,T
990302170,5089,73,274806,1785,3209,343,4992,613520,F
862233445,3426,224,106206,1785,2859,1374,4122,613396,T
184034997,4957,93,470915,1785,2730,687,4555,612631,F
694795357,5115,60,475695,1785,12067,687,4243,613456,T
299627309,4921,85,452732,1785,3333,1718,4693,613058,F
402197147,3484,181,229944,1785,5973,1374,3312,612714,T
530412984,4874,82,185212,1785,1390,1374,5068,613453,F
597740599,3389,190,183006,1785,2600,1031,3086,613467,T
173828387,5058,74,429930,1785,1308,1374,4638,613192,F
550755210,3486,200,188244,1785,1690,1374,2116,613419,T
970124714,5047,70,171598,1785,1753,1031,4611,612959,F
345544061,3476,165,125136,1785,1822,343,2124,613033,T
