userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
825779434,2148,1,100956,1006,7878,1895,6073,426394,T
299293492,2147,17,98762,1113,19509,1421,3937,425769,T
271912662,2197,31,37349,1417,5612,2369,7976,425832,T
014664903,2261,3,63308,2498,6608,473,4314,426764,T
668216010,2218,1,46578,1437,51213,473,4124,426521,T
657589268,4703,177,926491,1619,14632,1421,4262,426026,T
681951764,2136,2,273408,1361,68284,947,5897,426628,T
147146718,4894,36,406202,2048,7063,947,7747,426590,T
503284477,4848,177,387840,2424,8717,1895,4434,426148,T
441637085,2078,30,415600,1365,4820,1895,7947,425855,T
054798840,2212,22,318528,1173,5058,1895,4702,426384,T
213989438,4704,170,1100736,3057,10781,1895,8258,426670,T
480494010,4814,146,1121662,2609,9311,2369,6239,425977,T
168571327,2203,1,248939,821,15757,473,6565,426044,T
056182922,2154,1,439416,931,8361,947,6466,425777,T
584467503,2151,17,348462,5390,9311,1421,4571,425958,T
951052115,2222,13,224422,1075,4603,473,8021,425923,T
114809741,4806,184,197046,877,6716,473,7858,426420,T
964000967,2207,26,163318,5186,22761,1895,6138,426104,T
858552485,2100,21,506100,1743,5186,2369,3807,426514,T
488939908,2090,1,41800,888,8906,1895,4287,426026,T
646202536,2086,1,513156,914,5390,473,4175,426772,T
469413878,2256,14,500832,1379,5770,473,7759,426210,T
582011586,4783,162,865723,1264,9528,473,4341,425855,T
282766408,4785,147,1167540,2382,6828,947,6656,426637,T
515470770,4785,183,81345,1352,5690,947,4279,426444,T
295566211,4812,156,327216,5852,6025,2369,4515,426196,T
160177161,4813,179,62569,877,4405,1895,7870,426711,T
183170782,2176,1,415616,3758,17813,473,7636,426295,T
892345377,5007,31,650910,851,6503,947,5954,426019,F
549922230,5009,19,420756,935,4820,473,6571,426159,F
542393089,5024,30,447136,1016,5320,473,8423,426505,F
954095697,4674,146,677730,1113,6401,473,4463,425995,T
507317207,4991,31,778596,1037,4996,473,7641,425950,F
170819230,2229,10,316518,1988,34142,1421,6356,426450,T
012879493,2142,22,94248,1075,4552,1421,6669,426240,T
958885576,4819,147,944524,2368,40970,947,5757,426658,T
744022606,2198,1,254968,1728,17071,1895,3791,426642,T
415812384,4803,152,365028,1988,6207,2369,6185,425831,T
072643224,4861,153,262494,5852,5770,1421,6635,425901,T
318477892,4830,156,917700,1781,4552,1421,3979,426088,T
684659680,2109,5,240426,1083,7878,473,4154,426150,T
961915985,2156,1,431200,882,8033,2369,6516,426331,T
490985589,4841,145,1006928,1241,7449,1895,3865,426555,T
101836344,4991,50,1008182,2593,12803,1421,8008,425946,T
049554963,4838,154,188682,908,8361,1895,6373,426719,T
081050425,2133,22,473526,3151,20485,473,3800,425848,T
202202794,4693,171,145483,1081,6716,2369,5911,425932,T
079972917,4765,171,347845,2560,51213,2369,7533,426339,T
660413153,4737,145,127899,4358,4223,1895,4210,426295,T
023555263,4813,156,1174372,1234,5121,947,8097,426620,T
054895125,4739,161,189560,937,37245,1421,4307,425930,T
043692840,4716,179,1065816,848,6828,947,4780,426718,T
720977797,2141,23,216241,2968,68284,2369,4477,425881,T
102763664,4728,145,657192,2806,10781,1895,8308,426614,T
337966325,4779,147,721629,2905,17071,1421,4511,425914,T
844046801,4803,183,1003827,2314,4312,2369,4527,426463,T
207454678,4708,154,244816,858,8535,1895,5664,426659,T
865585989,4771,183,1159353,4453,18622,473,4145,426400,T
232332117,2082,10,487188,1180,40970,1421,6219,426640,T
327523153,4855,179,1034115,1317,6716,473,6635,426526,T
511721892,4980,29,941220,1177,16388,947,5890,426264,F
385047765,4863,157,505752,2865,19509,2369,8454,425986,T
842952057,4994,42,1193566,1292,40970,473,6231,426187,F
623979161,4771,144,424619,2643,6207,947,3914,426121,T
588907179,4961,14,1031888,1016,8194,947,8088,426169,F
977985790,2082,19,201954,1613,5612,2369,7659,426739,T
609408079,4672,164,425152,912,12415,947,8025,426716,T
305196235,4717,151,141510,1014,4267,1421,4741,426731,T
110883653,2220,22,22200,3080,68284,1421,6504,425952,T
850850550,2177,5,389683,973,4552,947,5713,426103,T
301051427,2085,1,154290,2787,18622,1421,7982,426082,T
223846092,5033,33,493234,1686,7316,473,8120,426722,T
219607188,2192,30,504160,1260,18622,1421,6085,426231,T
265544540,2117,30,31755,1473,12415,1421,6121,425990,T
615661882,4705,158,701045,4267,8033,2369,7708,426335,T
276987549,4814,154,673960,1765,14632,1895,6337,425905,T
991400498,5005,36,600600,1252,4453,473,8147,425845,F
888458121,4921,26,546231,5612,8033,473,8227,426160,T
123282521,4669,157,466900,896,12803,1895,4087,425868,T
027540095,2267,16,102015,1072,4655,947,4401,426694,T
983410451,2270,23,143010,1638,4820,1895,4315,426481,T
335175586,2189,1,52536,1032,5690,473,6119,426744,T
840058971,2141,20,513840,1374,8194,1895,4322,426319,T
528872811,2103,11,494205,1638,40970,1421,8186,426619,T
670281318,5005,35,1156155,1053,9528,473,7551,426170,F
582488685,4741,182,512028,2643,6207,947,6572,426545,T
321019113,4725,150,524475,1053,19509,1421,8440,426452,T
586935140,4803,158,989418,1264,5121,473,4515,426736,T
458381108,4755,170,194955,1330,22761,947,7802,426507,T
782164283,4737,144,416856,935,10505,473,6226,426090,T
062891460,4788,181,1058148,2314,4709,1895,8304,426220,T
696540642,2086,1,37548,866,5186,1895,4190,426319,T
427756553,4960,48,1111040,1998,6716,1421,6620,426472,T
882340754,2173,2,128207,968,34142,947,5734,425947,T
370742687,2086,18,54236,2643,15174,1421,8297,426629,T
966891319,4799,183,139171,1037,10781,947,7799,426227,T
793102183,4892,25,332656,1393,6207,473,4678,426744,F
380828106,4793,157,1044874,3793,10242,2369,6407,426675,T
859124090,4892,43,1002860,824,5462,473,5678,426762,F
