userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
224532817,2402,538,96080,1261,1608,2429,10674,613094,T
609464484,4698,411,187920,1261,1232,485,5499,612299,F
137156022,1199,54,23980,1261,6504,971,5110,612996,T
151563916,4632,399,199176,1261,1569,485,5722,612878,F
963111141,4801,373,254453,1261,5739,485,5639,612202,F
649224874,2654,547,199050,1261,2234,485,10072,612274,T
394438569,1164,1,36084,1261,1520,485,7255,612945,T
861861256,4867,394,384493,1261,1779,485,5650,612795,F
394748699,2538,490,101520,1261,2545,1457,10084,612978,T
799645994,4835,390,256255,1261,1540,485,5108,612301,F
040178072,2658,490,199350,1261,1747,2429,8259,612229,T
681993290,4797,377,191880,1261,65042,1457,5302,612959,F
345281499,2567,515,105247,1261,2068,1457,5269,612672,T
750746336,4745,400,94900,1261,2011,485,5493,612189,F
739826026,4742,392,184938,1261,2774,485,5312,612126,F
437280904,1373,23,83753,1261,8608,971,5276,612163,T
361784145,1280,6,125440,1261,1286,485,9876,612123,T
167684526,4823,429,395486,1261,1410,485,5213,612746,F
923249531,2691,484,177606,1261,1773,971,10582,612809,T
459246481,4922,431,162426,1261,4720,485,5488,612680,F
710371751,2558,493,176502,1261,1187,485,5620,612788,T
730120877,4088,36,102200,1261,117077,971,5482,612127,F
652991264,2420,507,166980,1261,20906,485,7618,612394,T
010267690,4811,390,283849,1261,1485,485,5739,612892,F
581854051,2392,528,215280,1261,2350,2429,7941,612954,T
541496093,4761,406,342792,1261,6652,485,5842,613015,F
103193286,2485,480,136675,1261,1459,1943,4964,612382,T
273308846,4761,401,328509,1261,83626,1457,5666,612259,F
112107920,2535,530,149565,1261,3547,2429,9703,612624,T
371135402,4718,403,382158,1261,17738,485,5731,612329,F
857155887,1304,28,76936,1261,1876,485,10058,612333,T
195240655,4688,385,370352,1261,4151,485,5799,612883,F
551629869,2634,548,189648,1261,9756,485,7470,612131,T
654569372,4748,439,113952,1261,1261,485,5351,612114,F
314683757,1166,65,89782,1261,1211,485,4948,612769,T
970226334,4807,434,403788,1261,53216,971,5485,612813,F
192999419,2658,514,265800,1261,4759,1457,10321,612670,T
195091437,4791,422,177267,1261,4798,485,5718,613091,F
362140832,2554,524,145578,1261,2439,2429,5291,612639,T
840002037,4034,80,278346,1261,97564,1457,7244,612231,F
382265271,2472,500,170568,1261,3198,485,4935,612986,T
475475816,4661,407,340253,1261,2787,485,4855,612579,F
322863473,4830,375,313950,1261,5739,485,5795,612745,F
