userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
730453357,4442,18,497504,1108,14273,331,4162,451561,T
729117947,4416,32,194304,2341,4424,663,4767,452040,T
840417671,4288,52,536000,1316,44248,1658,3206,452145,T
547556999,1301,43,195150,3430,9030,331,4975,452229,T
442996593,4326,30,449904,1520,7499,995,3524,451429,T
677778994,4315,44,440130,1365,7023,995,5457,451722,T
992230732,4300,27,533200,1019,36873,1658,4139,451642,T
381357652,1462,42,292400,1301,5746,663,3058,451617,F
423838509,4421,40,831148,1890,11062,331,3977,451501,T
021291062,4404,32,387552,1222,5145,663,4303,451915,T
845698248,4300,39,68800,1073,7499,1658,4692,451507,T
139322508,4342,38,612222,1061,5085,1326,4084,452158,T
966532833,4461,18,736065,3072,44248,1326,5644,451882,T
898034901,541,16,48149,1309,4515,663,4410,452246,T
348167350,4363,26,514834,892,4469,1326,6064,451935,T
758096378,1369,39,340881,3116,11062,331,4349,451808,T
504955891,4399,47,879800,2292,31605,1326,5599,451992,T
425559470,4477,21,1119250,953,6232,1326,3342,452324,T
735468374,4314,48,60396,2127,15257,1658,4674,451524,T
342553575,1371,32,119277,2587,5028,331,5547,452158,T
309660100,4307,54,499612,1899,4809,1658,4316,452175,T
421698001,4406,29,1066252,5396,10056,995,5433,451636,T
351025426,1476,12,47232,1005,23288,331,5375,451553,F
471221174,4378,37,188254,2328,6507,1658,3989,451531,T
418008286,4366,189,471528,6232,8194,331,4202,451887,T
545485877,1424,31,98256,2836,10056,331,3959,451633,T
665638515,4302,24,258120,2039,4707,663,6254,451692,T
994930112,4437,46,945081,998,7136,1658,3963,452254,T
588203894,4434,45,1033122,2087,6412,663,5383,451570,T
120257827,4386,40,850884,1152,5145,663,6142,451363,T
138248055,1414,18,154126,1777,16388,663,3517,452070,T
779611356,4333,181,740943,1651,5145,331,3184,451916,F
038963762,1365,36,328965,3377,7499,331,4290,451459,T
570496623,4406,55,207082,1225,7253,995,4639,452047,T
880651459,724,1,97740,1019,7628,663,3583,451492,T
770477266,4386,56,1096500,1010,7762,995,5872,451498,T
682445594,4226,187,891686,3626,6507,663,3497,451838,F
892432072,4367,32,611380,1569,4424,663,3636,451371,T
348211401,4343,29,990204,1923,5746,1326,6091,451347,T
