userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
736717890,4395,20,435105,1361,1748,1326,4040,451457,T
244052916,1425,75,116850,1361,1253,331,4497,451609,F
673054026,4360,49,183120,1361,1365,331,3127,452319,T
214485411,1426,58,85560,1361,8509,663,2964,451472,F
744830122,1573,26,37752,1361,1525,331,5856,452044,F
544482690,4392,39,303048,1361,1620,663,5718,451664,T
978569440,4556,87,91120,1361,1297,1326,5272,451505,T
379939716,1398,71,78288,1361,1404,663,2647,452079,F
441459819,4531,77,389666,1361,3484,663,3935,452049,T
735766547,1295,28,82880,1361,9218,331,3210,451829,F
570162858,826,1,81774,1361,1313,663,4093,452328,T
619126284,1303,13,53423,1361,972,331,6254,452181,F
785836327,4364,53,392760,1361,1489,663,4685,451519,T
245384096,1459,28,144441,1361,2557,331,4629,452020,F
053438049,4578,19,242634,1361,1474,663,4004,452126,T
239319889,1375,38,123750,1361,3326,331,2719,451715,F
166450120,534,13,30438,1361,1242,663,3561,451576,T
318739865,1458,27,134136,1361,904,663,3929,451672,F
480172249,1412,51,110136,1361,2107,331,4383,452085,F
516038864,4571,67,411390,1361,2158,1658,3524,451708,T
471795955,4442,70,319824,1361,1260,331,5311,451868,T
297507389,1400,67,78400,1361,1208,331,3356,451406,F
568384819,4468,42,209996,1361,3718,995,4035,451558,T
267224639,1430,10,30030,1361,3430,331,4448,451370,F
748398153,4408,54,418760,1361,1313,995,3382,451942,T
452784271,1310,13,32750,1361,888,331,2823,451898,F
188131113,1458,18,119556,1361,3302,331,2836,452055,F
954827760,4317,76,371262,1361,1798,663,6029,451927,T
451678967,4520,59,370640,1361,5899,663,5787,451380,T
862140529,1401,71,89664,1361,1505,663,3478,451385,F
275557013,4373,73,148682,1361,1591,1326,5359,451819,T
656509089,1422,64,103806,1361,4469,331,4693,451986,F
815323364,4378,87,363374,1361,895,1658,5289,451959,T
779659460,1448,72,31856,1361,1324,663,2711,451969,F
733012650,1430,14,44330,1361,1212,663,2679,451989,F
906063188,4547,36,122769,1361,1131,331,4171,451750,T
289184091,4325,18,198950,1361,1290,995,4566,451622,T
321697532,1492,12,50728,1361,1708,331,2779,451997,F
408299268,4575,53,452925,1361,961,995,4860,452030,T
021709305,1387,55,83220,1361,1229,331,4779,451846,F
238044265,4558,61,268922,1361,1336,1658,5686,452111,T
528398385,1400,66,29400,1361,1984,331,5777,452143,F
037089953,4455,53,227205,1361,1332,995,6013,451957,T
432206106,1532,53,33704,1361,8676,331,4268,451397,F
424713980,1406,46,59052,1361,1235,331,4142,452238,F
874260788,4555,20,264190,1361,44248,995,5399,451878,T
395247741,4291,82,188804,1361,1271,1658,2744,452074,T
281785659,1508,10,144768,1361,2499,663,3461,452204,F
880844261,4488,76,359040,1361,1614,1658,3957,451384,T
304690819,1286,7,28292,1361,1249,331,4377,451984,F
807270057,1369,15,52022,1361,10290,331,5314,452270,F
322084008,4309,54,228377,1361,4916,995,4670,451390,T
306166873,4360,21,126440,1361,918,1326,3424,452034,T
131587843,1490,23,40230,1361,1332,331,3946,452299,F
219262529,4439,20,124292,1361,949,331,2712,452181,T
043996159,1299,53,32475,1361,1167,663,2886,452313,F
440183139,4303,27,391573,1361,1899,663,3050,452120,T
612308835,1279,32,28138,1361,1836,663,3651,451437,F
628868635,1487,37,41636,1361,1708,663,3563,451584,F
209159726,4298,35,305158,1361,6412,663,3647,451594,T
963737729,4412,72,322076,1361,36873,1326,6028,451630,T
221974321,1517,9,87986,1361,7762,663,2922,452330,F
907280903,4441,47,230932,1361,5205,1326,4256,451705,T
883367586,1559,61,138751,1361,1017,331,3324,451850,F
157402442,4297,70,94534,1361,2212,331,4460,451805,T
781405794,1330,65,67830,1361,5331,663,3133,451627,F
931882065,1512,63,134568,1361,6145,663,2734,452238,F
429657533,4358,27,414010,1361,1061,331,4062,452291,T
662138450,4516,24,401924,1361,3656,331,4709,451747,T
579167770,1520,28,88160,1361,3484,663,3418,451818,F
445432127,4303,37,189332,1361,1167,331,4314,451792,T
607717087,1463,26,65835,1361,925,331,4028,452201,F
473345933,4342,49,403806,1361,1644,331,3225,451883,T
123735210,1448,65,41992,1361,1450,331,4571,451656,F
515639384,4533,54,407970,1361,44248,331,4364,452165,T
329103171,1329,67,132900,1361,1071,331,5352,452067,F
193823084,1575,55,141750,1361,4214,331,3182,451364,F
848911104,4291,57,98693,1361,1290,331,4540,451687,T
988612563,4427,59,132810,1361,1246,1658,3544,452000,T
663399832,1558,14,48298,1361,1762,331,6094,451542,F
969188120,4538,85,254128,1361,1361,1326,5679,451918,T
213317660,1458,54,87480,1361,957,331,3610,451940,F
018361929,1405,47,94135,1361,1632,331,2677,451841,F
992709894,4569,51,265002,1361,5267,1326,5273,451464,T
825389202,4539,49,367659,1361,1063,331,3329,452095,T
298475124,1483,8,83048,1361,2002,331,2906,451840,F
617232496,4384,57,109600,1361,972,663,5814,451637,T
095818980,1465,61,131850,1361,1349,331,2894,451470,F
900398035,4300,48,202100,1361,1632,331,2995,452083,T
223552350,1542,34,109482,1361,2514,331,4455,451936,F
919865764,4534,79,299244,1361,914,663,3509,451945,T
924293327,1368,39,102600,1361,2280,331,5772,451963,F
696183929,1399,9,54561,1361,1940,331,5393,452272,F
385002316,4320,32,133920,1361,1161,663,4737,452188,T
399978793,4553,37,332369,1361,1742,663,3975,451996,T
657232511,1381,14,135338,1361,2854,995,3070,451613,F
527028663,4314,79,267468,1361,1019,1326,5750,451787,T
036199149,1462,70,45322,1361,945,331,6123,451970,F
804303384,4404,55,352320,1361,2444,663,5439,451974,T
243154933,1571,27,128822,1361,1644,663,3172,452146,F
