userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
686915491,3835,8,859040,1198,3156,464,9383,290936,T
564338886,170,1,17170,2254,6928,1858,5064,290833,T
284560327,3400,55,544000,722,3787,2322,7250,290775,T
933957161,4722,295,415536,896,13528,1393,4832,291020,F
482506011,3306,53,208278,706,5570,2322,7206,291687,T
187984872,107,1,6206,1385,6456,464,4735,291087,T
736605054,250,1,6500,871,12351,1393,4791,291061,T
602083989,4789,296,1000901,996,8355,1858,9900,290951,F
397693580,3729,40,238656,681,4438,464,7350,291416,T
303391024,3282,40,295380,2655,2898,1393,7767,291502,T
046118050,3462,48,792798,1198,9164,929,7901,291035,T
406474321,4804,277,1052076,572,3839,1858,4891,290950,F
060789661,3430,16,559090,719,4001,929,9555,291090,T
529270364,3756,35,135216,2043,4117,929,10177,291246,T
785775939,4785,272,684255,1000,3891,1858,9991,291241,F
089027175,3478,20,438228,694,3382,1858,4664,291209,T
172795828,4689,270,858087,1798,3022,464,7278,291401,T
062967860,227,1,46762,774,7678,1393,5157,291723,T
045610578,2893,87,257477,725,3178,361,1081,261919,F
102680882,2829,79,698763,1427,4734,464,7378,291607,T
690965499,2879,86,590195,1651,3156,464,6983,291019,T
367020570,4636,275,1126548,732,20292,929,7262,290864,F
000855664,49,1,8869,989,3156,464,5246,290809,T
363037434,3726,31,868158,1122,40584,929,9858,291161,T
326176954,3374,49,158578,1379,6313,1858,4791,290926,T
803266881,208,8,28496,608,11363,1393,5257,291573,T
390067919,3407,47,361142,1535,4582,1393,9528,290978,T
322081682,2841,78,96594,659,3087,464,5629,291488,T
667718292,3386,29,77878,2812,3192,2322,9382,291051,T
920349742,3287,54,604808,1691,47348,1858,10154,290833,T
820741392,2835,86,192780,1203,10926,464,4956,291319,T
868299430,3722,18,714624,1262,3642,929,5189,291137,T
636129417,3798,10,877338,1092,4657,929,7457,290895,T
735024549,3450,39,89700,634,3022,1858,6927,290782,T
919818601,3805,32,133175,876,6456,929,4929,291420,T
906712906,4651,278,692999,2000,3551,2322,10136,290926,T
465417135,132,1,23364,578,2840,464,7870,291130,T
864285872,3821,15,718348,2029,3192,464,7534,291706,T
162782997,3433,55,463455,614,28408,1858,4832,290989,T
414066395,3741,27,288057,1385,4984,929,7655,291539,T
403022752,3421,43,496045,1273,4438,2322,9672,291170,T
706205060,3420,35,660060,946,3422,1393,6970,291228,T
702094508,3642,37,240372,1596,14952,464,5499,290792,T
251057498,2987,99,62727,1033,4984,464,9793,290982,T
896014786,3346,38,749504,1178,4177,2322,5114,290777,T
