userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
545448210,3281,36,196860,2560,45728,365,2166,350621,T
913510112,3265,8,349355,1975,3517,730,5135,350412,T
804519973,3369,32,158343,922,18829,1461,2232,350296,T
813855378,2326,344,97692,1798,3517,730,4788,350436,T
308595200,4926,137,1182240,1328,3517,1826,3440,351038,T
405303347,2207,326,390639,3300,11855,1826,4670,350547,T
292704719,3365,19,524940,1046,7275,1095,2288,350378,T
596868968,2363,327,437155,2667,3810,365,2348,350350,T
837408159,2212,321,413644,694,8423,730,3604,350793,F
608843697,3349,1,53584,2936,6532,1461,3878,350428,T
686589199,3294,22,286578,1074,5615,730,3283,350470,T
717583328,2351,336,317385,1667,16847,365,4073,350667,T
222670039,5008,145,706128,2406,3722,365,5000,350341,T
019882849,2250,321,461250,794,10670,1461,2291,350388,F
046085040,3221,10,164271,747,3765,1461,2936,350215,T
295599087,2386,346,116914,1730,4103,730,4739,350274,T
845900337,3307,31,39684,668,16847,365,4618,350911,T
319471684,3284,1,68964,3556,3765,1095,3293,350718,T
198599025,2375,347,446500,1495,4103,1826,2939,350410,F
493686798,4994,131,604274,1975,6958,1095,4543,350590,T
318654345,3378,4,516834,3810,13917,1826,5275,351049,T
671213490,2207,320,227321,2134,3765,1095,4050,350792,T
721475675,3396,27,502608,734,9700,1095,2501,350175,T
700042828,4955,137,649105,3479,4445,365,3098,350241,T
278748957,3288,1,572112,1546,6039,365,5156,350297,T
539718432,4841,30,943995,3810,3722,1826,3037,350211,T
572923125,3389,1,552407,1194,3479,365,2948,350575,T
010115035,3284,20,430204,3637,4051,730,3338,350955,T
893004849,2289,312,480690,1730,3334,730,5364,351113,T
649074141,3287,36,693557,1185,4325,1095,3378,350401,T
637894336,5057,153,915317,754,5162,365,5093,350414,T
602350618,3357,9,57069,747,5080,365,4902,350662,T
075221383,3304,32,422912,844,6155,365,2326,350631,T
304910925,2278,338,455600,1928,6402,730,3749,350497,T
519054699,2259,347,178461,2689,3722,1826,5156,350254,T
557601740,2216,325,390016,2963,8891,365,5040,351113,T
209031695,3218,1,222042,810,4572,1461,3868,350800,T
539094886,3209,11,215003,2119,3300,1461,2508,351061,T
955500679,3252,19,630888,896,4639,365,2905,350772,T
480192015,2229,328,332121,1988,4924,1461,3761,350444,T
418962760,3231,9,248787,2883,4325,730,3107,351030,T
909245859,2207,338,311187,1684,5716,730,2907,350749,T
135627306,2272,308,263552,1778,8207,365,3083,350374,T
422654550,2372,326,315476,1778,13917,1826,2240,350426,T
211948327,4987,126,453817,1808,3266,365,5221,350679,T
964001815,5002,146,1045418,894,3233,730,2814,350165,T
519825202,3357,8,325629,3596,6532,730,2157,350213,T
606961528,2212,337,227836,4103,4001,365,2449,350843,T
235859495,3391,36,467958,1711,3479,365,5225,350772,T
364415727,3217,6,109378,1435,3810,1826,4642,350818,T
178606117,2284,326,150744,1059,3722,365,4927,351155,F
711644849,4797,38,738738,808,29100,1826,5329,351112,F
110999368,5070,123,866970,958,9145,365,2397,351146,T
348882096,3271,34,785040,1198,17783,730,4621,350835,T
288750429,3213,13,154224,1322,3679,730,4729,350446,T
133207313,3292,1,589268,814,53350,365,2345,350727,T
