userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
744997827,2284,314,150744,961,853,1461,4567,350173,F
143955077,3364,11,100920,961,767,1461,2931,350824,T
429482030,2264,347,133576,961,735,730,2406,350289,F
827793428,3277,8,226113,961,654,1826,2254,351125,T
463469847,2270,351,199760,961,1147,1095,5013,350152,F
803779693,3339,11,250425,961,1194,1095,4686,350893,T
299793386,3494,30,338918,961,1265,365,4995,350309,T
086701965,2450,362,139650,961,4777,365,3617,350830,F
637766021,2310,312,78540,961,970,730,5225,350819,F
149623003,3423,57,338877,961,1131,730,2743,350713,T
875239993,2342,352,168624,961,820,365,5332,350747,F
533936784,3452,2,120820,961,5001,1461,4262,350164,T
025013978,2312,321,166464,961,941,730,2758,350365,F
793272956,3461,20,318412,961,1367,365,2943,350919,T
720918790,2381,311,200004,961,2443,1826,2975,351132,T
131775010,2448,321,244800,961,717,365,4805,350657,F
229625696,3409,1,265902,961,692,365,3086,350777,T
738398852,2471,366,247100,961,762,365,4877,350988,F
198888433,3491,8,101239,961,2336,1095,3924,350534,T
698399657,2279,375,159530,961,3722,365,3031,351074,F
254069110,2418,329,164424,961,1189,730,3550,350256,F
794299795,3327,54,292776,961,1905,1095,2640,350675,T
054362489,3363,23,316122,961,904,365,2632,350704,T
482868628,2345,326,166495,961,927,1826,5144,350458,F
164324267,3441,36,254634,961,4572,365,2346,350915,T
603013018,2226,344,71232,961,879,1461,4553,350708,F
309203201,3331,33,176543,961,1119,365,5046,350263,T
465442802,2217,337,155190,961,881,1461,5371,351127,F
289556293,2211,363,55275,961,914,1461,4829,350463,F
595862150,3324,30,265920,961,686,730,4622,350540,T
068257426,3374,47,327278,961,1131,1095,3772,351043,T
391694834,2397,330,167790,961,701,1095,2840,350850,F
461322388,3232,10,135744,961,806,1461,5231,351115,T
953324493,2248,370,161856,961,2162,365,4609,350549,F
683090956,3409,2,262493,961,958,365,2852,351076,T
514922779,2268,353,172368,961,1702,1095,2469,350447,F
864222947,3245,49,256355,961,1502,1095,2448,350816,T
419875504,2223,345,177840,961,7275,730,2963,350854,F
447868686,2433,314,133815,961,1658,730,2875,350931,F
680572021,3332,27,136612,961,5820,365,3957,350951,T
799815692,3402,12,88452,961,1306,1461,4794,350470,T
418416729,2216,376,97504,961,717,1826,2471,350360,F
423839014,3391,18,295017,961,662,365,3255,350564,T
284470822,2389,358,64503,961,2105,365,4284,350490,F
779504478,2358,351,110826,961,1367,730,2910,351022,F
539518565,3336,1,286896,961,3479,1461,4581,350970,T
378040284,3423,1,68460,961,1111,730,5253,351132,T
478160313,2416,354,157040,961,3107,365,3243,350852,F
771435933,3332,65,303212,961,1778,1461,3327,350405,T
934735886,2266,330,92906,961,2000,1826,5207,350885,F
668267867,3391,2,295017,961,788,1461,4838,350616,T
328930064,2388,328,102684,961,930,1826,3808,351119,F
556652739,2329,362,211939,961,1100,365,3341,350157,F
719340079,3466,12,280746,961,1684,1095,4890,350178,T
717927441,2211,339,190146,961,958,730,4873,350362,F
601325008,3248,34,97440,961,2500,1095,2688,350250,T
109617306,3485,32,108035,961,2051,1095,5364,350907,T
802181046,2419,372,234643,961,938,1826,3298,350767,F
377961677,3269,55,101339,961,732,730,3970,350714,T
762988735,2445,330,205380,961,2051,365,2910,351159,F
047339922,3289,57,322322,961,756,730,5240,350385,T
728113941,2338,373,189378,961,1100,365,4142,350974,F
849890514,3331,1,156557,961,2520,365,4048,350935,T
304766721,2404,348,76928,961,991,1095,3022,350503,F
053506147,3419,57,147017,961,1373,1095,5197,350954,T
048921758,2253,375,141939,961,958,365,3305,350556,F
708810037,3359,48,174668,961,3138,1826,4769,350761,T
540159220,2260,366,198880,961,782,1095,3841,350635,F
715452022,3494,32,244580,961,1988,1461,4222,351071,T
013764395,2373,320,232554,961,1092,1461,3089,351092,F
233376014,3388,62,250712,961,1049,1095,2171,350890,T
664945401,2234,375,140742,961,1322,365,3443,351057,F
977799552,3353,48,137473,961,2560,730,4685,350231,T
330816922,2336,340,133152,961,818,1461,3963,350374,F
809430594,3275,50,127725,961,20006,1826,4360,350164,T
903375515,2272,371,84064,961,1720,1461,3507,350921,F
037635577,3238,47,275230,961,2371,1826,5121,350455,T
801370527,2260,323,189840,961,2602,365,3125,350278,F
573599570,2405,351,132275,961,1212,365,2663,350295,F
097489143,3467,21,138680,961,3169,1826,5363,350273,T
333517964,3403,48,170150,961,1009,1095,4273,351022,T
533044538,2447,341,154161,961,1012,365,3895,350694,F
660633708,3248,58,233856,961,958,365,2644,351060,T
933016199,2244,329,127908,961,13917,1461,2188,350764,F
555877114,3459,7,290556,961,2520,730,4787,350730,T
847140128,2352,372,183456,961,987,1461,3778,350904,F
775890582,3236,1,207104,961,675,1095,4259,350562,T
828807914,2325,312,116250,961,2192,365,3965,350398,F
157866906,3351,45,321696,961,11432,730,2175,350208,T
569262554,2415,366,91770,961,1059,1826,4277,350485,F
098947689,2221,369,186564,961,806,730,4496,350656,F
317239064,3231,41,264942,961,5001,1461,4330,350348,T
831577501,2283,333,173508,961,3334,730,4888,351090,F
582091138,3461,58,245731,961,26675,1461,2608,351120,T
488286707,2281,318,125455,961,2991,1826,2908,350642,F
805772752,3371,52,202260,961,837,730,5118,350257,T
105095852,3290,18,210560,961,1951,730,3858,351053,T
068849989,2425,357,48500,961,8002,365,5374,350272,F
331930024,2487,356,87045,961,2807,730,5365,350245,F
535274592,3380,4,321100,961,1035,1461,3951,350340,T
