userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
534584108,2180,57,154780,2547,42456,1733,4039,258997,T
330074015,2099,69,369424,677,10189,433,7594,258816,T
637018928,2029,59,363191,509,36390,2167,4085,259541,T
005079768,4792,26,1006320,769,3538,2167,4185,259681,F
150112942,2088,43,467712,887,3069,866,3439,259318,T
270617205,4623,21,291249,1612,3587,2167,3604,259528,T
858705581,3932,37,896496,3069,11075,2167,3900,259073,T
164589496,4642,19,1104796,517,2653,866,6882,258850,F
920252451,4776,10,754608,1376,3069,1300,7103,259146,T
698971597,2040,31,503880,539,9434,1733,7760,259517,T
694575278,3670,34,686290,1039,3919,433,4100,259240,T
189772520,2116,50,139656,641,8491,866,3937,259747,T
631352324,4749,28,821577,1732,3265,866,5725,259504,T
181502311,3846,2,538440,2234,5419,1733,5208,259087,T
013332433,2080,69,376480,1293,4043,1300,5668,259393,T
441353960,2048,39,251904,3144,10614,1733,3551,259011,T
134689347,2048,68,366592,1415,5198,1300,6895,259217,T
462706908,3601,31,324090,1127,6065,433,5406,259391,T
055970360,4647,19,855048,2497,2573,2167,6180,258915,T
089248286,2169,39,368730,1732,4631,1300,7246,259329,T
290312595,2033,35,205333,622,2768,2167,5776,259403,T
455788275,2171,66,154141,961,14152,1300,5307,259393,T
773452642,4769,27,782116,2928,14984,1300,7508,259600,T
195071429,2036,56,185276,621,8491,433,5713,259504,T
902174100,2062,37,167022,929,4245,866,5970,259608,T
689335881,4623,15,485415,2005,2768,1733,3800,259326,T
776021938,1997,43,253619,520,2681,1733,3488,259162,T
656194140,2017,63,48408,703,4317,866,5693,258840,T
957152828,3661,29,377083,1399,5789,433,5745,259432,T
976765497,2103,55,161931,1455,3396,1733,6115,259375,T
453809817,2158,59,384124,1168,16982,2167,3559,259500,T
197041283,2049,68,366771,575,3919,433,6155,259400,T
216948097,2024,54,228712,599,36390,866,5447,259620,T
931185042,2108,31,94860,529,6884,866,3928,258894,T
659797432,3627,17,435240,875,3351,433,3906,259031,T
253238307,2175,68,280575,586,13407,1300,3437,259432,T
564038366,3981,16,967383,537,16982,1733,3937,259471,F
157269995,3505,50,567810,1142,10189,433,3615,259252,T
