userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
386632154,2283,71,175791,597,1944,1300,5689,259135,T
590455967,4772,29,448568,597,995,2167,7562,259482,F
164524748,2226,82,55650,597,561,1300,7874,258965,T
528422897,4718,28,434056,597,515,2167,6182,258931,F
578258034,1991,35,127424,597,543,433,3929,258830,T
771744112,4833,11,299646,597,540,2167,7360,259744,F
248951849,2114,74,93016,597,524,1733,7385,259718,T
467929565,4761,11,161874,597,1612,2167,7708,259122,F
241290478,2170,89,208320,597,582,433,5926,259327,T
934086026,4641,23,199563,597,832,2167,7929,259744,F
028225104,2005,54,180450,597,783,433,6122,258821,T
015028337,4729,30,359404,597,595,2167,7774,258922,F
608575668,2067,56,57876,597,526,866,4128,259715,T
811459323,4705,36,399925,597,562,2167,7558,259099,F
498442431,2031,32,105612,597,1489,1300,5329,259229,T
414527336,4778,11,444354,597,742,433,7890,259768,F
544236329,2210,67,79560,597,595,1300,4372,259192,T
894549634,4715,20,169740,597,2177,2167,7770,259244,F
436358210,2087,81,152351,597,1248,1733,5999,259599,T
449009876,4605,22,451290,597,1507,2167,7384,259293,F
721207454,2045,68,44990,597,632,1300,7752,259157,T
175940649,4825,23,361875,597,3224,2167,7925,259389,F
332877175,2020,66,76760,597,36390,1300,7062,259617,T
799271503,4669,26,382858,597,2996,2167,7850,259353,F
610919614,2275,80,216125,597,625,866,5298,259358,T
029560632,4689,19,422010,597,1132,2167,7309,259184,F
214910503,2007,77,50175,597,983,2167,5700,259486,T
738970175,4597,30,441312,597,16982,2167,7590,259254,F
881273382,2237,99,125272,597,1944,433,4022,259455,T
279319180,4830,11,483000,597,1117,2167,7768,258786,F
229628760,2078,46,155850,597,2996,866,4396,259606,T
110959174,4704,15,343392,597,627,2167,7120,258968,F
939086348,2236,73,174408,597,607,433,4141,258872,T
056654132,4699,26,451104,597,1769,866,7828,259360,F
464407854,2234,84,172018,597,1769,1733,4005,259490,T
443387837,4827,19,178599,597,791,2167,7783,259292,F
742370452,2256,29,99264,597,1592,433,7344,258895,T
297656260,4648,19,348600,597,1065,2167,7303,259113,F
172605599,2278,95,173128,597,866,1300,7106,259534,T
670764877,4812,25,226164,597,2928,2167,7261,259390,F
259213337,2019,45,175653,597,1592,866,5741,259055,T
240096055,4791,22,412026,597,2196,2167,7697,259620,F
118059789,2015,73,46345,597,736,433,6991,259604,T
911685914,4875,13,229125,597,5660,2167,6943,259247,F
664455720,2195,77,158040,597,2626,1733,7680,258829,T
626657029,4693,31,351975,597,1439,2167,7625,259751,F
479705932,2056,68,123360,597,709,2167,7566,259218,T
314842327,4813,34,288780,597,788,2167,7878,258798,F
441721566,2070,43,107640,597,1447,433,3793,259392,T
643779359,4837,19,474026,597,553,1733,7611,259156,F
819499873,4823,18,409955,597,25473,2167,5509,259062,F
648372315,2150,77,210700,597,516,866,3965,259594,T
552068926,2260,53,167240,597,2196,1300,7852,258933,T
111979920,4830,31,106260,597,673,2167,7841,258996,F
118834129,2199,62,175920,597,1074,2167,3505,258910,T
259703790,4884,29,293040,597,2215,2167,7677,259270,F
194137133,2089,41,54314,597,851,866,7584,259730,T
579136838,4642,12,301730,597,527,2167,7370,259513,F
779198691,2268,55,217728,597,3691,1733,5797,258782,T
205872056,4675,31,439450,597,1901,2167,7168,259684,F
378611972,2186,94,59022,597,573,866,5430,259421,T
863714299,4749,29,356175,597,591,2167,7656,259762,F
747152914,2170,85,128030,597,558,1733,7593,259173,T
287896438,4718,28,212310,597,577,2167,7513,258943,F
073199841,2183,91,185555,597,819,866,5870,259127,T
518824943,4708,16,240108,597,954,2167,7763,259260,F
740082721,3719,25,334710,597,622,433,3643,258859,T
306389212,4809,17,307776,597,6368,2167,7664,259721,F
569789363,2176,72,150144,597,758,1300,7292,258783,T
724805081,4684,34,238884,597,42456,2167,7914,259021,F
686585562,2252,39,177908,597,1464,1733,6190,259010,T
309388293,4675,11,439450,597,6884,1733,7341,259552,F
810692046,3667,32,172349,597,1447,433,3501,259176,T
514813352,4760,18,471240,597,1769,1300,7658,259389,F
281056713,2171,49,191048,597,1137,1733,7703,258902,T
724757427,4789,22,440588,597,6531,1733,7305,258941,F
395864411,2122,72,182492,597,723,1300,4295,259093,T
824791841,4755,22,366135,597,1280,2167,6949,259526,F
760644291,2049,76,153675,597,1407,866,4420,259109,T
304884582,4766,22,452770,597,1313,2167,7740,259090,F
628686472,2181,86,74154,597,961,2167,4238,259372,T
452530347,4846,16,479754,597,1152,1733,7833,258878,F
074437635,2213,68,210235,597,545,1300,3539,259539,T
687087284,4829,27,217305,597,540,2167,7575,258882,F
983224159,2269,71,45380,597,2403,866,7187,258818,T
679384008,4716,14,396144,597,602,2167,6998,259359,F
330181509,2195,34,122920,597,4717,1300,3492,259676,T
420729400,4779,28,301077,597,1612,2167,7510,259177,F
518285755,2247,59,224700,597,995,2167,7357,259625,T
277991876,4763,18,152416,597,2088,2167,7793,259146,F
530171248,2097,99,188730,597,929,866,6079,259369,T
758534763,4714,20,395976,597,1721,2167,7873,259660,F
767245925,2114,50,52850,597,544,433,5977,259446,T
311581929,4693,33,384826,597,3746,2167,7795,259530,F
288866533,2020,67,133320,597,767,866,7050,258865,T
834600611,4678,21,369562,597,2274,2167,7447,259114,F
157162484,2183,81,111333,597,1793,866,3675,258777,T
924382528,4725,30,368550,597,707,2167,7296,258929,F
874297701,2209,91,68479,597,665,433,5601,259651,T
496814953,4780,19,439760,597,972,2167,7126,259321,F
