userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
291809207,3393,36,838071,3324,40999,522,1634,642337,T
839908480,3458,19,518700,1835,27954,2611,2621,642327,T
671949226,2011,34,52286,1814,10423,1566,2941,642022,T
223275330,3507,35,476952,1737,21206,1566,2545,642253,T
572115327,4026,10,563640,1597,12058,2611,2621,641920,F
387547800,3467,40,735004,2551,18087,2089,2392,642645,T
790454068,3489,34,523350,5913,36175,1566,2732,641853,T
934643956,4063,39,658206,2421,9318,2089,2409,642272,T
656774983,4145,21,799985,5124,8199,2089,2510,641957,T
800209011,4143,20,165720,1314,12550,2611,2621,642245,F
749050507,3483,24,797607,1830,24599,2089,2099,642753,T
652949831,3476,24,643060,4270,40999,522,1815,642157,T
365266999,3404,31,524216,1737,47306,2089,2641,642798,T
069842992,4119,35,807324,3170,21206,1566,2495,642688,T
194117190,3543,27,623568,1242,10081,2089,2099,642824,T
892280858,4139,23,492541,3121,24599,2089,2145,642340,T
999065147,3385,44,33850,1609,8424,1044,2170,642131,T
894165535,4172,2,1001280,2036,12299,1566,2298,642154,F
535587392,3541,28,449707,1275,19838,2611,2621,641862,T
754992701,3392,41,410432,1457,9043,1566,1576,642500,T
376292196,3518,20,830248,2277,8424,1566,2149,642272,T
933036241,3434,27,587214,1792,7592,1566,2140,642375,T
504111538,3525,8,200925,3796,9043,1044,1297,641963,T
586759828,4170,26,779790,2583,102498,1566,2338,642385,T
313157929,3397,40,61146,1268,19838,1566,2089,642146,T
929853975,3391,33,413702,1316,8091,1044,2414,642726,T
514078968,4086,26,367740,7592,9318,2089,2919,641863,T
549863859,4621,39,531415,8424,32367,1044,1056,641885,T
580853709,4051,14,68867,1443,7409,2611,2621,642046,F
257375398,3490,17,530480,5124,14302,2611,2621,642598,T
523421153,3446,27,237774,1443,6406,522,2485,641921,T
711821114,3468,39,769896,1556,9919,1566,1997,642410,T
152213331,3485,28,428655,1553,12058,2089,2467,642067,T
590036810,3487,33,795036,2650,15374,522,1613,642807,T
343549805,3554,25,262996,1742,8912,522,2364,642402,T
449201636,3555,20,863865,1852,8310,2089,2099,642610,T
315357444,3492,10,258408,3796,6612,522,1026,641967,T
353984100,3524,28,535648,6275,20499,2611,2621,642405,T
136316097,3404,13,391460,1249,15374,1566,2864,642214,T
814887573,3358,48,308936,2029,6473,1044,2106,641969,T
