userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
078009275,3424,12,85600,1229,2098,2089,1824,642745,T
841498214,4235,2,359975,1229,3796,1044,2711,642489,F
694143834,3526,51,190404,1229,1892,2089,1647,642157,T
081651553,4275,4,393300,1229,1308,1044,2645,642744,F
343189246,4200,16,378000,1229,1331,1566,2844,642725,F
798654064,3389,32,220285,1229,1481,2089,1784,642020,T
072673909,3467,63,90142,1229,1772,1566,2481,642233,T
750363837,4075,2,326000,1229,2212,2611,2706,642746,F
684233424,3527,22,137553,1229,2605,1566,1784,642106,T
417080682,4154,7,211854,1229,1541,2089,3012,642400,F
407173617,3590,69,201040,1229,2956,1566,2276,642070,T
005814699,4240,17,419760,1229,1234,1566,2533,641898,F
165149595,3480,13,128760,1229,3288,1566,2025,641934,T
735336555,4116,8,292236,1229,1481,2089,3086,642210,F
395481063,3366,19,319770,1229,2650,2089,1702,642460,T
830335734,4231,8,101544,1229,1869,2089,2558,642584,F
020221971,3587,24,283373,1229,1533,1044,2839,642543,T
686206926,4083,68,306225,1229,102498,2089,2582,642183,F
704300802,3485,52,174250,1229,1262,1044,1584,642096,T
627349816,4070,39,337810,1229,2347,1566,3073,642147,F
397661776,3355,49,322080,1229,1372,1566,2409,642463,T
830067340,4026,24,310002,1229,1568,2611,2821,641992,F
517382432,3520,43,288640,1229,9761,522,1868,642480,T
233129372,4066,22,280554,1229,2795,2089,2755,642256,F
370451675,3428,33,239960,1229,1869,2089,1537,642481,T
798800717,4266,1,238896,1229,2098,2611,2646,642659,F
458309464,3401,45,302689,1229,21206,2089,2514,642412,T
914953718,4218,23,97014,1229,68332,2089,2610,642837,F
308263898,3607,29,284953,1229,1268,1566,2386,642361,T
016276418,4268,35,204864,1229,34166,2089,2940,642618,F
488242029,3419,72,88894,1229,3435,2089,1088,642511,T
060003786,4057,9,361073,1229,7986,2089,2748,642277,F
519158556,3548,25,95796,1229,4730,2089,1090,641844,T
561830027,4114,19,119306,1229,16183,1566,2680,642529,F
775073009,3558,52,309546,1229,1971,2089,1257,642467,T
225953529,4161,71,233016,1229,3682,1044,3039,642172,F
892883905,3554,10,142160,1229,1846,1044,2202,641952,T
986928246,4151,40,178493,1229,2180,1566,3036,642762,F
193828721,3431,37,157826,1229,8424,2089,1103,641915,T
128216848,4218,13,206682,1229,1357,2089,2564,642499,F
758629149,3591,74,179550,1229,2459,1044,1788,642688,T
472220285,4074,1,199626,1229,1239,2611,2918,642631,F
958227186,3440,60,227040,1229,24599,2611,2294,642361,T
204521334,4106,11,299738,1229,2733,1566,2760,642809,F
917771856,3589,72,269175,1229,2120,1566,2167,642449,T
757872296,4114,7,213928,1229,1334,1044,2560,642046,F
225137452,3453,38,272787,1229,1262,2089,1703,642241,T
991134421,4022,23,345892,1229,1841,1566,2906,641833,F
849847320,3650,26,80300,1229,8912,2089,2037,642617,T
297762196,4135,6,409365,1229,4804,2611,3001,642131,F
342932228,3576,66,75096,1229,2821,2089,1634,642626,T
747788442,4101,6,328080,1229,4155,2089,3065,641898,F
254564529,3368,25,97672,1229,17083,1566,2423,642106,T
080718968,4079,23,236582,1229,1262,1566,2745,642106,F
729579194,3651,43,116832,1229,2009,2089,2188,642416,T
059458803,4091,1,261824,1229,1568,2089,2604,642296,F
662589518,3456,30,114048,1229,2142,1566,1638,642457,T
292878357,4182,2,92004,1229,22777,2089,3064,642637,F
