userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
824081758,2435,43,219150,265,344,1472,10239,129853,T
398204832,2093,58,81627,265,679,490,5028,129895,F
967161224,2424,35,225432,265,709,1963,8093,130245,T
860894464,2165,2,90930,265,257,490,5183,129749,F
415732711,2452,40,156928,265,1013,981,9794,130046,T
991555584,2144,7,165088,265,1675,490,5027,129798,F
325141878,2112,11,206976,265,718,490,5105,129465,F
535809733,2618,34,175406,265,424,1963,5075,130002,T
511858950,2572,6,254628,265,815,1472,10703,130152,T
923666504,2176,62,84864,265,6282,490,5357,130060,F
632301562,445,24,36935,265,628,981,5199,129858,T
239039394,2147,24,42940,265,2326,490,5195,129603,F
627296535,2575,18,234325,265,302,2454,9847,130243,T
163691430,2066,39,103300,265,682,490,5463,129713,F
230654574,2562,14,179340,265,386,1963,5883,129445,T
016320725,2151,32,47322,265,622,490,5258,129960,F
267533570,2561,55,256100,265,318,490,5325,130135,T
057390285,2099,52,203603,265,463,490,5003,130225,F
671144589,2535,53,124215,265,307,490,7960,129906,T
974474999,2088,62,70992,265,1994,490,5625,129923,F
548197702,472,42,29736,265,411,981,10640,129670,T
217599994,2125,23,55250,265,2026,490,4918,129954,F
629416911,2685,33,198690,265,800,1472,5069,130201,T
795987728,2128,20,114912,265,609,490,4918,130314,F
716309435,2702,21,159418,265,286,1472,5445,129682,T
984520773,2214,58,126198,265,601,490,4887,130131,F
528894170,2657,24,159420,265,1631,1472,7972,129715,T
886579174,2187,50,159651,265,251,490,4969,129569,F
213813368,2630,1,92050,265,328,1472,9805,130306,T
324300333,2234,31,78190,265,314,490,4873,130217,F
253937326,2592,16,90720,265,682,981,5112,129443,T
427325795,2220,41,77700,265,278,490,5585,129613,F
853559763,2591,7,111413,265,3695,981,10419,129696,T
934970317,2260,1,85880,265,1461,490,5307,130334,F
292482675,2434,55,155776,265,2991,2454,10737,129648,T
381042912,2104,37,90472,265,313,490,5401,129725,F
099998484,402,5,8040,265,487,981,10072,129415,T
485835649,2246,24,67380,265,308,490,5134,130382,F
213590823,398,26,8756,265,4053,490,7754,129977,T
225503817,2304,24,71424,265,290,490,4903,129755,F
789856905,2422,52,55706,265,651,1472,5028,129678,T
294415792,2178,1,106722,265,362,490,4998,130216,F
112410188,2568,49,195168,265,298,981,7816,129955,T
996135136,2191,5,179662,265,307,490,4907,129545,F
647807648,346,25,19030,265,1111,981,7440,129726,T
884516629,2112,58,101376,265,290,490,5094,129910,F
930925941,373,4,24618,265,287,981,10507,129905,T
627852151,2078,13,87276,265,5983,490,5252,129993,F
676436145,2615,1,62760,265,848,490,5882,130352,T
629201255,2292,13,77928,265,274,490,4997,130153,F
148567854,2500,24,200000,265,504,1472,5672,130058,T
815459888,2095,40,188550,265,259,490,4999,129454,F
082546492,454,16,11350,265,966,490,5820,129744,T
630956668,2067,34,128154,265,3590,490,5155,130193,F
381927991,2555,14,91980,265,368,1963,8251,129733,T
692609060,2294,29,71114,265,276,490,4881,129631,F
751262260,228,34,8664,265,260,981,7458,130327,T
247998596,2107,51,101136,265,2243,490,5204,130393,F
321781977,341,13,17732,265,437,490,5072,129500,T
351308050,2252,48,81072,265,2463,490,5188,129698,F
271604649,210,54,15330,265,323,1963,5387,129405,T
063410390,2121,44,44541,265,352,490,4953,130168,F
152295370,2689,37,107560,265,271,1472,5073,129538,T
243372446,2217,1,106416,265,392,490,5050,129917,F
886575677,2436,52,80388,265,805,1963,10620,130209,T
992115382,2075,19,43575,265,386,490,5715,129703,F
087220704,306,43,9180,265,2855,1963,4860,129432,T
706113268,2108,6,42160,265,2463,490,5291,129861,F
051430918,476,21,19516,265,397,981,10660,129846,T
319886878,2177,24,87080,265,298,490,5722,130077,F
160096202,2431,46,94809,265,295,1472,10024,129880,T
290367062,2325,29,79050,265,4653,490,5186,129512,F
770232880,2638,34,237420,265,536,1963,5116,130183,T
031056819,2082,53,166560,265,437,490,4907,129602,F
899786315,485,63,22795,265,618,981,7871,129416,T
014023565,2122,63,57294,265,527,490,4878,130042,F
719535515,2517,1,244149,265,1196,981,5017,129612,T
650149096,2094,38,71196,265,631,490,5306,129605,F
924742252,2622,53,91770,265,701,1472,5797,130218,T
529192237,2138,24,49174,265,266,490,5591,129977,F
796414018,230,4,9430,265,539,981,5073,129926,T
938623450,2229,3,44580,265,376,490,4899,130398,F
939388719,2514,14,158382,265,1795,490,10399,129851,T
976251825,2193,29,138159,265,442,490,5019,129422,F
294291784,2606,30,153754,265,4053,981,8203,130023,T
774992369,2216,57,117448,265,302,490,4937,129641,F
521553893,311,62,19904,265,2792,490,7393,130245,T
228622196,2266,49,58916,265,761,490,5323,130320,F
366091387,2470,54,229710,265,1336,981,7360,129431,T
