userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
266987936,4995,43,899100,2901,13639,949,4624,277429,T
369008280,2090,15,121220,690,7178,949,6526,277656,T
384767175,4344,33,395304,595,4871,474,4766,277439,F
780125896,2139,27,355074,624,54556,1898,6104,278135,T
912096587,2029,30,495076,604,30309,1424,7945,277571,T
285744887,4232,32,672888,577,34097,2373,3908,277680,F
019222535,1501,1,72048,1029,6199,949,3873,277566,T
644021236,2081,34,503602,1830,3842,1424,4505,278231,T
422640623,4885,18,361490,2164,2812,949,4483,277523,T
794505891,1968,9,74784,3452,6343,949,8061,277521,T
963710608,1967,1,476014,739,3497,2373,4655,278214,T
976131770,2052,11,352944,1006,2965,1898,3761,278326,T
906466684,2069,32,378627,1466,17048,1424,4321,277681,T
010521575,2147,9,264081,1257,6994,474,7859,278271,T
918297805,4879,36,585480,1748,3637,949,8512,277608,T
790658051,2048,1,55296,1061,4871,2373,8005,277770,T
390160487,2050,34,211150,3686,3209,1424,6098,277397,T
039487476,1563,25,329793,1962,3409,474,4350,278200,T
636218991,4300,42,447200,766,8799,474,4505,277766,T
246758502,2050,1,506350,685,7178,1898,4363,277385,T
544261492,2104,6,246168,1435,5567,1898,8350,277576,T
019152290,4965,46,625590,1782,5348,474,7632,277953,T
544903456,2129,1,70257,3409,5682,474,5718,278177,T
758253049,4894,26,650902,1474,3589,949,5983,277528,T
441121435,2106,1,63180,1234,16046,949,5697,277885,T
854144730,2097,1,419400,788,3788,1424,4597,277631,T
052357024,1986,1,486570,1223,9406,1424,4415,278273,T
562048340,1496,4,189992,591,9406,474,4242,278095,T
720806589,2012,16,98588,545,10911,474,4382,278178,T
238448499,1406,3,261516,849,7793,474,8250,278183,T
733629670,1966,9,55048,1704,2965,1424,4539,277958,T
969181588,1543,26,70978,614,3686,474,4050,278046,T
778996161,4845,45,1027140,2331,34097,949,4223,278206,T
390154988,1591,11,391386,1099,10911,949,4386,277891,T
314992484,4964,45,1171504,1991,10911,1424,6125,277802,T
979023248,1970,1,238370,1894,6343,1424,4456,277735,T
268448309,2050,1,141450,804,9092,1898,8535,277977,T
228521564,4988,13,548680,3099,5245,949,8158,277642,T
871029284,2005,28,98245,839,45463,1898,6389,278225,T
623010710,1476,8,253872,909,10491,949,4717,277638,T
048252538,1455,1,324465,1991,7577,949,4439,278161,T
599187655,2117,23,287912,1962,5682,949,7978,278049,T
408657027,1436,25,146472,651,22731,474,3887,278308,T
878934168,2128,21,527744,788,6994,2373,4709,278153,T
267422187,4883,43,698269,1771,2901,949,4699,277991,T
997874322,4349,19,221799,1104,45463,949,4550,278194,T
640325964,2139,12,455607,595,7793,1424,7821,278311,T
993856093,4885,36,942805,940,4785,949,3883,278030,T
626366848,1975,5,191575,3286,8266,949,5712,277982,T
222601728,1590,1,254400,2783,12399,474,5993,277574,T
274299579,1495,1,198835,612,6994,474,5934,278044,T
853502015,2000,15,234000,675,2901,949,4081,277801,T
047124314,2142,26,338436,1576,30309,949,6120,277444,T
449150412,1565,1,15650,2727,6653,949,3840,278056,T
053473096,4894,22,812404,2573,3367,474,8571,278184,T
434374464,2002,21,370370,2082,22731,1898,8197,277835,T
738853799,4906,40,1035166,3209,4196,949,6623,278111,T
010508606,2028,35,79092,1330,3686,474,8271,277826,T
892715368,2060,25,76220,1150,3686,949,4384,277536,T
885410307,2143,21,34288,598,7372,949,7579,277464,T
216246717,4951,32,544610,3326,7372,949,4703,278336,T
358407313,1991,10,99550,863,3030,474,8453,278249,T
098095859,4910,27,530280,3293,13257,665,3605,547558,F
601599570,2115,1,224190,574,5146,474,5967,277661,T
505123692,1971,35,116289,638,3788,2373,4239,278084,T
176195679,4305,34,886830,687,8799,474,4015,277955,T
191465606,2006,25,24072,586,4399,1898,7834,277599,T
948956189,2062,1,323734,554,2965,474,8020,277630,T
458937359,2058,1,475398,777,2812,1898,4101,278261,T
038637812,2144,1,490976,3452,6994,1898,7738,277921,T
198306985,2130,1,202350,1474,11365,474,7843,278153,T
870377363,1962,28,482652,1014,3286,1898,4641,277893,T
312549746,1982,4,49550,1498,3367,1424,5910,277582,T
502026624,1497,1,341316,1976,2727,474,6185,277805,T
927560486,2135,16,117425,786,11860,2373,4020,278198,T
071153524,4210,22,256810,1443,7372,474,4007,277795,T
379616019,2044,31,255500,1458,6819,2373,6571,277644,T
005414291,2015,9,163215,2648,4262,474,6573,277738,T
879730705,1965,1,284925,735,22731,1898,6423,277424,T
503640612,2004,27,352704,729,6653,1424,8271,277529,T
576809140,2040,19,93840,1976,3788,474,7793,278311,T
099930633,2008,1,114456,1490,3542,2373,8555,277526,T
804396782,2048,33,309248,712,19484,2373,4536,277771,T
383372298,2006,7,411230,868,9742,2373,5816,278345,T
984963037,2095,10,351960,891,6343,2373,6383,278247,T
450004619,1580,1,99540,634,4329,474,4659,277909,T
867306285,2025,17,275400,1037,3409,1424,7939,277915,T
289855891,1970,6,128050,549,10103,1898,8263,277379,T
249228504,4391,5,553266,988,22731,474,3976,277840,T
315123016,1414,1,77770,2841,3637,474,4538,277507,T
025338505,1999,19,395802,1921,12989,949,8479,277424,T
515743050,2014,32,443080,2131,3171,949,4377,277953,T
251661462,2008,34,74296,788,3497,1898,8591,277807,T
583289851,2059,17,236785,743,3326,2373,6643,278161,T
975051348,2069,16,513112,1694,3209,1424,8330,277569,T
074956096,2000,1,22000,608,34097,2373,8409,277750,T
290622560,2018,29,290592,1045,5146,949,8207,278283,T
649470029,1961,1,347097,1653,5803,1898,6383,277712,T
064982482,2059,1,409741,995,2755,1898,6632,278307,T
767929787,2005,9,340850,1948,6199,949,5808,277943,T
879006790,1975,28,294275,1257,3788,1898,8204,277834,T
834130900,2002,1,388388,1370,8524,1424,7980,277584,T
905572883,2066,7,373946,906,3247,2373,6593,277517,T
968920714,2055,30,357570,1715,10911,2373,7775,278176,T
424654527,1432,1,213368,1317,2965,474,8308,277962,T
970779575,4810,7,461760,3064,9092,474,7791,278177,T
810264374,2044,33,310688,745,5146,949,6471,278112,T
537746557,1474,27,173932,1643,4623,474,4058,277601,T
711226782,1987,3,246388,1737,4703,949,8464,277898,T
758612689,4235,33,338800,981,34097,949,5902,277832,T
966360582,4980,33,263940,2414,2755,949,4673,278210,T
015331610,1413,1,206298,2871,5930,949,4654,277655,T
749347604,2057,22,331177,792,3452,949,7719,277861,T
625885094,2061,27,397773,1069,3030,474,7654,277563,T
361313422,5009,36,435783,3409,7577,1424,8048,277895,T
085240025,1529,9,247698,697,2841,474,6095,277657,T
081256522,2024,3,172040,927,3135,949,7613,277769,T
326166629,2096,1,318592,574,3409,1898,5806,277885,T
166999207,2066,35,429728,1223,7178,2373,7554,277917,T
188074005,2030,1,355250,2311,5051,1898,4027,278011,T
337953121,4244,27,386204,3247,45463,2373,4569,277846,T
434868176,2049,15,92205,727,30309,474,5902,277386,T
339960085,2079,9,345114,676,4546,1898,6100,277504,T
991514714,4810,28,1120730,1532,18185,1424,5858,277906,T
194595004,1416,18,346920,3135,5245,474,4042,277866,T
499138984,4991,35,1132957,554,9742,474,4204,277724,T
832978161,2035,19,223850,621,16046,1424,6609,277600,T
801516627,1503,5,347193,3367,10103,474,8228,277781,T
851807543,2097,1,56619,931,10911,949,4585,278363,T
953172503,4356,43,596772,612,5245,474,3816,277664,F
528372280,2050,21,379250,1623,3542,2373,7782,277795,T
280697108,2081,10,89483,692,8266,949,4354,277704,T
519168083,1545,12,319815,2331,24798,949,4047,278154,T
015739787,2104,11,48392,755,4071,1898,4048,277527,T
296417153,4907,35,1197308,1663,4262,1424,4760,278356,T
904100243,4882,42,341740,2392,4011,474,5967,277884,T
781804896,1407,4,261702,1737,4871,474,5819,277709,T
426367804,2034,1,242046,1363,15154,949,8219,277800,T
611224558,1409,24,257847,547,4133,474,4190,278165,T
377442526,2040,31,267240,594,2812,949,6485,277848,T
539027821,2080,35,160160,628,5245,1424,6226,278056,T
016042465,2139,35,414966,2648,5455,1898,8022,278293,T
365636713,2027,26,72972,615,10491,949,4056,278239,T
314046248,2114,1,340354,1207,11860,474,8133,277837,T
190369840,2135,13,495320,1186,6653,2373,5963,277794,T
611296491,4901,12,985101,2292,11365,949,8016,278309,T
363903381,2002,22,490490,868,5930,1424,5938,278257,T
161997357,2002,27,70070,644,34097,1424,4009,277471,T
989368888,2127,1,72318,1759,4399,474,8571,278054,T
812530338,2133,14,460728,1155,10103,1898,4298,277969,T
134550425,2098,27,346170,1881,3135,1898,8139,278059,T
623352957,1970,26,35460,1541,15154,949,8547,277559,T
953841765,1988,1,238560,745,4703,1898,8390,277977,T
482284118,2125,24,320875,671,7178,949,8073,277845,T
458908972,1952,35,50752,3497,3367,474,5658,277835,T
084968357,1952,26,204960,666,5930,2373,8252,277842,T
330701148,1965,7,379245,2549,20983,949,7800,277966,T
227854798,2104,28,164112,2727,3842,949,4469,277886,T
041193125,4231,41,710808,1934,30309,474,4697,277577,T
915094545,1508,8,113100,3064,6494,474,8191,278308,T
445709179,4946,47,939740,1091,9406,1424,3773,278057,T
939310370,4865,34,1123815,3209,3497,1898,6163,278157,T
333858237,2087,21,340181,839,7793,2373,6453,277551,T
936965663,2150,14,359050,953,17048,949,5934,277691,T
058028097,2094,4,247092,766,4785,2373,5741,278349,T
436125528,2063,1,241371,1228,2727,2373,4297,278313,T
541451835,1951,12,146325,708,3099,2373,4119,278169,T
733937940,1992,31,430272,937,15154,474,7630,277661,T
149036545,2123,29,390632,719,2841,2373,5819,277890,T
845113988,1560,10,149760,931,9742,474,6064,277477,T
606809966,1553,12,316812,1141,17048,474,6021,277818,T
739812592,2080,31,43680,1002,15154,2373,6042,278342,T
508473023,2136,8,365256,1033,3409,474,6110,277776,T
503809894,4282,5,942040,1217,54556,1424,4651,278041,T
087082270,2053,30,225830,940,4133,474,6593,277925,T
805990723,2148,30,388788,1175,22731,474,8134,277545,T
263183577,1974,6,114492,638,4785,1898,7908,277938,T
579777608,2055,20,275370,814,5348,949,6287,278174,T
631983611,2078,35,486252,1021,10491,2373,8185,277651,T
901715772,2023,1,173978,863,3030,2373,6684,277831,T
849761148,1415,20,246210,567,10491,474,4288,277909,T
353523372,4818,46,640794,3788,2812,949,4488,278307,T
774917134,1979,12,81139,553,3686,2373,4068,277976,T
946409502,1990,1,232830,824,4071,474,5812,277707,T
983161182,1980,5,473220,1868,5455,1898,5648,277644,T
593402534,2090,13,315590,799,4785,474,7700,277457,T
491855789,1497,3,58383,2457,3209,474,4576,278154,T
904493525,4950,23,792000,3896,4785,2373,4397,278173,T
560149717,2031,20,79209,1406,6494,2373,7923,277442,T
045063320,1594,4,358650,981,4011,474,3871,278292,T
589659054,2094,1,142392,831,5146,949,4579,277440,T
639321235,2075,27,209575,1576,3367,2373,8423,277951,T
478027389,1983,1,69405,647,6819,949,4299,277657,T
991272194,2041,30,377585,660,4703,1898,6346,277731,T
215173643,1994,14,147556,1292,5455,474,6312,278259,T
197507149,2143,24,255017,593,4546,474,4415,278375,T
390443732,1973,4,353167,857,3589,1898,4135,277470,T
277693517,4392,38,443592,585,4785,474,4083,278136,F
059432364,4936,45,113528,3099,14357,1424,8569,278324,T
471196190,2060,15,510880,2871,20983,1424,6227,277817,T
