userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
832032260,2174,18,104352,585,683,949,6032,277822,T
168281798,4418,65,406456,585,569,474,4158,277652,F
704382478,2002,29,186186,585,652,1898,4333,278363,T
799716681,4269,71,264678,585,27278,1424,4117,278053,F
940294793,2215,52,170555,585,670,2373,8437,278119,T
488353964,4260,35,174660,585,1357,474,3884,277890,F
428804943,1977,60,156183,585,663,2373,3952,277911,T
021805298,4395,66,145035,585,599,474,4232,277379,F
947184012,1482,8,133380,585,727,474,4110,277449,T
455059303,4484,38,354236,585,783,474,3869,278072,F
555195959,1099,1,42861,585,824,949,4215,278295,T
345488431,4484,73,143488,585,814,474,3746,278092,F
521737189,2236,5,207948,585,1239,1424,4569,277688,T
559876697,4303,26,417391,585,2901,474,4315,277849,F
933859972,1414,58,53732,585,2273,474,4592,278057,T
051284410,4358,64,244048,585,554,474,4261,278338,F
416278667,2072,7,200984,585,2812,1424,6265,277851,T
150964998,4356,70,287496,585,632,474,4523,278271,F
311708460,2073,1,163767,585,701,1898,5985,278304,T
598112146,4432,28,394448,585,45463,474,6519,278023,F
091972532,2179,5,139456,585,611,474,7543,277612,T
984070958,4441,48,115466,585,643,474,3886,277667,F
569105605,2004,19,188376,585,821,949,6497,277544,T
060118421,4233,60,139689,585,1498,474,4378,278341,F
425607373,2172,51,139008,585,3637,474,8554,277962,T
722521534,4230,60,376470,585,16046,474,6048,278332,F
768919381,2152,39,206592,585,900,1424,4054,277836,T
283173928,4403,68,369852,585,54556,949,6664,277443,F
822656496,2199,16,92358,585,844,949,4103,277862,T
782520480,4206,44,298626,585,45463,1424,4520,278121,F
866931838,1960,26,74480,585,1108,1424,7613,277970,T
522617186,4318,38,414528,585,1818,474,3782,277926,F
863207897,2009,8,64288,585,2812,949,6241,277884,T
087819179,4350,17,378450,585,38969,474,3988,277641,F
058874256,2158,28,64740,585,3099,949,4013,278300,T
689664546,4501,46,432096,585,710,474,3759,277605,F
586651242,2000,1,190000,585,988,2373,6109,278124,T
779728807,4300,66,283800,585,574,474,3888,277814,F
511913883,2073,60,190716,585,3409,949,6013,278204,T
162693965,4354,62,269948,585,600,474,3809,278340,F
873266666,2178,43,204732,585,6343,474,7997,277400,T
376715591,4313,38,357979,585,1155,474,4437,277648,F
176690321,1972,1,55216,585,839,474,7713,277728,T
316350520,4395,54,369180,585,995,474,4516,278230,F
623631482,2100,61,199500,585,2479,474,4357,277584,T
907326854,4498,38,292370,585,611,474,3994,278202,F
880689713,4435,71,274970,585,13639,474,4244,278051,F
411321064,2085,43,116760,585,960,474,5923,278376,T
905195825,2223,1,188955,585,631,474,5774,277376,T
516545448,4336,28,182112,585,1843,474,4222,278245,F
839904317,1476,2,104796,585,704,949,4273,278304,T
190182141,4450,48,146850,585,16046,474,3911,277902,F
701157386,2093,50,69069,585,719,474,7589,277713,T
503686358,4442,33,306498,585,27278,949,5923,277633,F
359403310,2146,39,135198,585,2871,949,7928,277758,T
083533019,4304,40,279760,585,1466,474,4047,277970,F
765462281,2248,58,141624,585,11860,2373,8497,278096,T
883701729,4223,64,84460,585,549,474,4516,277828,F
959583704,2091,20,121278,585,7577,949,3973,277998,T
706581841,4337,73,182154,585,1045,474,3766,277941,F
321553416,2024,58,56672,585,1683,1424,6461,278207,T
997069893,4310,30,370660,585,1117,474,4245,277414,F
651909577,2150,16,197800,585,1748,949,7614,277390,T
202158444,4350,51,178350,585,570,474,3785,278045,F
569645524,2104,58,58912,585,1002,474,8030,278207,T
515114807,4288,37,98624,585,557,474,4632,277574,F
033906178,1595,1,118030,585,1165,474,5817,277928,T
850195027,4344,72,390960,585,561,474,3925,277539,F
852210004,2145,1,160875,585,1292,474,8429,277856,T
152701757,4355,27,100165,585,1280,474,3933,278007,F
995043511,2038,5,183420,585,1317,1424,3821,277952,T
632515347,4251,57,153036,585,3542,474,4147,277985,F
777160101,2005,32,118295,585,1127,949,7593,277662,T
414533329,4245,58,382050,585,1948,474,4464,277550,F
250481480,2232,27,118296,585,565,474,5946,277684,T
759901294,4381,32,122668,585,1262,474,4020,277686,F
043555112,2205,53,196245,585,563,474,4320,277890,T
608138344,4409,26,286585,585,671,474,4188,277674,F
582885862,1994,65,125622,585,557,949,6306,278122,T
209619370,4271,35,128130,585,15154,949,4077,277805,F
452932213,2212,37,188020,585,1136,474,7678,277818,T
534316758,4432,47,376720,585,638,474,4351,278032,F
467574152,2027,4,87161,585,2783,1898,5879,277474,T
686767296,4378,71,218900,585,5455,474,4643,277501,F
674600230,2026,64,107378,585,2997,1898,8509,277987,T
851650622,4414,24,114764,585,9742,474,4354,278106,F
900976733,2015,24,66495,585,751,2373,6049,278107,T
985649571,4341,48,312552,585,27278,474,4531,278064,F
263379393,2068,59,130284,585,579,474,8104,277617,T
013825130,4258,56,212900,585,14357,474,3985,277761,F
612953237,2167,64,136521,585,685,474,6555,277678,T
916087494,4228,44,139524,585,783,474,4235,277780,F
826623440,2058,24,144060,585,5567,1424,6349,278001,T
020081429,4381,73,118287,585,819,474,4479,277685,F
668326465,4466,28,419804,585,5930,474,4643,278118,F
285065068,2023,3,178024,585,15154,1898,8030,278349,T
810841691,4273,43,397389,585,900,474,3773,278256,F
737628651,2217,22,219483,585,2479,2373,4575,277717,T
561070600,2206,16,194128,585,600,949,8438,277489,T
755583700,4412,31,300016,585,1683,474,4579,277667,F
