userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
822377811,3014,96,545534,341,4481,385,3047,110412,F
332098994,3043,122,289085,597,1493,1155,4769,110717,T
832504351,2880,110,584640,342,3163,770,5525,110863,T
804290566,3652,16,266596,655,3585,1540,4428,110664,F
566224733,2858,104,285800,524,15365,1155,3002,110989,T
099915382,2892,109,349932,377,2444,770,3219,111039,T
314979308,3691,21,686526,297,1734,385,4368,110114,F
102109921,2924,117,573104,1250,21512,1155,5451,110459,T
804608807,3024,107,514080,768,4481,385,5106,110564,T
079557610,3715,46,78015,651,1955,385,3900,110541,F
099575649,3703,7,803551,256,11951,1540,2417,110944,F
045146995,3783,43,514488,224,1361,1925,5401,111069,F
303270011,3714,42,683376,286,1823,385,4659,110157,F
493271904,3786,20,283950,316,2195,1925,5478,110436,F
794312234,3740,32,718080,327,11951,1925,3973,110812,F
119589496,2873,106,152269,814,1629,1540,4617,110479,T
030840554,3503,22,700600,1208,3841,770,3865,110348,T
580762159,2860,127,411840,290,2240,1925,2519,110881,T
478998334,2959,108,29590,275,1823,1155,5437,110497,T
414663285,3730,10,93250,339,1991,1155,4287,110371,F
981010781,2996,112,626164,245,2689,770,4777,110722,T
493853499,2930,117,700270,853,9778,1925,4327,110266,T
308652398,3000,118,258000,1236,7682,770,2662,111068,T
657728698,3741,44,635970,581,1120,385,3554,110273,F
597430678,3661,38,743183,731,1854,1925,2666,110363,F
489351730,3048,101,536448,428,1558,770,3743,110639,T
466486673,2951,120,690534,241,4136,770,2909,111007,T
917903856,3741,36,235683,333,1169,770,5025,110871,F
898645637,3809,6,350428,269,8273,1540,5280,111008,F
648106900,3643,15,724957,266,1434,770,5603,110135,F
974943001,2865,129,28650,512,6722,1925,5270,110708,T
604872623,2979,122,679212,299,4889,1155,3747,110416,T
982669005,3679,18,213382,289,1280,1540,4400,110837,F
630222461,3766,27,455686,927,1707,770,3020,110253,F
926126254,3685,42,663300,655,1222,1540,3744,110118,F
589918928,2970,100,374220,367,9778,770,5122,110735,T
601221156,3660,6,333060,509,1132,1540,2345,111017,F
550630788,3744,32,718848,721,7682,1925,3669,110861,F
115516848,3720,41,721680,459,3073,1540,5085,110159,F
338339190,2957,109,195162,323,1920,385,2602,111015,T
631086605,3664,8,458000,277,1605,1540,3092,110120,F
684832169,2898,122,353556,277,6722,385,2372,111035,T
837256461,3740,27,370260,362,1434,1925,2894,110622,F
026139633,3670,15,627570,384,3585,1925,4871,111001,F
824935981,3007,125,177413,407,1536,770,5551,110899,T
431906588,3704,36,926000,388,9778,1540,4180,110400,F
935443666,2959,112,591800,224,2109,1925,4087,110556,T
949007329,3014,116,509366,246,1792,1925,5246,110808,T
140891371,2980,92,604940,234,1887,1540,4677,110188,T
083087020,3764,20,496848,488,2109,770,4765,110493,F
342726571,3777,11,423024,415,1493,1925,3214,110867,F
791899823,3755,45,206525,644,1680,770,3011,110633,F
343107374,3663,46,120879,840,2444,770,2264,110399,F
189313203,2895,117,495045,289,2195,770,3491,110714,T
305887312,2904,118,641784,222,2501,1540,3646,110275,T
678102521,3807,13,98982,348,5975,1925,5578,110695,F
561619111,2942,94,91202,257,3469,385,4428,110532,T
508408478,3623,26,420268,344,4676,385,3078,110790,F
173601505,3718,39,684112,1132,1181,1925,4213,110798,F
227410626,3637,7,781955,341,4889,385,2317,110371,F
129793483,2931,98,196377,402,1920,1540,5490,110974,T
526571720,2960,125,589040,369,2288,1925,3679,110881,T
800094807,3609,15,472779,380,1344,1925,2877,110576,F
606962887,2857,109,451406,365,4481,1540,4136,110866,T
663049745,3732,30,768792,302,2195,1540,3918,110991,F
488401420,2947,112,162085,380,13445,1540,4681,110920,T
976077666,2862,116,57240,215,2987,770,4184,110360,T
437993562,3726,13,421038,224,1181,770,4929,110438,F
098858869,3674,42,676016,247,1311,1540,4291,110523,F
765804530,3673,40,852136,259,1250,1155,2430,110086,F
293073107,3731,39,283556,344,1144,385,2606,110252,F
232901588,2868,100,177816,253,1581,385,3485,110399,T
139981982,3614,44,639678,370,1920,1925,5435,110851,F
792207534,3795,15,815925,276,6722,385,3034,110526,F
520024869,3513,43,460203,1473,5121,770,5417,110849,T
636987343,2873,94,290173,566,6327,385,3805,111067,T
170355604,3667,45,685729,242,1280,1155,5124,110499,F
777744319,3632,31,112592,560,15365,1540,4285,110197,F
655516178,3624,30,663192,271,1920,1925,4965,111036,F
038708946,3690,20,162360,286,1680,770,3785,110939,F
929605701,3024,99,169344,597,2390,1155,3175,111060,F
445538914,3704,28,137048,300,1887,1540,3438,110732,F
801837435,3642,13,50988,242,3259,1540,5160,110448,F
287066834,3005,127,628045,349,4676,770,3908,110438,T
065759646,2854,120,645004,364,1823,1540,3029,110980,T
091380174,2980,119,441040,514,7682,1540,4994,110910,T
198414236,3722,17,565744,659,5661,1540,2848,110994,F
204192312,3808,39,79968,260,6327,770,3021,110594,F
157560927,3695,41,62815,216,1097,1155,5473,110907,F
856424807,2922,121,295122,1265,1734,385,4274,110415,T
583684717,3043,102,505138,440,1763,1155,3594,110672,T
110398351,3686,17,586074,532,3709,1925,3114,111028,F
524162016,3654,28,65772,881,1707,1155,3553,110368,F
669160695,3614,7,834834,335,1181,385,4374,110131,F
917372971,2992,94,703120,219,1453,1155,5422,110455,T
270064723,2947,92,265230,230,1920,1155,4328,110122,T
971145259,2889,100,312012,514,17926,1925,5118,110134,T
322541069,3643,45,196722,323,3073,1155,3949,110616,F
737185732,3764,25,459208,680,1396,770,5365,110988,F
158816729,3623,36,536204,259,2195,385,4203,110896,F
300968112,3755,34,428070,768,2338,385,3296,110221,F
298471538,2936,121,601880,455,2240,385,2997,110597,T
632829652,3723,12,59568,285,1250,770,5590,110907,F
611832099,3650,14,408800,223,1763,770,5431,110451,F
391639376,3694,25,853314,219,2195,1540,2384,110671,F
912595713,3648,22,357504,421,1763,1540,3684,110452,F
710919622,3796,32,208780,248,1680,770,5140,110715,F
356638889,3719,13,780990,262,3983,1925,4185,110573,F
334629798,3486,39,477582,1378,15365,385,3800,110632,T
467234280,3726,16,439668,234,2623,385,2574,110180,F
586418125,3709,35,856779,527,2068,770,3853,110330,F
442292649,2858,107,65734,752,1097,1155,4104,110355,T
638885750,3702,46,892182,261,1558,770,5417,110254,F
275233469,3743,25,224580,1378,8273,770,5323,110286,F
333350133,3656,35,106024,253,13445,1155,3627,110253,F
387229361,3043,129,429063,392,2151,770,4365,110924,T
270126580,2980,127,220520,548,5661,1540,5607,110893,T
644004429,3636,16,487224,741,2029,1540,2558,110475,F
486858197,3770,10,810550,471,2757,1155,3105,110880,F
432873725,2886,95,54834,655,1222,1925,4004,110644,T
466752371,3011,105,277012,446,1097,1925,3540,110956,T
550560504,3038,115,671398,721,1250,1925,4982,110127,T
356863094,2858,94,640192,308,1792,770,5376,110692,T
460588703,3022,97,30220,249,5975,770,2979,110469,F
353507859,3772,37,701592,266,2240,1540,2301,110903,F
200550131,3016,93,476528,277,1955,1540,3742,110938,T
504927731,2890,129,699380,255,3469,770,4110,110241,T
886772796,2921,95,181102,640,2068,385,2706,110194,F
085123693,3653,45,168038,285,8963,1155,2595,110137,F
091790912,3676,14,283052,405,1792,1540,5310,110738,F
829877771,3721,41,632570,337,3841,1155,3795,110618,F
344780325,2862,129,635364,229,1581,1540,4216,111002,T
235681311,2886,129,204906,318,1581,385,3026,110938,T
461896337,2987,123,101558,473,11951,1925,4047,110513,T
078168330,3031,94,615293,439,1854,385,4055,110933,T
444497799,3708,32,133488,251,1108,385,3133,110988,F
093814602,3716,15,137492,475,1792,1540,3157,111020,F
648490834,2998,126,47968,277,1181,385,3022,110743,T
615004311,2960,126,722240,446,3841,385,3002,110422,T
475629167,2950,93,177000,384,8273,1540,3831,110797,T
710711705,2893,105,639353,431,8273,1540,3449,110502,T
438373975,3698,19,706318,418,1707,1540,4298,110346,F
748597257,3639,18,65502,392,8273,1540,2845,110211,F
211450865,3623,28,376792,604,5378,1540,2944,110463,F
896422300,3681,28,618408,430,1181,1540,4102,110971,F
497411335,3333,27,399960,1536,7170,1925,5334,110989,T
714516415,3625,44,166750,480,1156,1540,5259,110750,F
055333053,3020,91,126840,305,1734,1155,4793,110653,T
540907712,2872,119,114880,254,2288,770,4812,110560,T
654578786,2968,91,305704,324,1295,1925,3423,110642,T
027108261,3646,45,364600,215,9778,1540,5029,110752,F
035235356,2876,129,419896,277,3163,1155,3911,111082,T
778489477,2869,107,542241,423,7170,1155,3473,110844,T
653311654,3687,33,538302,219,1108,770,4945,110392,F
935056189,2965,102,130460,275,1854,1540,2741,110237,F
400749546,2980,120,71520,757,3709,1155,2946,110159,T
353986915,3793,33,60688,731,1361,1155,3230,110353,F
467895716,2931,115,149481,297,1792,385,3278,110972,T
829316470,2955,118,579180,237,1265,1155,4980,111081,T
738828312,2959,103,426096,446,1181,1540,5461,110767,T
047108287,2980,103,131120,1473,4136,1155,3754,110723,T
618096007,3712,33,51968,853,1955,385,4051,110961,F
332488106,2956,118,198052,1434,1236,1540,3188,110215,T
799789160,3722,45,301482,232,1654,770,4939,110707,F
307418167,3752,32,262640,248,1144,1925,2831,110509,F
530569317,3747,22,828087,337,1792,770,2986,110829,F
921695997,3709,26,107561,287,2240,1155,2276,110525,T
628921314,2853,116,145503,1453,1887,385,4912,110386,T
785592511,3733,40,182917,535,3585,1540,4834,110188,F
801165475,3638,23,392904,222,1558,1540,2700,110588,F
651211143,2934,113,346212,512,1265,1155,3172,110771,T
232821431,2860,115,231660,519,2338,1155,5339,110233,T
232924301,2971,92,187173,274,1887,385,3750,111081,T
543433757,3765,24,105420,1064,2288,770,3703,110225,F
487719374,3660,43,472140,311,2501,770,4319,110730,F
906678926,3711,7,853530,408,3469,1540,3154,110617,F
149725111,3778,15,128452,867,1265,1540,4871,110865,F
266535137,3710,20,749420,389,3073,770,4123,110285,F
000435978,3741,22,856689,277,3709,1155,4213,110798,F
769317695,3625,17,485750,358,1144,1155,4314,110643,F
857644529,2967,116,593400,853,2501,1540,2381,110146,T
260536946,2961,107,589239,560,1680,1540,5101,110847,T
962496041,3633,45,377832,270,1434,1540,3254,110447,F
752973255,3770,26,294060,310,1195,1540,5472,110743,F
825937625,2867,123,570533,284,9778,1540,2519,110620,T
995016790,2890,89,228310,257,1169,385,4861,110772,T
505280228,2974,97,568034,275,1887,1155,3575,110508,T
378346807,3744,16,763776,254,1327,1925,5299,110556,F
691799825,3642,34,564510,969,2390,1925,2417,110795,F
014897887,2852,121,570400,351,4136,1155,5310,110133,T
299238651,3646,44,422936,465,5121,1925,4279,110415,F
315693114,2862,111,672570,1344,1344,770,3301,110351,T
177072112,3791,17,583814,217,1120,1540,2760,110350,F
972258265,2907,119,241281,773,3163,1925,2879,110881,T
630694511,2910,92,721680,497,17926,770,3517,110791,T
784919620,3038,104,738234,636,4676,1540,5417,110661,T
411705143,3645,28,58320,446,2109,770,3941,110158,F
905614240,3753,32,210168,943,3585,770,3931,110379,F
169943698,3024,105,613872,698,1734,1155,2621,110337,T
681642921,3726,35,167670,529,1280,1925,4405,110523,F
363071655,3718,35,397826,340,2390,385,2755,111039,F
400953602,3794,25,773976,216,2501,1540,4943,110358,F
570941415,3046,114,225404,1327,7170,1155,4856,110145,T
959539827,3776,34,536192,363,1222,770,2746,110182,F
809494608,3762,24,515394,672,2288,385,5503,110512,F
132035754,3733,20,798862,584,1120,1155,5286,110105,F
299892282,3787,20,836927,301,1208,1925,2371,110406,F
433851034,3789,40,204606,298,1181,770,3929,110148,F
243736621,2878,98,564088,685,1887,1925,5575,110249,T
729423154,2975,118,80325,253,4676,385,3198,110722,T
750438739,3637,42,283686,351,1250,770,5337,110184,F
496296106,3000,89,66000,234,1195,1540,3235,111069,F
071083244,3782,39,211792,655,1763,1925,2638,111081,F
671696300,3688,25,313480,385,1654,1540,4205,110882,F
381663753,4265,19,946830,346,17926,385,4802,110324,F
367635392,3047,102,222431,717,15365,1155,4457,110882,T
912464221,2853,116,148356,309,13445,1155,4430,110199,T
890894929,2936,107,469760,386,3361,1155,4925,110373,T
339861724,2872,108,166576,351,1991,1540,2973,110268,T
830021850,3042,125,498888,1120,1144,770,5263,110184,T
768646154,3680,12,92000,231,4302,1155,4867,110929,F
851310838,3022,101,556048,689,2501,385,3934,111027,T
083313026,3747,7,741906,315,2623,1540,4432,110208,F
589841837,3743,20,209608,323,1707,1155,2402,110244,F
398914085,2893,107,260370,1396,1514,1925,3438,110491,T
551554936,2900,109,113100,736,1361,770,4264,110850,T
286149693,2881,127,599248,351,5975,1540,3462,110198,T
638836594,3694,33,834844,604,1707,385,4172,110886,F
382829523,3045,105,481110,317,1680,770,3303,110361,T
805684941,3610,10,718390,227,1396,385,3666,110978,F
001446096,3009,125,713133,779,1327,770,5096,110160,T
321466781,2926,125,93632,365,3073,385,3583,110929,T
870387414,3782,33,586210,1169,2288,1540,3813,110757,F
978301362,3743,7,78603,614,1236,1540,2701,110832,F
066824452,3610,45,39710,324,1415,1155,4639,110980,F
618964852,2926,106,611534,236,1222,1540,5616,110795,T
467512698,2987,110,445063,304,1144,385,4764,110114,T
486358273,3777,6,770508,405,1707,385,4998,110251,F
185430169,2909,104,535256,430,1250,1925,3842,110635,T
594555164,3702,46,259140,241,1955,385,2893,110789,F
381639707,3722,37,44664,712,1415,1925,3843,111031,F
456707761,2949,128,566208,220,4481,770,3278,111078,T
430714598,3687,6,328143,289,2830,1540,3807,110687,F
581161655,3048,120,70104,398,1327,385,5328,110873,T
343345766,3032,123,527568,1132,1581,385,3643,110149,T
603688971,2970,115,255420,291,5121,770,2681,110386,T
322605423,3782,43,60512,413,8273,1925,2297,110826,F
689385280,3800,38,60800,437,2689,1925,5041,110572,F
604771136,2979,105,119160,329,1707,770,4587,110960,T
115985458,3657,27,544893,264,1344,1155,4918,110495,F
826935167,2969,108,279086,1536,1493,385,4325,111049,T
369999929,2849,111,62678,368,2623,1540,2685,110533,T
906343017,3636,10,730836,1415,1344,1925,3259,110451,F
226186936,3691,26,524122,268,2830,770,3812,110368,F
486740387,2983,104,545889,768,5378,1540,5460,110915,T
374156079,3648,10,459648,405,1361,770,2504,110944,F
611952298,3740,23,882640,326,1378,1925,4600,110668,F
087160352,3019,99,688332,342,1654,1155,5250,110299,T
905055066,3763,9,82786,337,5378,770,2943,110610,F
728798020,3736,12,448320,663,7170,1925,3490,110772,F
064795511,3717,16,538965,246,1629,770,2349,110736,F
