userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
897443062,2869,135,74594,287,465,1925,3914,110394,T
103055879,3651,6,244617,287,1605,1540,5157,110825,F
569954865,3110,158,87080,287,308,1925,3062,110920,T
069668053,3730,65,141740,287,1181,1925,2278,110709,F
042607757,3617,66,180850,287,343,1925,3638,110977,F
172211800,2861,116,185965,287,2240,1925,2516,110082,T
438075773,3731,14,291018,287,425,385,2800,110334,F
693507481,2955,153,115245,287,305,1925,3979,110098,T
592337185,3885,35,116550,287,457,770,3479,110389,F
756487306,2883,154,233523,287,1195,1925,4673,110468,T
515244887,3057,117,207876,287,376,1925,4218,110122,T
115704024,3734,21,123222,287,270,770,4280,110945,F
424330819,2962,109,266580,287,632,770,4262,110304,T
073806596,3618,44,209844,287,461,1925,2356,110341,F
092422831,3844,43,188356,287,4889,1540,4191,110579,F
175327351,3137,112,81562,287,480,1155,3871,110106,T
847690391,3094,89,275366,287,420,385,5310,110318,T
428265832,3850,50,211750,287,736,385,3062,110118,F
423263627,3753,32,202662,287,281,1925,3425,110840,F
390152621,3047,149,176726,287,228,1925,4391,111084,T
796294994,3789,76,344799,287,731,1540,5062,110117,F
521732327,2980,96,268200,287,680,1540,3904,110685,T
778269683,2873,123,149396,287,365,385,4096,110192,T
362461106,3675,53,154350,287,860,770,4254,110453,F
216054581,3693,61,110790,287,437,770,2532,110522,F
464645993,2960,96,290080,287,1763,1540,5181,110768,T
080089798,3052,128,82404,287,316,1925,5042,110345,T
388061828,3748,67,239872,287,261,770,4975,110104,F
471015584,3786,35,374814,287,2109,1540,4098,110866,F
820558480,2934,109,193644,287,840,1540,2482,110707,T
430255308,3898,71,276758,287,249,770,3233,110442,F
919827169,3025,131,69575,287,313,1925,5447,110450,T
409962260,3086,134,209848,287,1991,1540,5473,110181,T
251845047,3718,44,282568,287,3259,1540,4659,110980,F
042687986,2942,134,244186,287,1920,385,5109,110405,T
431399699,3647,66,247996,287,215,1155,5214,110229,F
536190883,3054,154,219888,287,226,1540,3668,110750,T
831544803,3723,42,364854,287,488,1155,3053,110267,F
408154018,3788,20,181824,287,507,770,4782,111011,F
558811108,2963,91,245929,287,248,770,4041,111000,T
317426110,2881,121,121002,287,896,1155,4822,110612,T
763077337,3721,62,167445,287,554,1155,4176,110753,F
844836280,3658,25,329220,287,223,1155,5075,110175,F
299386554,3074,115,295104,287,223,1540,5325,110171,T
603143948,3745,55,367010,287,297,1925,4412,110225,F
273848806,2890,138,132940,287,1005,770,3005,110251,T
414356283,2883,136,279651,287,246,1925,3892,110448,T
924066630,3843,23,315126,287,1629,1925,5513,110245,F
508710736,3866,25,189434,287,986,1155,5563,110812,F
954335144,3015,95,120600,287,313,1155,4910,110742,T
529620284,3147,127,286377,287,220,1155,3064,111043,T
891949544,3772,34,222548,287,1295,1540,3649,110185,F
094878650,3839,52,176594,287,296,1540,4878,110867,F
122565362,3138,114,106692,287,437,385,2836,110875,T
811022807,3762,17,357390,287,228,770,2714,110839,F
604907219,2966,93,136436,287,1132,1155,4396,110996,T
003624997,3861,36,328185,287,524,1925,3165,110421,F
547663655,2948,130,85492,287,283,385,4718,111040,T
388918795,2918,99,239276,287,420,385,3799,110686,T
926545348,3695,11,266040,287,482,1155,2921,110649,F
327881303,3707,12,337337,287,261,1925,5040,110659,F
612541478,2879,115,164103,287,337,1155,5440,110831,T
201272729,3056,136,229200,287,4136,385,3476,110107,T
813178332,3838,19,122816,287,243,770,5457,110357,F
301361945,2950,142,241900,287,21512,1540,4789,110875,T
039712097,3786,18,291522,287,440,770,5094,110455,F
450767182,3814,48,312748,287,1169,1155,3643,110681,F
956534806,3137,151,106658,287,288,385,3779,110701,T
915918140,3816,19,87768,287,243,1925,5447,110225,F
597198500,2957,153,138979,287,389,385,5429,110744,T
645712631,3728,75,272144,287,293,770,4962,110676,F
914269542,2878,108,83462,287,259,1925,4244,110788,T
523319192,3823,60,122336,287,306,1925,4255,110104,F
369526475,2887,150,210751,287,293,385,4782,110736,T
220025746,3848,14,142376,287,2907,1540,3090,110811,F
967362652,3128,103,75072,287,319,385,4791,110594,T
128895009,2875,125,247250,287,600,770,2812,110447,T
094963366,3638,63,163710,287,1991,385,4284,110659,F
155597137,2883,152,273885,287,527,1155,2768,110811,T
687098064,3694,28,147760,287,283,1155,2743,111011,F
249895114,2917,94,250862,287,491,1155,5183,110829,T
950947390,3765,20,338850,287,356,1540,4158,110650,F
456899522,3857,10,304703,287,274,1540,5004,110647,F
990889154,2880,103,216000,287,1311,1540,5050,110761,T
925859097,3762,26,112860,287,272,1925,4427,110328,F
721387288,2943,125,238383,287,244,1155,5615,110320,T
239221455,3861,46,92664,287,323,1155,3784,110881,F
766124064,3054,103,174078,287,246,770,3913,110759,T
395043090,3012,109,78312,287,402,1925,3461,110324,T
416649064,3746,74,314664,287,867,385,4372,110901,F
900944570,3722,40,230764,287,224,770,5113,110482,F
942755164,3050,98,173850,287,302,1925,5125,110519,T
055480330,3717,34,178416,287,288,1155,4244,110802,F
035732113,2928,144,284016,287,241,770,5485,110590,T
877944760,2931,151,126033,287,255,385,2375,110102,T
034052038,3873,65,85206,287,1605,1155,5433,110608,F
669798943,3757,73,334373,287,311,1155,2731,111014,F
845805366,3068,151,279188,287,364,1925,3797,110179,T
879781938,3096,131,139320,287,418,1925,3010,110154,T
545933222,3812,23,320208,287,488,1155,2444,110111,F
