userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
083805753,3523,16,722215,4945,10769,429,6562,514977,T
942455579,4663,523,60619,6376,48464,1289,4359,514416,T
805717360,4585,499,316365,1040,9692,429,8753,514830,T
782272046,2427,128,109215,3319,13462,429,4401,514596,T
895534573,3754,66,634426,2973,17949,1289,6504,515340,T
623951339,3784,42,889240,3940,5211,859,9350,515218,T
060852495,4696,515,1084776,1376,8355,429,9252,514623,T
293504155,4583,502,252065,1292,80773,859,4670,514833,T
848149157,4698,514,709398,3437,10769,859,4495,514432,T
189247274,562,17,47208,3365,8974,1719,8671,514883,T
639175304,3696,75,776160,2460,21071,859,6955,514415,T
667954438,739,6,98287,6923,8355,429,8621,514488,T
981655814,2449,118,215512,1648,25507,429,4578,515299,T
740806272,3872,44,913792,1388,6825,1289,6822,515091,F
242949804,4619,502,914562,4251,96928,1289,7117,515120,T
817265963,2546,101,73834,3699,13846,1719,4721,514639,T
161722227,4710,523,183690,3756,6376,859,8834,514772,T
914686839,3819,48,133665,1755,8811,1719,4630,514653,T
834213055,4597,525,165492,995,6638,429,8586,514424,T
646722407,2510,108,276100,1700,8355,859,4438,515236,T
714664101,4594,522,597220,2153,18640,2149,7099,514682,T
423219861,4567,519,840328,1417,5635,2149,6552,514999,T
639105550,3385,2,819170,4798,10535,859,9175,514470,T
636766827,3740,64,594660,4072,22029,1719,4872,514779,T
949914345,624,1,86736,2619,21071,1289,7231,514348,T
472916218,3402,7,391230,3589,25507,1719,4664,514665,T
618083948,4616,535,923200,2296,7572,1719,4792,515216,T
239271845,3470,22,93690,2591,16711,429,7312,514471,F
016211665,728,15,32760,1842,11539,859,6720,514609,T
444089679,2469,138,158016,1239,5839,859,4725,515327,T
128302136,573,20,67614,5635,7023,429,9142,514948,T
765073958,3782,46,518134,1642,10311,2149,4876,514495,F
153019820,586,1,23440,1429,6294,2149,4383,514382,T
727279988,2464,110,81312,5839,6549,429,5272,515160,T
966502495,3351,22,100530,1970,10096,429,6398,514595,F
662905757,719,19,153866,2088,7456,429,9486,514835,T
315585818,706,1,75542,1788,5507,1719,8791,515005,T
637140387,3406,28,459810,5384,5769,429,5195,515289,T
442432369,4624,535,804576,1051,4996,2149,6747,514754,T
275984913,692,12,60896,1055,7816,859,9160,514683,T
976057173,4642,498,933042,1042,5267,2149,8995,514474,T
870272538,629,11,154105,1145,14254,859,8632,514965,T
927469590,3710,52,927500,1871,14686,1719,6717,514795,T
973911321,718,20,47388,1282,96928,2149,5187,515026,T
983132127,633,5,39246,1842,7572,429,9151,514574,T
