userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
823914994,3826,61,363470,1199,1365,2149,5236,515224,F
167561797,4589,497,380887,1199,1849,859,4519,514702,T
424090239,4816,524,221536,1199,1217,429,9345,514685,T
932220745,3496,33,171304,1199,7944,429,6466,515146,F
844838217,3739,85,97214,1199,3877,2149,5183,514686,F
220095800,4756,546,237800,1199,2019,429,9498,515001,T
666854945,4597,497,266626,1199,3252,1719,5103,514892,T
321200049,3693,37,273282,1199,3816,1719,4411,514369,F
540123526,772,2,76428,1199,1938,859,7370,514993,T
840610800,3986,58,239160,1199,1069,2149,4715,514837,F
707323190,4744,498,426960,1199,3563,2149,8898,515261,T
187984922,3890,37,369550,1199,1153,859,6991,515277,F
292480625,3822,97,263718,1199,1828,859,6427,514441,F
204146944,4614,553,429102,1199,981,1289,6898,514387,T
925170818,796,33,59700,1199,1946,429,5271,515129,T
771087869,3759,80,75180,1199,3940,2149,5196,515264,F
188225616,765,54,53550,1199,1505,1719,5283,514567,T
004787958,3893,64,307547,1199,48464,1289,5006,514521,F
900037162,591,44,56736,1199,14686,2149,6842,514845,T
786771973,3731,47,373100,1199,2850,1289,4351,515031,F
321882167,2642,149,118890,1199,1404,429,6658,514758,T
467803462,3848,56,303992,1199,1417,859,6949,515066,F
427705378,623,43,50463,1199,6058,429,5024,514774,T
575556663,3497,58,346203,1199,1864,429,5194,514724,F
258072709,2674,98,149744,1199,1615,429,4337,514630,T
067383271,3629,28,250401,1199,2991,429,4323,514475,F
130659040,4690,537,234500,1199,1923,429,4799,515328,T
156569985,3455,14,96740,1199,11270,429,8672,515239,F
418334707,708,28,60888,1199,3846,2149,4255,514739,T
114376450,3514,4,158130,1199,2884,429,8770,514599,F
525001845,2469,161,175299,1199,3461,429,4761,514851,T
452261906,3449,51,310410,1199,4327,859,8859,514905,F
895182905,4719,527,292578,1199,1024,859,4755,514852,T
640415062,3469,8,166512,1199,53848,859,4505,514591,F
144826474,3833,39,237646,1199,1275,859,5145,514868,F
609155446,4800,504,417600,1199,1954,859,8620,515346,T
115678085,4685,508,178030,1199,1230,2149,4557,514560,T
333534122,3894,73,241428,1199,1856,1289,5211,514692,F
196366539,4635,540,463500,1199,3106,859,8662,514600,T
198388739,3352,31,191064,1199,2801,429,6589,514694,F
541067498,3699,40,155358,1199,3365,1289,5174,515093,F
920307201,828,1,52164,1199,1033,2149,9539,514360,T
372605192,668,19,22712,1199,2134,859,9594,514704,T
443643065,3801,61,254667,1199,1682,859,8575,515013,F
682321570,4732,549,288652,1199,1220,2149,9179,514651,T
669079664,3862,78,119722,1199,1258,1719,5181,515009,F
276467057,4777,545,401268,1199,1361,1289,9540,515252,T
694041337,3834,96,279882,1199,1035,1289,4667,515144,F
904269303,828,55,51336,1199,1167,1289,8678,514911,T
047288827,3984,74,298800,1199,8654,2149,4830,515097,F
978497091,723,56,36873,1199,2633,1719,7325,514994,T
359596962,3804,90,304320,1199,2460,2149,4686,514868,F
019917112,4601,517,234651,1199,1140,859,6512,515130,T
742739780,3755,58,244075,1199,8077,859,4736,514988,F
567475459,4708,533,334268,1199,3209,429,7397,515110,T
493807782,3792,50,235104,1199,2753,2149,4269,514488,F
592901477,829,38,61346,1199,3908,2149,7267,514664,T
761290150,3431,40,247032,1199,1199,429,9350,514355,F
202898830,577,11,48468,1199,2318,429,4895,514951,T
577889879,3914,83,317034,1199,1712,1719,4572,514821,F
202304701,4621,545,97041,1199,3563,1289,8923,514417,T
837095225,3954,101,260964,1199,1051,1719,4721,514568,F
589468187,4816,526,144480,1199,4751,1289,6442,515214,T
383563402,3714,68,111420,1199,1018,1719,5232,514577,F
144663497,4788,556,177156,1199,3728,859,8610,514652,T
923811692,3812,66,335456,1199,1442,1289,7410,515077,F
281532388,4723,555,316441,1199,11820,1289,4802,515016,T
022272996,3438,3,333486,1199,3908,429,7296,515054,F
164758018,3571,1,335674,1199,1165,859,5170,515328,F
032202415,668,8,28056,1199,1159,859,6605,515234,T
143808470,2670,136,176220,1199,1184,859,9571,514957,T
864177307,3435,54,291975,1199,1455,429,7442,514603,F
323593648,4626,502,333072,1199,1205,1289,7250,514445,T
351846557,3920,52,301840,1199,2183,1289,4392,515181,F
102303083,4596,509,174648,1199,1173,859,8571,514693,T
756218030,3374,52,320530,1199,1320,429,4520,514672,F
161752756,3800,40,102600,1199,1801,2149,5031,514875,F
160622495,4748,533,223156,1199,1519,429,7283,514552,T
699462217,700,26,31500,1199,12426,1719,5129,515309,T
708668264,3825,62,302175,1199,15633,1289,5076,514658,F
628845322,675,49,41175,1199,1134,2149,9234,514782,T
614656720,3808,43,338912,1199,1417,859,7393,514845,F
202231267,2539,138,198042,1199,7023,859,9079,514676,T
789580535,3797,93,269587,1199,1353,859,6430,514831,F
966786690,2498,130,87430,1199,1509,1719,4477,514387,T
243023410,3818,89,255806,1199,7456,1289,6886,515035,F
594476771,4563,546,155142,1199,1187,1289,4459,515068,T
036590034,3849,59,207846,1199,6731,1719,4636,514926,F
880254355,3953,62,312287,1199,1129,1719,5212,515212,F
693331131,742,1,57876,1199,1788,429,6702,515042,T
011958969,851,50,28083,1199,1455,2149,8908,514559,T
350860523,3709,80,207704,1199,3010,1719,6581,515087,F
233817398,4561,509,145952,1199,1794,429,6662,514417,T
683158078,3794,54,83468,1199,1417,2149,4650,514779,F
220003290,4639,545,320091,1199,6213,2149,8763,514486,T
211200121,3358,49,194764,1199,1871,429,8887,515055,F
251197928,852,5,70716,1199,1509,2149,7295,514357,T
785629287,3883,90,205799,1199,3067,2149,4931,514670,F
559407139,632,13,30336,1199,4214,1289,6437,514626,T
421404945,3806,52,228360,1199,2036,1289,4590,515144,F
