userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
416150793,4569,5,91380,1184,8140,499,2824,575907,T
569966245,2546,65,122208,1497,13373,499,4050,575953,T
945270909,2742,1,95970,1595,8641,1497,4152,575812,T
968968214,4555,139,806235,1276,11701,1996,2978,576213,F
131409203,4647,139,144057,2576,6105,1996,3482,576272,F
745561698,4585,132,169645,1963,6934,2495,4505,576217,F
298439535,4581,27,1062792,1800,6311,499,3514,575351,T
171367346,2401,56,259308,5975,7021,998,4311,575847,T
891598972,3713,30,389865,1806,7489,1996,4712,575619,T
485331314,3693,23,579801,1215,15602,2495,4813,576167,T
486921988,2418,64,297414,1859,9684,499,2419,576181,T
599693467,2514,56,178494,3445,15602,499,2294,575346,T
473713390,4677,137,491085,2095,13699,1497,2759,576261,T
779036342,4697,126,112728,2576,7109,1996,3832,576277,F
469617114,4622,29,374382,5298,26746,1497,2439,576103,T
600824773,2421,72,123471,4223,7109,998,3391,575895,T
707497429,2462,43,327446,1242,6608,1996,3978,575505,T
058311067,4603,124,980439,3744,12765,998,3813,575445,T
606850136,4564,133,365120,3265,9854,998,4440,576184,T
883595301,4613,153,327523,3003,5790,1996,4468,576290,F
704878081,2560,53,353280,2713,9684,499,4833,575480,T
787949477,4646,30,836280,3173,8776,499,2180,575507,T
796215466,4533,35,344508,4603,6531,1497,4068,575600,T
426780569,4568,13,456800,5673,10030,499,3223,575511,T
650506351,3734,33,52276,3086,8024,1996,4551,575309,T
770008888,2492,63,129584,1478,56168,1996,2006,575404,T
862136889,2553,49,329337,5975,31204,2495,2505,575772,T
413582185,2435,53,248370,1200,6039,2495,4615,576310,T
254985337,4556,21,1107108,6240,15602,1497,4601,576258,T
068355148,4594,13,1024462,3069,6686,1996,3509,575872,T
114744397,4701,126,1020117,4354,7021,1497,4294,575808,T
232211388,2388,38,305664,1276,5912,1497,4277,575952,T
040300441,2512,46,185888,5453,14781,998,2988,575955,T
349634784,2453,49,73590,1917,8260,2495,3875,575826,T
714028162,2387,45,453530,1936,15602,998,2122,576203,T
445871674,2461,48,329774,2177,6686,1996,4627,575424,T
820574042,4610,122,179790,1309,33040,499,4607,575568,T
075714688,2435,44,413950,2780,7294,1497,4076,575966,T
663317320,2389,50,418075,3103,14781,1996,2473,576167,T
741974744,4511,5,207506,2880,15602,499,3944,576002,T
187839338,3668,12,880320,1794,8140,2495,2840,576243,T
191712045,2495,57,79840,1661,8383,998,3112,576034,T
590683188,2561,43,97318,1436,16520,1497,4456,575509,T
925528215,4654,147,628290,2956,51062,499,2951,576308,T
404336681,2567,68,359380,2485,20060,499,2087,575689,T
190147783,4641,42,213486,5673,13699,1497,2989,576294,T
302394482,4567,27,803792,6934,6240,1497,3757,575768,T
212229212,4598,121,565554,1530,26746,499,3475,576308,T
623780916,4740,125,270180,1253,6608,1497,3485,575545,T
982413318,4628,156,865436,1470,7801,1497,3321,575557,T
694019249,4701,126,568821,1482,24420,499,3745,575447,T
730269606,3747,40,906774,4040,5975,2495,4797,575762,T
201125370,4598,22,55176,4354,80240,998,4974,575464,T
925613156,4526,21,583854,7201,20060,1497,3258,575469,T
345671573,4740,147,104280,1800,8140,998,4760,576066,T
073840456,4505,13,1103725,5616,9059,1996,3340,575434,T
936645402,4549,133,837016,2507,33040,499,2895,576194,T
766995168,3769,38,282675,2360,10030,2495,4330,575880,T
270579155,2481,69,329973,6608,6849,2495,4746,575631,T
