userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
923656279,2441,99,61025,1153,2588,499,2208,575877,T
814145879,4788,153,378252,1153,1312,1996,2033,575522,F
826569136,2545,47,160335,1153,1943,998,2264,576178,T
775150813,2788,10,61336,1153,2971,1996,4254,576105,F
588084760,4505,23,405450,1153,5349,499,2078,575897,T
081032858,2811,9,179904,1153,2020,2495,3183,576100,F
669589136,2706,10,189420,1153,4970,998,3555,575415,T
225992069,4669,126,298816,1153,1691,2495,3128,576036,F
116723315,2853,15,162621,1153,2576,1497,3156,576189,T
062933680,2695,9,64680,1153,1811,1996,4871,576096,F
369195526,2882,24,66286,1153,5616,2495,2828,576253,F
149695810,2625,81,194250,1153,5249,499,2629,576212,T
859932956,4785,158,459360,1153,6531,2495,4966,575662,F
987458827,2827,20,163966,1153,3467,998,2483,575863,T
023576503,4814,140,115536,1153,2013,2495,3995,575751,F
503504410,4783,30,473517,1153,5506,499,4114,575568,T
176513801,4653,5,316404,1153,5298,499,4687,576058,T
345729238,4616,130,369280,1153,6686,2495,2003,575485,F
649021980,4762,133,242862,1153,2474,1996,2774,576113,F
190661558,4817,155,192680,1153,5561,1497,4322,576155,T
963684964,4740,184,455040,1153,1568,1996,2624,575730,F
553687990,2533,55,235569,1153,2185,998,4696,575490,T
466891809,4736,126,322048,1153,2228,1497,4543,575363,T
338030502,2614,14,245716,1153,1200,2495,3860,575976,F
524163632,4667,143,186680,1153,1811,998,4248,575980,T
281876131,4652,136,181428,1153,1414,1996,3460,575811,F
180497478,4574,137,333902,1153,5060,1497,4884,575584,T
243891578,4823,120,371371,1153,1806,1996,3473,575914,F
506776984,4795,130,369215,1153,1153,998,2944,575814,T
599233398,4775,172,372450,1153,8641,1996,3458,575498,F
188727344,4737,149,355275,1153,1595,499,4266,575392,T
166540621,4578,127,192276,1153,11701,1996,4651,575768,F
530665342,2653,36,167139,1153,112336,1497,2186,575638,T
503275336,4733,124,468567,1153,6172,2495,3323,576278,F
494491092,2614,67,120244,1153,1390,499,4980,575379,T
121491138,4568,141,105064,1153,5673,1996,4510,576128,F
738935724,4610,170,179790,1153,1884,1497,4692,575597,T
059140242,4555,169,346180,1153,2311,2495,1949,575414,F
322554411,2505,46,80160,1153,1501,2495,4889,576012,T
529490806,4827,141,482700,1153,1835,2495,3229,575479,F
717211281,4766,144,347918,1153,7294,998,4686,575456,T
628198041,4768,162,138272,1153,1177,2495,3395,575837,F
083782993,2557,80,181547,1153,9361,499,3258,575873,T
313605650,4786,179,234514,1153,1835,2495,4158,576204,F
260036780,4774,177,95480,1153,1582,499,3355,576203,T
081199078,4721,159,99141,1153,1936,2495,3870,575631,F
774208762,4737,155,407382,1153,1568,2495,2840,575896,F
383455550,4817,190,264935,1153,1184,1497,3277,575719,T
642912679,4691,146,431572,1153,7390,2495,1975,576128,F
050042603,4699,178,446405,1153,1300,998,4211,576231,T
206242512,2499,42,222411,1153,1547,1996,4229,575742,T
517120943,2644,13,155996,1153,1309,2495,3376,575936,F
377637555,4659,147,270222,1153,1137,1996,4656,575438,F
734016032,2426,42,242600,1153,1411,1497,4571,575397,T
478419306,4836,129,145080,1153,20803,499,2824,576220,T
250983434,4751,177,156783,1153,1250,2495,2748,576082,F
527205133,2794,5,89408,1153,1628,1497,3205,575957,T
105564385,2701,7,137751,1153,20060,2495,2524,575805,F
927643684,4716,120,235800,1153,1482,499,1961,575552,T
293814697,2724,21,125304,1153,3424,1996,4548,575342,F
229839481,2703,15,227052,1153,7021,998,4509,575740,T
680860147,4645,168,297280,1153,3246,2495,3647,575682,F
668311229,4574,176,306458,1153,2687,2495,4896,575399,F
663608412,4603,171,96663,1153,1288,998,3975,575521,T
989613785,4738,156,369564,1153,1835,1996,3613,576294,F
058767364,2676,24,85632,1153,1600,1497,3292,575674,T
248055909,2658,8,225930,1153,2452,2495,4517,575799,F
108902315,4775,164,343800,1153,1600,1497,3935,575834,T
875871296,2387,61,52514,1153,5249,2495,2973,576097,T
704725584,4639,177,357203,1153,1485,1996,2925,576087,F
380382121,2855,14,191285,1153,1878,998,3989,575428,T
637875970,4572,128,160020,1153,25531,2495,1951,575583,F
602141366,4795,142,282905,1153,4642,2495,3445,576178,F
728754934,2686,25,61778,1153,1823,998,4108,575790,T
452434926,4802,129,124852,1153,5106,499,4495,575900,T
268676106,2695,40,97020,1153,1573,1996,2291,575409,F
663090496,4640,169,278400,1153,2119,1497,4432,576192,T
419089669,4571,161,411390,1153,1823,1996,4230,575341,F
824278700,4693,153,300352,1153,1360,998,2149,575988,T
225525507,4752,175,313632,1153,4760,2495,3876,575737,F
987113379,2629,47,241868,1153,1226,499,2739,575339,T
583458396,2771,10,124695,1153,1273,2495,2266,576194,F
136659986,4838,134,246738,1153,3873,998,4843,576201,T
217395975,2608,22,148656,1153,2160,2495,3247,575333,F
617593374,2873,2,180999,1153,1707,998,4170,575912,T
265325495,4677,134,224496,1153,93613,2495,2451,576041,F
281067845,2406,57,76992,1153,1297,2495,4532,575660,T
770119115,2684,8,67100,1153,28084,2495,4633,575722,F
942598966,2653,16,167139,1153,5850,2495,3904,575976,F
889252491,4616,33,276960,1153,1373,499,3059,576035,T
702719619,4724,182,118100,1153,2168,998,2440,575669,T
921548885,4646,158,464600,1153,1130,2495,4639,575762,F
923654496,2832,20,209568,1153,1652,1497,3309,575481,T
255750424,4820,138,380780,1153,1141,2495,3202,575398,F
709673420,2399,52,112753,1153,1318,1497,2731,576022,T
938363785,2658,4,53160,1153,2400,1996,2475,575509,F
619786698,4617,138,193914,1153,1977,499,4266,575403,T
887846844,4618,183,447946,1153,8140,1996,3704,575814,F
890132755,4794,144,431460,1153,3304,998,3468,575598,T
685261066,4781,126,234269,1153,2794,1996,2014,575403,F
