userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
668081842,3918,37,952074,7390,5882,2156,4201,584431,T
195659458,3341,307,828568,1762,15580,1724,4558,584719,T
737719344,3322,313,441826,7117,6782,431,2567,584914,T
170827120,318,22,28302,1505,15170,1293,4518,584723,T
023658428,2913,88,419472,1835,32027,431,2821,584850,F
805634105,910,8,72800,3411,6945,1293,5812,585025,T
814752233,3244,340,168688,1171,6703,862,3193,584452,T
410610892,847,1,87241,2151,30341,1293,3343,584880,T
318175050,291,8,8730,6703,8119,1724,4405,584766,T
113648057,3749,36,802286,6005,64054,2156,5212,584406,T
819033888,261,1,23490,4177,16013,2156,5692,584389,T
209143727,857,1,99412,1883,16955,2156,5478,584370,T
310710567,2955,67,280725,8119,11086,862,5533,584997,T
905178945,2914,73,364250,4725,6703,862,5497,584683,T
449184600,2879,81,322448,4088,11303,431,3214,584733,T
264687148,1020,4,159120,1830,28824,1293,5518,585078,T
798993896,885,1,195585,1485,20588,2156,3182,584368,T
282338160,3220,319,788900,2422,9450,862,2739,584289,T
593734155,3903,18,917205,2260,19216,1724,6072,584852,T
460347257,947,1,208340,2868,30341,2156,4501,585107,T
104931591,1027,12,161239,2784,27451,1293,3964,584740,T
347154154,3205,330,144225,2562,8869,862,5189,585231,T
471850519,3314,330,792046,4059,22172,431,3534,584506,T
347369741,3296,334,266976,1841,7297,2156,5206,584708,T
315119551,3315,307,334815,3671,9150,1724,3341,584444,T
145535104,3162,316,480624,4031,8477,2156,6101,584642,T
434670183,834,1,120930,1337,10481,1293,6123,585225,T
519705771,879,16,178437,1402,8604,1293,3547,585247,T
349628514,288,20,29664,1513,6335,1724,3936,584349,T
203403674,3350,318,385250,1183,33911,431,3523,584643,T
225291486,300,9,31800,1720,16955,862,6131,584906,T
001960176,2960,57,541680,2825,17469,862,4315,584327,T
520906838,3351,341,559617,1226,7790,2156,5429,584719,T
155199748,332,24,77356,1310,10481,1724,4439,584328,T
395027791,2771,75,293726,2343,7486,431,4725,585021,T
145468435,3876,35,810084,2022,8119,2156,5898,584827,T
020417631,344,1,3784,1941,8235,1293,3578,585201,T
248582940,3290,345,467180,2333,6266,1293,3858,584420,T
712354120,346,1,61242,1513,7117,1293,5374,584739,T
769578125,192,4,37248,4764,115297,2156,6080,585208,T
443662999,2846,79,463898,1242,17469,431,2952,584526,F
376445439,334,30,67134,3202,7030,1293,4686,585230,T
542756140,3308,339,473044,1434,10113,431,3491,585079,T
239765348,3268,320,738568,2372,11765,431,5478,584646,T
794176209,2872,50,361872,2044,7030,431,4633,585221,F
444345068,3233,330,775920,5012,5943,1293,4261,584796,T
533797376,994,16,204764,3431,7297,1724,3370,584777,T
171200202,844,1,97060,1807,11529,2156,3346,584560,T
654272273,984,7,61008,3843,15580,2156,3952,585037,T
112631943,1001,1,109109,6626,9150,862,4673,584386,T
198898787,333,1,76923,1752,20588,1293,6040,584274,T
565766615,3735,31,855315,5490,7585,1724,5129,584541,T
455740542,3222,312,70884,1298,6335,862,4649,584441,T
822982821,237,13,46689,3695,16013,1724,5933,584476,T
805750443,2924,49,52632,1157,7790,431,4528,584792,F
221611613,2833,52,501441,1549,11303,431,5728,584287,F
547184829,3248,330,490448,2517,28824,1724,2710,584696,T
525485914,1024,1,134144,1720,8354,431,3008,585237,T
229788415,959,1,21098,5651,14412,431,5231,584654,T
683828860,965,13,165980,1835,12810,431,6057,584445,T
519025425,844,1,63300,1865,13725,2156,6094,584887,T
575031822,373,1,67513,2528,9450,1293,4598,585152,T
037715920,1017,1,42714,1399,10113,1724,2622,584522,T
537813304,900,20,106200,4611,18596,431,5476,584702,T
005698416,3342,325,387672,1485,22172,2156,3578,584422,T
796741433,866,1,197448,1871,7686,431,4564,584558,T
844582334,940,21,173900,1537,12010,862,5740,584552,T
556258692,996,24,115536,1521,36030,431,5837,585201,T
163724061,915,16,204960,5288,82355,2156,4815,584703,T
184391379,865,1,180785,1853,14060,2156,3168,585078,T
193421568,359,5,81493,1152,16471,2156,5843,584508,T
581358780,3224,329,83824,1319,24020,1293,6084,584485,T
745634276,877,1,206972,1463,64054,431,3495,584901,T
652191511,1001,16,130130,1231,41177,1724,4867,584647,T
317441845,339,27,14577,2926,6266,862,4088,584688,T
856382597,3356,318,711472,1757,8869,431,5650,584840,T
345197000,3837,12,940065,1533,27451,1293,5805,584912,T
682448972,1013,11,220834,2442,7585,2156,4728,584988,T
263253389,2951,72,109187,1356,8006,431,5839,585114,F
176684983,871,19,18291,1395,7686,1724,2973,584292,T
699260639,3160,311,729960,1325,7390,1293,4836,585216,T
257046309,955,1,35335,1830,27451,2156,5492,584299,T
384766203,298,10,33674,1346,6477,862,4137,584924,T
064163299,3276,339,330876,1647,7117,2156,4634,584946,T
184269513,2773,48,36049,1575,6405,862,2670,584906,F
113210321,354,12,78942,1642,8734,862,4828,584496,T
435932331,3179,325,416449,5056,14060,431,4289,584850,T
765058874,2871,52,680427,1337,5764,431,6035,585144,F
894530941,311,7,46650,4503,64054,1724,5413,584960,T
664576369,946,1,229878,2066,7585,1724,3375,585183,T
577157639,3287,308,578512,2706,15580,431,2825,584970,T
294453771,192,21,19776,4885,13406,1724,5351,584337,T
971200349,1010,1,140390,6862,10481,1724,4727,584462,T
155360805,886,1,211754,5543,6782,2156,5954,585176,T
520619178,1006,1,109654,4686,6551,1724,6131,584878,T
676778840,307,32,68768,1812,9150,2156,5149,584957,T
768020626,3256,307,299552,1773,22172,862,4071,584429,T
213233179,2907,76,34884,7030,21351,431,4360,585028,T
588614237,2959,50,284064,3603,6626,431,2700,584960,T
985406388,2858,67,334386,4885,5882,862,4139,585023,T
094775252,3249,320,506844,4764,7897,1293,3212,585219,T
705413360,3177,308,470196,1245,10481,862,3283,585211,T
194332735,2928,76,471408,1409,9007,431,5864,585167,F
161370891,910,2,220220,1847,7790,2156,5225,585018,T
475531094,3290,327,398090,2225,48040,1724,2684,584883,T
583661921,2786,78,487550,2143,6335,862,2690,584827,F
906530397,3918,12,967746,1695,8477,1293,5694,585012,T
260997628,2920,82,75920,5387,7585,431,2654,584814,T
910708946,259,11,17612,2324,7486,1724,4055,584878,T
976906647,3238,345,453320,3202,11529,2156,3898,584915,T
881132321,180,12,43200,1275,52408,862,5767,585211,T
350065281,321,23,57780,2784,23059,1293,6154,584298,T
975987431,3262,316,401226,1736,11529,1724,3360,584602,T
625031682,3281,311,616828,1579,11765,2156,3141,584706,T
308197541,3159,308,429624,1994,10481,1293,3202,584347,T
155449428,2840,62,553800,2941,64054,862,4862,585174,T
508660498,836,15,73568,1343,7585,1724,3352,584409,T
489404349,3325,320,728175,1169,6782,1724,5550,585237,T
550937786,2835,88,365715,2868,7897,431,3064,585011,T
426755861,887,23,169417,1316,15170,2156,3339,584433,T
193584963,990,1,115830,1389,14781,2156,2866,584821,T
729869846,1023,2,250635,2372,38432,1293,4467,585013,T
985143357,3192,319,402192,3536,13102,431,3387,585205,T
937336769,226,1,28702,1278,25064,2156,4523,584914,T
936367118,3168,330,338976,1773,10294,1293,5349,584690,T
021923779,3269,333,552461,1359,7030,431,6039,584365,T
239529327,2791,58,41865,3313,38432,431,3258,585077,T
945108360,3315,336,72930,1877,13406,2156,4540,585233,T
169372566,293,14,16408,2315,6862,1293,4218,585067,T
159013155,3302,314,105664,1537,6945,431,2647,584864,T
078353550,3195,319,693315,3869,6945,862,2979,585243,T
295190827,1012,1,237820,7686,6335,1724,3276,585190,T
853037173,877,5,57005,2343,12265,862,4848,584712,T
786498920,899,14,199578,4885,5823,431,3860,584996,T
989872144,968,12,172304,3431,7686,1724,5192,585091,T
564157527,3317,331,792763,2506,6405,862,4289,585227,T
319454412,3305,321,789895,4400,12265,1293,5968,584740,T
503432138,3319,306,630610,2412,6068,2156,5849,584723,T
392868824,215,9,38270,2668,7585,862,5928,584252,T
763283642,3273,317,219291,1871,20588,862,5173,584853,T
514027499,909,1,156348,6132,6862,2156,5505,584693,T
483804501,1014,6,18252,1478,8235,431,6102,584520,T
005953599,3338,312,824486,2656,10294,431,4860,585108,T
575795470,2916,58,285768,6862,14781,1724,2567,585239,T
721769448,971,1,170896,1741,41177,431,5927,585032,T
090726419,3178,333,54026,2127,9298,431,3082,584909,T
179946227,3234,343,97020,1497,18015,2156,4732,584555,T
805551829,3240,339,71280,1513,6335,431,2651,584540,T
161180710,943,1,210289,1470,38432,1293,6072,584510,T
279534663,3186,337,98766,2287,10481,431,3091,585250,T
384658488,3196,335,393108,1307,9771,2156,2715,584467,T
516741568,296,13,37296,1455,12810,1724,5416,584626,T
587853483,251,15,8785,8235,20588,1293,4574,584731,T
519702142,3212,340,668096,1570,13725,862,5289,585013,T
797990247,844,1,129132,4334,7790,1293,4525,584649,T
012523339,3327,339,93156,4885,5823,2156,3355,585092,T
222343212,3190,336,44660,1517,44345,1724,4646,584427,T
598362265,2872,66,715128,6945,6068,862,2994,584574,T
445911295,948,1,153576,2353,9771,431,4399,584403,T
796313557,1011,23,185013,1292,8477,431,5356,584944,T
068191742,229,1,18778,1853,38432,2156,6123,585134,T
681666196,220,31,36300,5337,13725,2156,4565,585023,T
172940336,838,14,144136,1258,28824,862,4634,584920,T
259065375,902,11,49610,2528,13102,2156,3859,584358,T
121676119,939,1,184983,1746,8006,1724,4077,584698,T
910822730,2852,70,231012,1529,9939,431,6165,584858,F
394110492,983,3,219209,2506,9007,862,4177,585247,T
521057730,3230,320,584630,1859,10877,1293,3476,585164,T
863415209,279,27,16182,1967,13725,862,5850,584271,T
433501221,3830,10,103410,5707,6335,2156,5580,584343,T
863590765,3297,315,329700,1830,82355,2156,4522,585207,T
146272450,839,13,125850,2001,16955,1724,4149,584379,T
820979733,969,1,58140,1298,7790,1293,5410,584427,T
019266371,864,4,66528,1366,5943,2156,4758,584399,T
811833350,988,1,16796,2088,7390,431,3081,584423,T
172265525,3242,331,317716,1242,7686,431,2616,584678,T
076064045,276,2,6072,4725,6005,862,5586,584807,T
670988540,841,7,194271,1493,9150,431,5553,584557,T
251207068,291,17,17751,1289,96081,1724,3844,585181,T
724766157,3319,341,680395,5193,14781,1293,2855,584489,T
409845902,1012,4,95128,3719,15580,862,5327,584610,T
300209550,2816,66,368896,5543,6335,862,2865,584499,T
742834295,295,28,37465,3743,19216,862,4463,584286,T
