userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
649387444,3225,345,177375,1356,1283,862,5148,584362,T
693243398,2814,88,208236,1356,10675,431,3000,585044,F
536478676,280,41,10080,1356,1720,431,5278,584952,T
693412236,2797,67,148241,1356,7486,431,5860,585082,F
099703782,192,32,16320,1356,1795,862,5434,584452,T
534954405,2904,73,98736,1356,16471,431,5853,585045,F
483355125,1073,1,100862,1356,1509,1293,3467,584376,T
021724493,2771,63,58191,1356,2103,431,3065,585157,F
549654460,1128,25,93624,1356,30341,431,3066,584723,T
250017763,2870,95,109060,1356,4804,431,2549,585026,F
658417009,433,42,10825,1356,3351,2156,4412,584514,T
493113192,2930,86,169940,1356,1434,431,2881,584750,F
017428163,1049,38,72381,1356,1807,2156,4137,584579,T
332432557,3061,65,287734,1356,2183,431,3465,584567,F
406708467,3396,332,152820,1356,1237,2156,5490,584383,T
744242623,2946,104,94272,1356,1316,431,3068,584358,F
263501076,391,1,32453,1356,2506,1724,5491,584508,T
475825219,2939,53,108743,1356,1444,431,3143,584433,F
176245608,199,61,19900,1356,1588,862,4527,584330,T
356340857,2950,68,162250,1356,2941,431,3840,584908,F
837862721,3341,352,116935,1356,1614,431,3001,584447,T
258734981,2789,94,217542,1356,2073,431,2749,584654,F
485253126,955,24,20055,1356,1313,1724,3867,585003,T
614579783,2972,94,213984,1356,1379,431,3035,584485,F
134464971,414,1,25668,1356,3817,1293,5984,584861,T
632261468,2842,66,179046,1356,2956,431,5908,584458,F
575352584,1105,31,29835,1356,1430,862,4829,585226,T
873672395,2924,86,137428,1356,8869,431,2547,584499,F
846993223,281,42,10116,1356,64054,1724,5170,584368,T
249006861,2969,53,258303,1356,1690,431,5517,584962,F
770560743,3363,356,198417,1356,1423,2156,4390,584565,T
082746768,2782,66,130754,1356,4885,431,4644,584829,F
415468341,400,52,12800,1356,1890,1724,5658,584452,T
529583229,2778,95,205572,1356,1372,431,2769,585202,F
702273161,1070,19,48150,1356,1382,862,5944,584981,T
942213922,2866,69,183424,1356,1331,431,5286,584796,F
086815684,3237,315,313989,1356,2044,1293,6017,584566,T
830082316,2905,81,119105,1356,1501,431,2702,584729,F
396849073,3291,374,315936,1356,33911,2156,4362,584610,T
268388316,2988,78,224100,1356,4367,431,3181,584646,F
118113894,221,59,8177,1356,2784,2156,3968,585144,T
531328901,2850,86,88350,1356,13102,431,2897,584970,F
929856045,459,4,42228,1356,3257,862,5795,584516,T
396194155,3066,68,85848,1356,7117,431,3429,584322,F
017134652,3442,339,158332,1356,4302,431,3043,584777,T
313352041,2980,51,217540,1356,2015,431,3234,585213,F
703127872,1067,51,52283,1356,1513,1293,2801,584662,T
763273032,2902,76,229258,1356,12532,431,3118,585204,F
207727293,3444,366,86100,1356,1186,1724,4706,585174,T
747382411,2843,60,181952,1356,1247,431,3043,585057,F
013223102,1035,33,42435,1356,1331,1293,5520,584774,T
187132551,2938,49,276172,1356,1541,431,5274,584309,F
957705771,3255,311,139965,1356,1757,862,5156,584769,T
065817778,2903,54,174180,1356,1430,431,2722,585195,F
860293373,208,1,14560,1356,4686,862,5875,584396,T
711125503,2770,61,88640,1356,3536,431,5458,584801,F
490532882,3279,314,85254,1356,2119,862,5184,584648,T
514925821,2920,79,210240,1356,1695,431,2963,584843,F
300729013,3331,314,266480,1356,48040,1724,4536,584493,T
695115784,2977,66,151827,1356,1610,431,3429,584381,F
801653102,2863,69,188958,1356,2175,862,2616,585147,F
425813055,198,60,4752,1356,1513,1293,3329,585182,T
640292726,3311,323,195349,1356,1174,1724,6156,585031,T
142001551,2881,81,187265,1356,1478,431,2710,584355,F
363199021,340,31,14620,1356,1295,2156,4487,584366,T
277355744,2848,77,148096,1356,3869,431,6029,584359,F
112309519,1038,1,42558,1356,82355,1293,4396,584393,T
922630559,2906,65,90086,1356,6335,431,5304,584298,F
933777310,405,1,39690,1356,1517,1293,5875,584789,T
453688192,2966,50,74150,1356,1466,431,6114,585150,F
692988558,3188,314,264604,1356,1196,1724,2558,584932,T
796939534,2860,97,234520,1356,2305,431,2693,585246,F
238583225,850,23,33150,1356,4649,431,4066,585076,T
974318046,2802,72,137298,1356,12265,431,2716,584698,F
991139365,3209,355,256720,1356,2208,431,2757,585187,T
496775312,2933,88,208243,1356,13406,431,3398,585067,F
797585998,1109,11,109791,1356,1385,1724,6036,584266,T
933553388,2904,68,182952,1356,1605,431,2985,584470,F
208415676,994,49,38766,1356,3603,431,5895,584764,T
740140572,2927,52,169766,1356,1736,431,4093,584923,F
515616771,189,38,6237,1356,1841,2156,4788,584854,T
732471806,2932,85,211104,1356,2217,431,2811,584876,F
267456204,3157,334,306229,1356,3185,1293,4632,584731,T
857723661,3017,81,123697,1356,3515,431,2796,585085,F
226478839,1079,48,104663,1356,2453,1293,2540,585003,T
480658728,2852,97,151156,1356,19216,431,2993,584709,F
930112979,3232,315,271488,1356,48040,431,6081,584586,T
188168734,2977,76,83356,1356,10877,431,3409,584990,F
236867197,1046,6,95186,1356,1853,1724,2771,584454,T
877394304,2976,63,157728,1356,1807,431,2563,584628,F
793695132,1095,13,58035,1356,3719,1293,3017,584585,T
275449823,2951,89,212472,1356,19216,431,2783,584532,F
956735670,3414,327,317502,1356,3313,1724,4388,584789,T
527514727,3063,112,300174,1356,14781,431,2561,584864,F
096704094,2944,69,105984,1356,2956,431,5905,585107,F
975044994,986,41,94656,1356,2758,862,4367,585068,T
318587388,1027,48,53404,1356,1206,431,5740,584863,T
835769199,2786,88,231238,1356,4885,431,2912,584701,F
092267572,1107,16,58671,1356,2758,862,5946,584967,T
764364219,2876,63,244460,1356,3034,431,5322,585080,F
