userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
853038201,3845,71,434485,457,5279,754,3764,151049,T
966179117,3890,55,120590,320,3016,1509,6286,150478,T
585131418,3776,39,94400,384,2737,1132,6354,151090,T
870883548,2062,23,496942,336,2274,377,7764,150924,T
237839549,2132,1,530868,978,8695,1132,4362,151256,T
000036978,3889,63,120559,339,2111,1132,8080,150411,T
302979957,772,170,97272,297,3605,1132,7627,150848,T
377224952,804,162,105324,608,5912,377,4358,150321,T
179851684,3939,71,346632,314,5474,754,7556,150839,T
601994464,3845,61,807450,570,5685,1509,6138,150841,T
722049664,3883,51,298991,522,1523,754,6614,151144,T
021999759,2003,20,470705,674,8695,1887,6396,151256,T
746147302,3829,76,673904,1012,1589,1132,5814,151168,T
027739206,852,175,29820,593,12317,754,7671,150497,T
730928820,3902,61,113158,577,2898,1509,4216,151041,T
804126417,773,171,157692,308,4619,1509,8371,150929,T
352624721,898,155,198458,349,2505,1887,7501,150368,T
396105164,3917,74,728562,1331,1539,754,7853,150967,T
940330909,871,149,69680,436,2206,1132,3855,150431,T
918128068,3838,46,706192,773,2274,1887,8321,150992,T
956503775,3907,61,390700,518,18476,377,4411,150742,T
199084119,3886,65,396372,430,3284,377,7575,150840,T
994168812,705,150,134655,404,2274,1887,8131,151175,T
880717197,3832,42,183936,349,1847,754,6162,150880,T
303974594,3898,77,697742,566,4619,1509,6366,151205,T
344752566,2033,1,304950,352,1997,377,6287,151074,T
496631795,2053,9,188876,354,3213,1509,3980,151119,T
210037743,755,152,161570,331,2788,754,8322,150651,T
478246700,3816,64,465552,432,3016,1509,4094,151012,T
142707589,3828,68,294756,1005,4619,754,4749,150948,T
876554240,2097,1,488601,570,5279,1887,7882,150698,T
953017179,2067,1,258375,551,5097,377,8401,150533,T
591076312,3843,73,676368,1040,3359,754,8128,151237,T
934679507,3782,50,219356,442,1606,1132,8199,151203,T
267088263,730,166,60590,1463,7390,754,4421,150939,T
575462405,3819,61,614859,518,16423,377,8511,150618,T
629486732,3896,70,658424,319,2239,754,8266,150950,T
666267848,3961,78,237660,346,1589,754,4720,150751,T
286880246,2060,1,436720,443,16423,1887,6360,151273,T
981396981,2121,1,332997,537,3145,377,4514,150540,T
989368807,2063,2,445608,379,3213,1509,3801,150349,T
533122582,3953,41,422971,1508,5685,754,6049,150578,T
059779211,3935,74,629600,396,5474,754,5909,150322,T
590716822,3914,61,211356,953,1824,377,5715,150475,T
478059061,3924,76,211896,777,3437,1887,5955,151054,T
143880659,3694,36,664920,1699,1589,1887,8330,151307,T
338445910,3803,58,794827,309,3889,754,4370,150958,T
133280386,2156,1,56056,492,1739,1132,8502,150563,T
536012875,3715,63,806155,697,9238,1509,6633,151283,F
437681535,786,161,154842,1111,21116,377,6607,150419,T
749942475,2125,30,378250,306,2737,754,4460,150624,T
431339965,3804,66,190200,2024,9238,1509,8496,150743,T
727027763,2385,98,252810,1119,29563,1132,6148,151079,T
390931296,3869,60,913084,671,5474,1887,7531,150671,T
074265867,2109,1,250971,603,1539,1509,4032,151177,T
323493709,746,155,47744,642,1572,754,4705,151017,T
744123292,3812,49,617544,403,2898,377,3999,150894,T
512303877,1982,22,107028,415,5097,754,5730,150635,T
289666885,3878,73,221046,621,2309,754,4759,150418,T
740495569,2105,13,431525,1094,6426,1132,4075,150647,T
359332838,3875,77,197625,935,1824,1509,8526,151218,T
475240944,3940,51,43340,1919,2639,1509,6303,150431,T
742438190,792,142,68904,429,2639,1509,3990,150456,T
320071263,732,148,146400,786,3359,754,4556,150341,T
591371891,2043,31,83763,295,1919,754,3979,151139,T
121624807,3846,66,938424,639,1919,1509,4736,150959,T
937820786,779,179,74005,428,2898,1132,7896,150631,T
