userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
253655892,3367,32,525252,188,6069,932,7097,80472,F
848755767,3814,27,926802,174,3155,2330,7526,81033,T
528867068,3814,22,560658,621,1095,2330,9671,80408,T
860009393,1109,135,108682,211,896,466,5389,80456,T
291738598,3664,26,692496,280,1066,2330,6999,80791,T
524803192,1075,125,264450,196,848,2330,4862,80477,T
426329505,3849,28,153960,236,1293,2330,9953,81152,T
197258951,3277,26,85202,730,848,932,4921,80880,T
738701598,1104,154,274896,291,1488,1398,7237,80968,T
005580082,1158,151,265182,226,1337,932,7302,81070,T
775056342,1122,138,42636,202,1488,466,5140,80466,T
238658098,3837,40,878673,230,1488,2330,9934,81119,T
703089521,3720,17,851880,299,830,932,9919,80553,T
509456417,3687,41,70053,805,3586,2330,7082,80409,T
018503574,1119,132,145470,373,805,1398,4665,80558,T
345751398,1169,155,286405,175,2545,1864,7365,80585,T
687344925,3197,5,364458,962,6574,1398,4843,80814,T
683492689,3755,33,199015,1038,1038,466,10110,80682,T
236961746,3232,29,494496,311,1488,1398,7354,81008,F
164343798,3851,39,535289,289,1213,466,9588,80507,T
150373888,1194,160,66864,182,939,932,9900,80397,T
812333593,3206,20,641200,450,7889,932,10247,80404,T
991911396,3771,50,795681,301,1610,1864,5024,80894,T
317569314,1166,147,150414,250,1038,1398,9424,80434,T
891699372,3209,21,587247,178,2390,932,5314,80982,F
670723211,3663,35,560439,330,1293,2330,4919,81024,T
479883612,3200,8,371200,652,896,466,5043,80984,T
902743670,1202,142,121402,237,1678,2330,4807,80187,T
087483124,1099,123,153860,157,876,466,9844,80765,T
569584636,3708,55,545076,180,1272,466,7677,80626,T
390350839,3379,7,544019,305,8766,1864,9681,80263,F
600921417,1129,145,41773,166,1177,932,5330,80555,T
057077628,3775,40,162325,230,7889,466,9590,80693,T
786802477,3683,24,692404,209,813,1864,10101,81049,T
524834511,3667,55,168682,547,876,1398,9839,80718,T
030284934,3724,42,361228,674,4641,2330,7705,80951,T
194273192,3676,36,768284,193,788,466,9433,80304,T
648114167,3759,37,654066,201,2817,466,9592,80211,T
789811198,3360,37,433440,214,5259,1398,4824,80295,F
637709886,3821,53,481446,302,11271,2330,10258,80942,T
993061764,3237,29,663585,375,3586,932,4708,80577,T
012213151,1212,159,208464,283,2629,1864,5283,80431,T
976377143,3309,24,827250,340,1715,932,7478,80645,T
060808518,1173,145,247503,331,857,932,10116,80365,T
039102693,1191,141,46449,191,1111,1398,9365,81060,T
555746334,1208,125,167912,196,848,466,4743,80838,T
789452385,1229,153,94633,284,4383,2330,5101,80866,T
761365829,3691,56,206696,260,1337,932,9806,80706,T
038480843,3852,45,770400,207,886,932,5181,80285,T
816125092,3834,20,521424,704,7172,2330,9449,80238,T
508134327,1120,127,187040,252,813,932,10113,80757,T
072384328,1193,134,116914,199,8766,932,9917,80535,T
021329518,3829,19,838551,225,1127,2330,5556,80864,T
822679192,3671,45,723187,410,805,2330,4945,80537,T
598441341,1142,154,162164,593,962,932,9729,80240,T
309834821,3774,54,143412,248,1252,1398,7968,80480,T
495773249,3233,21,805017,515,839,466,7553,80771,T
306380996,3826,43,91824,328,2254,2330,10118,80822,T
182678388,3791,36,909840,205,876,2330,10035,80351,T
159965242,1049,143,261201,242,2076,1864,4886,80227,T
599296986,3838,25,46056,309,3155,2330,7339,80941,T
853002181,1163,133,165146,291,821,932,9548,80775,T
310246195,1089,147,181863,490,4383,932,7877,80474,T
561203527,3265,12,417920,176,4931,1398,7059,80201,F
