userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
128451793,1262,167,102222,173,164,932,5086,80248,T
505306085,3470,2,294950,173,165,466,7131,80521,F
564490767,3759,74,327033,173,1577,932,7285,80438,T
878936217,3283,61,295470,173,318,932,5314,80422,F
288312062,1183,143,98189,173,302,1864,5481,80790,T
754629098,3301,39,237672,173,173,932,5432,81131,F
022816398,3880,74,174600,173,1488,1398,7876,80216,T
873260914,3422,14,304558,173,315,1398,4882,81020,F
890157928,3784,77,185416,173,559,2330,9434,81075,T
395017851,3249,26,305406,173,240,1398,4855,80516,F
591739371,3716,84,189516,173,1408,1864,4685,80827,T
959711365,3440,23,299280,173,435,1398,5458,80424,F
643428656,1322,150,116336,173,205,932,7934,81040,T
321472872,3413,12,126281,173,15779,466,5606,80530,F
291625964,1070,165,34240,173,962,1864,7908,80608,T
399052723,3281,39,206703,173,194,932,5361,80380,F
947507344,1079,157,70135,173,173,466,7052,80386,T
051248619,3300,16,277200,173,1293,1398,7692,80340,F
358860723,3683,45,305689,173,192,2330,7800,80167,T
288970077,3367,11,215488,173,1461,932,5314,80175,F
556703296,3703,84,285131,173,180,932,4958,80849,T
068805502,3207,7,269388,173,180,932,5522,80734,F
212597766,3387,9,257412,173,8766,1864,7754,80618,F
668557550,3762,58,240768,173,765,466,9595,80430,T
048287069,3800,20,361000,173,337,932,9510,80580,T
646523569,3473,9,267421,173,165,1398,5219,80793,F
860025757,1217,177,62067,173,381,1398,7411,80623,T
189412798,3296,13,72512,173,3430,1398,5508,80830,F
917803216,1058,163,31740,173,278,1398,9388,80195,T
961802687,3401,32,316293,173,247,1398,4810,80843,F
558666289,3935,39,121985,173,1577,2330,7913,80908,T
089396167,3379,5,327763,173,408,1398,4662,80167,F
161548577,3776,41,298304,173,178,2330,5197,81015,T
816512047,3395,5,268205,173,219,1398,5261,80665,F
158079196,3727,77,305614,173,717,2330,5122,81030,T
466806728,3396,62,275076,173,6069,466,5529,80283,F
413749069,1086,177,32580,173,166,466,7872,80887,T
909852407,3454,26,248688,173,240,1398,4795,80980,F
847374204,1221,126,69597,173,183,466,9713,80195,T
020573629,3386,27,284424,173,170,1398,7308,80874,F
509287206,1132,168,106408,173,239,466,7983,80276,T
104877456,3213,2,289170,173,205,1398,7288,80819,F
003996103,1197,188,59850,173,170,932,7340,80367,T
994514156,3194,29,313012,173,191,1398,5521,81010,F
903417945,3710,67,111300,173,252,466,9875,80961,T
803565960,3252,65,247152,173,3155,466,7097,80694,F
115287680,3710,55,133560,173,571,466,7328,80583,T
044316628,3389,39,257564,173,4383,466,7588,80514,F
004480048,3279,10,160671,173,168,932,5085,80514,F
076024776,3905,73,257730,173,216,466,9458,80885,T
242490064,1210,156,38720,173,179,1398,9826,80726,T
514129234,3225,19,261225,173,192,932,4760,80351,F
194630057,3704,20,207424,173,484,2330,7406,80331,T
731407979,3354,55,218010,173,641,1398,4865,80172,F
600703794,3761,49,285836,173,188,2330,4774,80995,T
757919372,3334,69,210042,173,11271,1864,9499,81007,F
533498791,3899,76,187152,173,448,1398,10160,80405,T
605058125,3369,41,87594,173,4383,1398,5426,81035,F
907889644,1275,179,66300,173,163,1864,6980,80167,T
530090313,3208,32,192480,173,225,932,5547,81009,F
589352464,3234,22,187572,173,293,932,5605,80230,F
481621065,1233,187,101106,173,410,932,10005,80684,T
759067110,1297,137,71335,173,205,1398,9311,80628,T
574561029,3390,12,318660,173,466,1398,6980,81145,F
739392868,3748,27,108692,173,205,1398,9835,80184,T
818565271,3474,4,298764,173,636,466,5643,80198,F
180966084,3855,63,150345,173,443,466,10053,80452,T
140773534,3192,5,178752,173,9862,1398,9319,80177,F
525928168,3948,74,138180,173,228,2330,7569,80827,T
800123272,3309,69,86034,173,9862,932,6989,80686,F
927880323,3763,28,361248,173,1314,932,7530,80713,T
872625209,3238,13,181328,173,9862,932,9369,80213,F
730407514,3802,43,121664,173,199,932,9550,80856,T
741768826,3368,18,242496,173,547,932,4952,80499,F
230330658,3775,64,313325,173,167,2330,9530,80980,T
686198537,3332,12,259896,173,555,1398,6995,80929,F
124344246,1310,149,43230,173,184,1398,4905,80296,T
923660284,3238,33,171614,173,616,932,5385,80431,F
913167644,3891,41,361863,173,443,1398,7488,80647,T
858870393,3265,32,114275,173,11271,932,9566,80605,F
350052765,1099,148,50554,173,773,1398,7294,80442,T
281789294,3282,7,252714,173,481,466,7338,80504,F
872463617,3919,59,391900,173,1272,1398,7207,80287,T
058511941,3280,26,173840,173,580,932,4616,80447,F
131405350,3839,70,322476,173,273,2330,7031,80837,T
635484014,3360,43,292320,173,7172,1398,7534,80652,F
715385271,3810,26,262890,173,264,932,4789,81020,T
266475288,3409,20,303401,173,319,1398,6942,80990,F
570365628,3685,17,265320,173,275,2330,9468,80324,T
058870051,3263,43,303459,173,160,1398,5631,80731,F
244208868,3863,53,231780,173,496,466,10258,81140,T
362821708,3253,35,162650,173,296,1398,5515,80986,F
761400445,3726,20,130410,173,3586,1864,6983,81069,T
802359035,3240,11,259200,173,646,932,7398,80196,F
885697430,3756,78,371844,173,723,2330,10002,80173,T
586597798,3305,16,214825,173,323,466,7055,80164,F
530514543,1289,127,103120,173,207,466,7769,81018,T
331900919,3237,21,236301,173,3944,1398,7583,80664,F
572729046,1179,152,48339,173,443,466,10071,80615,T
522032333,3364,40,211932,173,2720,932,7367,80573,F
