userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
406560583,4183,26,715293,1482,6980,2019,5415,432927,T
766018966,523,1,88387,2865,14219,504,10345,433248,T
633163018,819,56,105651,947,4173,1009,5163,433554,T
443618181,4636,103,1010648,2782,12797,2524,10209,433262,T
515036889,4189,27,976037,822,42658,2019,5502,432804,T
999187014,2286,24,502920,934,4625,504,10233,433679,T
264065903,2221,17,197669,3554,6855,2019,5262,433065,T
307745353,2336,29,114464,1939,4682,504,5380,433156,T
540215793,788,54,90620,876,5051,1009,10606,433514,T
856654411,4716,104,867744,918,3878,1514,5268,432823,F
857935050,4668,91,233400,2445,4625,2019,10661,433406,T
253163368,547,1,118699,789,7109,1514,7671,432840,T
711114646,4748,99,455808,878,9844,1514,5511,432991,F
842559037,797,55,167370,1836,7383,1009,5858,433332,T
648422919,2205,22,405720,4412,7678,2019,7814,433003,T
373351306,4200,33,743400,1238,3999,1514,5245,433560,T
521259393,4160,31,162240,2010,10103,2524,5211,432849,T
999639096,2349,27,291276,845,21329,504,7842,433486,T
459982932,2220,56,555000,4173,3917,1009,10869,433025,T
625876128,4172,32,417200,876,4859,2019,5685,433527,T
502057526,864,30,59616,796,12384,1514,10154,433737,T
885409061,608,1,13376,931,4516,504,8296,433590,T
350159016,4136,60,119944,870,4313,2524,5879,432798,T
693161672,2313,25,97146,825,5646,1009,7743,433402,T
534046261,797,56,80497,2559,15357,1009,8487,433299,T
584319854,419,1,69554,2064,11292,1514,5474,433131,T
397244032,603,1,15678,2097,4464,1009,7557,433475,T
987240056,890,55,93450,1761,9598,1009,5755,432904,T
270504310,4665,87,1072950,1125,4219,1009,5607,432838,T
657556833,860,45,54180,1493,7678,1514,10469,432904,T
263813159,868,62,132804,1166,3839,2019,5089,433592,T
921854982,4199,50,781014,2594,4799,2524,10247,433536,T
641671455,4174,37,905758,1007,34902,1514,5005,433117,T
190957637,4259,38,1056232,880,42658,2019,5477,432825,T
295619923,2313,49,481104,1007,5407,504,8458,433318,F
892422229,845,65,82810,809,10969,1009,10832,433770,T
767345433,4161,61,520125,1633,23995,2524,10261,433710,T
