userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
165843515,4157,43,228635,858,16692,1009,8048,433490,T
525866668,4788,150,244188,858,2156,2019,11070,432889,F
012200992,4187,68,397765,858,1163,2019,5708,433136,T
132652798,4819,107,477081,858,2976,1009,8254,433156,F
632799562,4688,97,135952,858,964,1009,10858,433407,F
809128320,990,59,96030,858,1170,1514,11090,433085,T
201087901,4376,60,245056,858,1297,2524,5974,433229,T
546062052,4692,110,347208,858,2953,2019,10801,433742,F
711248648,934,53,66314,858,936,1514,5336,433573,T
881668306,4662,102,349650,858,1989,1514,10924,433070,F
569751446,4627,109,291501,858,1242,1009,8541,432910,F
856895665,826,60,37996,858,772,2019,10742,433162,T
920627936,4127,38,169207,858,3047,504,8316,433247,T
445404432,4623,103,175674,858,772,1009,8506,433721,F
133400124,984,30,70848,858,818,1514,10265,432905,T
888927036,2287,34,77758,858,1319,504,10824,433370,F
067669931,4609,135,294976,858,1271,1009,7528,433757,F
619931845,4232,28,118496,858,2930,1514,8217,433131,T
249612517,900,89,47700,858,1084,2019,7629,433064,T
998763143,2440,42,214720,858,9141,1009,5355,433747,F
773463281,757,90,59046,858,1084,504,10334,433705,T
923880288,2411,65,94029,858,1146,504,10289,433077,F
229400624,523,22,17782,858,2594,504,5566,433240,T
873532416,4771,111,391222,858,6735,1009,10589,433574,F
137645603,2430,41,128790,858,3199,504,10206,432822,F
052534702,777,83,32634,858,3281,1514,10501,433751,T
777874981,938,60,35644,858,1794,1514,10799,433514,T
887474193,4670,121,163450,858,1493,2019,10836,433464,F
910278209,4246,66,420354,858,1292,1009,10862,433005,T
936623065,4765,102,347845,858,5119,1514,8019,433754,F
481760857,481,1,23569,858,767,504,5836,433194,T
837359825,4866,110,408744,858,775,504,10139,433048,F
478379361,436,20,39240,858,934,1009,10998,433257,T
603969445,4698,138,202014,858,2429,1514,5822,432974,F
227703064,4294,26,167466,858,868,2019,10101,433734,T
656610908,2281,67,116331,858,899,504,5864,433532,F
853471343,2317,63,143654,858,1132,504,5160,433618,F
613444445,4179,85,225666,858,6192,2524,10723,432830,T
119572021,4681,99,248093,858,7678,2019,10244,433470,F
591708591,911,41,78346,858,843,504,8124,433370,T
200433349,4284,24,295596,858,1482,1009,10862,432795,T
883333602,4864,120,432896,858,3801,1009,8171,433053,F
550249317,4396,50,325304,858,3490,2524,10210,433455,T
723081946,4644,98,404028,858,1706,2019,8148,432819,F
077326974,4326,56,367710,858,1721,504,5522,433188,T
477441795,2310,52,166320,858,8531,1009,10573,432833,F
985631923,4179,59,83580,858,1106,1009,6017,433171,T
898685204,4651,102,432543,858,1721,504,8242,433298,F
877781078,4119,48,383067,858,1465,1009,5144,433722,T
520262368,2271,44,197577,858,843,504,8283,433450,F
807045822,4240,68,106000,858,1258,2019,8257,432825,T
491816517,2200,66,48400,858,2576,504,5759,433488,F
531693875,1003,65,88264,858,1230,504,10609,433408,T
300088835,4760,142,209440,858,6094,2019,7579,433602,F
718247930,4148,85,381616,858,2953,504,8357,433635,T
686672537,4642,150,185680,858,1301,2019,10731,433177,F
027233378,4389,78,294063,858,862,2019,7896,432771,T
487656480,4715,120,216890,858,1929,2019,10458,433604,F
784476122,4246,61,127380,858,8928,2524,8321,432786,T
426307538,2247,44,197736,858,1081,504,10759,433042,F
182680113,807,87,65367,858,8531,1514,4999,433444,T
637439094,4613,136,359814,858,8531,2019,5963,433676,F
371135062,878,94,39510,858,1443,1514,8307,432913,T
793691145,4597,110,285014,858,1177,1514,6036,432847,F
932410979,4354,32,113204,858,832,1009,7986,433583,T
192811490,2329,31,230571,858,1314,504,7523,433628,F
844641207,771,73,67848,858,5817,504,6014,433699,T
909741266,4676,104,322644,858,1029,504,8452,433002,F
705170445,4382,42,197190,858,1254,1514,5269,432852,T
179393435,2174,73,73916,858,4922,504,10286,433282,F
950250110,503,16,14587,858,1371,1009,10377,433037,T
934787838,4592,115,289296,858,15357,1514,7935,432890,F
271366775,858,92,25740,858,9598,504,7997,432900,T
032682150,4706,136,442364,858,6192,2019,11059,433094,F
098255310,1019,67,25475,858,1242,504,8342,433193,T
875642038,4630,146,416700,858,3999,504,5391,433130,F
479747505,4878,151,434142,858,5332,1514,11012,432986,F
665347521,4218,63,185592,858,855,1009,5935,433185,T
060678903,879,75,29007,858,1060,1009,8434,433097,T
942779189,4735,104,284100,858,5119,1514,10868,433659,F
957612367,966,73,19320,858,10969,2019,5603,432831,T
411296536,4740,109,213300,858,1250,1009,7745,433224,F
445491542,2289,85,189987,858,1166,504,8565,432978,F
549323073,855,84,84645,858,2576,1009,8162,433411,T
120378454,4389,29,158004,858,38392,2524,5031,432910,T
847544092,2295,61,197370,858,1119,504,10768,433422,F
348392803,4139,88,413900,858,2097,504,10518,433167,T
317913613,2328,83,232800,858,1188,504,10591,433297,F
635282301,902,60,18942,858,3226,1514,10594,433435,T
239200878,4850,151,266750,858,1999,1009,11090,433038,F
648455165,2179,74,211363,858,6507,504,5339,433367,F
808497553,611,33,48880,858,1230,504,10680,433023,T
410068393,670,6,57620,858,2206,1009,5666,432885,T
713760221,4819,116,120475,858,1560,2019,7986,433454,F
640892355,4296,72,176136,858,1051,1514,5098,433734,T
417547025,4777,104,358275,858,3621,504,10903,432886,F
737029758,748,93,62832,858,845,2019,5640,433685,T
117194938,4742,100,123292,858,858,2019,10839,432863,F
472421188,772,90,47864,858,860,2524,10574,433751,T
933808371,2192,80,144672,858,1060,504,5463,433705,F
