userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
245049168,4472,78,1091168,1756,2415,1726,2737,245920,T
770876159,4476,84,62664,1012,5152,1726,4492,245573,T
513044307,4636,67,853024,1288,2972,1294,4387,245843,T
567161319,2319,28,183201,1644,3680,1294,3356,245771,T
296331514,4628,47,647920,868,4932,1294,3347,245426,T
922054934,2374,1,346604,2051,5654,2157,3420,245745,F
777447780,4551,77,819180,588,2365,1294,2781,246077,T
417992982,2300,1,478400,530,3220,863,3861,246111,T
602870342,2228,29,454512,772,3800,1726,4471,246205,F
414703135,4591,84,105593,548,13638,1726,6087,245448,T
346016341,4620,66,1021020,640,16560,2157,5481,246104,T
052965143,4646,63,204424,530,2793,2157,2701,245285,T
424456021,4618,50,272462,2727,7245,431,4333,245392,T
079633297,2239,1,85082,1587,2827,1726,4470,245836,F
557341390,4562,70,223538,519,8917,1294,6133,246201,T
332276899,2415,27,507150,2827,5796,1294,3077,245505,T
375811441,2274,10,447978,554,10538,2157,5974,245557,F
295650148,2268,32,408240,2088,19320,1726,4208,246260,F
614895888,2399,25,110354,1130,3312,1294,5998,245625,T
027566101,2413,20,332994,3010,2440,2157,4862,246283,F
168480349,2292,1,158148,602,4293,2157,2961,245631,F
564722927,2282,8,431298,807,10080,1294,4577,245794,T
656542388,4582,73,114550,778,3312,1726,5587,245546,T
109584623,2387,10,417725,480,4293,2157,4084,246037,F
566918917,4453,58,115778,573,38641,2157,4289,245481,T
371878134,2326,3,188406,830,6624,863,5151,245677,T
468502644,2248,30,467584,1756,6624,2157,3088,245721,F
944101334,2284,1,511616,536,4140,431,2801,245394,T
091370906,4546,60,268214,544,9660,1294,4477,245305,T
841156072,4596,47,358488,729,2492,2157,3866,246214,T
756740261,2335,24,546390,816,5796,1726,3500,245346,F
312713702,2287,16,299597,690,2760,2157,3539,246147,F
663587645,4595,60,900620,1049,33120,863,3142,245995,T
064548529,4533,69,1069788,1525,3460,431,3531,245942,T
676531178,2359,3,455287,704,5944,1294,3122,246091,T
568431620,4548,86,950532,1260,9660,1294,5638,245314,T
532975846,2259,22,29367,1012,12202,2157,4603,245324,F
430804850,2397,17,443445,1266,2318,2157,4419,245359,F
