userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
383350380,2330,44,181740,569,474,431,5776,246005,T
881952476,2389,1,71670,569,1058,1726,2662,245444,F
753561769,2370,51,132720,569,480,1294,4803,246135,T
694278595,2400,25,105600,569,1486,2157,6130,245739,F
355825014,4571,75,255976,569,4140,2157,4397,246292,T
408023621,2463,14,100983,569,465,2157,5144,245575,F
981728631,2443,1,175896,569,5391,863,5953,246251,T
027572107,2449,30,222859,569,654,2157,5590,245772,F
921889409,4537,109,117962,569,4636,2157,4215,245996,T
947711502,2286,43,52578,569,3460,1726,5544,246234,F
499699280,4634,109,370720,569,9660,431,2673,245579,T
808334977,2502,22,80064,569,642,1726,2664,245608,F
297062890,4562,100,214414,569,481,863,3964,245922,T
387645261,2277,1,100188,569,16560,1726,4285,245766,F
495751929,2452,1,105436,569,7728,2157,2686,245658,F
872804894,4734,98,255636,569,2862,1726,4097,245583,T
125801259,2434,2,90058,569,923,863,5647,245402,T
009532630,2290,45,121370,569,594,2157,3370,245630,F
250448161,2458,24,51618,569,785,1726,5348,245530,F
100936703,4558,82,278038,569,494,2157,5489,246073,T
863631853,4606,93,267148,569,536,863,3461,245882,T
773267858,2324,16,62748,569,2827,1726,2973,246147,F
838187427,2489,4,219032,569,833,1726,4230,245913,F
874831995,2317,14,194628,569,2365,1294,5349,245873,T
935327796,2395,1,162860,569,6624,2157,2753,245766,F
830487885,4618,103,272462,569,494,863,3969,246082,T
688498841,2248,62,200072,569,526,1726,5132,245930,F
001277801,4688,110,431296,569,566,1726,4619,246278,T
775676974,2307,34,124578,569,662,431,5650,245452,T
019361597,2228,15,182696,569,535,2157,5391,245919,F
030034855,4495,74,449500,569,1104,863,3395,246053,T
694549726,2510,12,65260,569,1104,1726,6056,246080,F
262319239,2226,25,84588,569,589,2157,3066,245543,F
184901398,4482,86,295812,569,1371,1294,3363,245315,T
799100156,4651,68,348825,569,506,1294,3550,246277,T
002096192,2268,24,122472,569,583,1726,2598,245288,F
481760037,4633,64,393805,569,846,431,3487,245423,T
458914014,2257,50,176046,569,1431,2157,3240,246050,F
409173481,2515,1,178565,569,2576,1294,4273,245879,T
942924473,2394,57,189126,569,1246,1726,5697,245826,F
916314829,2277,28,70587,569,888,431,5350,245699,T
419640462,2353,55,141180,569,592,2157,4171,245711,F
901732239,4606,84,405328,569,683,863,2996,246034,T
098282488,2498,34,74940,569,1704,1726,2724,245637,F
380913331,4608,70,161280,569,530,2157,4381,245835,T
917300422,2424,25,82416,569,2466,2157,5757,245483,F
280664451,2258,39,72256,569,1884,1294,2691,245772,T
700389346,2279,6,52417,569,662,2157,3063,245315,F
749984311,4468,98,406588,569,2466,2157,4620,245961,T
209877981,2385,20,238500,569,504,2157,5685,245481,F
547583441,2483,48,141531,569,3050,863,3269,245501,T
664744274,2391,9,119550,569,468,2157,4665,246083,F
165792368,2289,48,217455,569,5391,2157,4382,245815,F
797762554,4698,93,248994,569,912,1294,3923,245636,T
710888228,4500,59,405000,569,1233,431,3192,245533,T
987661240,2468,38,224588,569,1035,1726,4502,245354,F
509745763,4718,115,240618,569,2605,863,4256,245805,T
083967577,2330,61,207370,569,549,2157,5731,245813,F
650102274,2376,30,111672,569,2634,431,5712,245574,T
987502143,2453,39,137368,569,1003,1726,3428,245523,F
620353904,4743,69,128061,569,1176,1294,5783,246064,T
522116173,2467,3,96213,569,666,1726,4847,245588,F
195098180,2517,25,206394,569,8917,431,4867,245835,T
267549645,2437,15,165716,569,506,2157,5698,245498,F
534736005,2225,28,129050,569,4830,2157,2895,245757,F
385251837,4733,83,473300,569,828,1726,4340,245300,T
308760668,2402,18,52844,569,5520,1726,4261,245703,F
502274035,2332,48,121264,569,793,1294,4022,245960,T
075696342,4487,47,385882,569,950,431,6163,246222,T
191286752,2461,49,214107,569,496,2157,4234,246100,F
111263962,4654,67,111696,569,555,431,2582,245454,T
228784299,2331,14,139860,569,514,2157,5506,246083,F
724145678,4720,111,269040,569,3800,1294,5653,245496,T
639894233,2342,58,189702,569,522,1726,6130,246103,F
915192229,2325,41,69750,569,731,431,5917,245409,T
392496761,2253,35,54072,569,1068,2157,5600,245461,F
785369562,4649,73,423059,569,552,863,5850,245728,T
572328551,2318,33,148352,569,4932,1726,5676,245868,F
937767796,4725,106,292950,569,1302,1726,6088,245315,T
726502769,2274,1,84138,569,1505,2157,4415,246027,F
011100766,4540,49,249700,569,501,1726,4377,245689,T
449825921,2488,20,102008,569,532,2157,3536,245974,F
661939308,4448,69,404768,569,4140,2157,4010,245966,T
226832623,2318,44,178486,569,2390,2157,5294,246082,F
690043389,4737,61,421593,569,487,1726,3544,245864,T
680206820,2472,1,153264,569,1008,2157,3134,245876,F
606878089,2355,35,56520,569,25760,1726,5893,246003,F
474693091,4639,102,194838,569,1213,1726,3011,245537,T
662742759,2345,11,199325,569,791,431,4711,245562,T
645904313,2520,11,115920,569,982,2157,5231,246057,F
807804900,4625,73,296000,569,537,2157,3969,246022,T
953648562,2445,19,168705,569,14490,2157,2739,245361,F
973156367,4738,92,289018,569,8917,431,4067,246058,T
999918258,2507,14,167969,569,738,1726,4596,246081,F
763202506,4576,114,453024,569,736,863,4154,246061,T
128418414,2517,42,93129,569,1035,2157,5698,245698,F
789049986,2470,53,207480,569,685,1294,5631,245983,T
589795870,2315,12,122695,569,3739,1726,4150,245879,F
448390868,2393,24,167510,569,1692,431,4034,246022,T
289553267,2328,10,183912,569,553,1726,5405,245737,F
