userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
223718943,2560,31,404480,1751,5471,1120,6575,462111,F
171466702,172,1,31992,1052,5831,1120,5963,461634,T
434536968,26,1,2912,3957,21105,746,4632,462301,T
363179159,930,43,28830,1050,5989,746,7566,462318,T
536124446,899,54,51243,995,5756,373,4276,461954,T
052846683,8,1,656,895,20146,1866,4616,462362,T
203281292,11,1,1309,1280,7641,373,7855,461567,T
520941886,2453,23,174163,1284,5339,373,3864,461586,F
279923420,974,61,120776,1330,5094,746,5871,462065,T
839495140,2565,332,184680,978,5036,1866,3797,462146,T
397727541,2595,327,319185,1477,7265,746,8406,461503,T
822012945,2555,321,628530,957,5682,1493,7987,462371,T
477108257,897,43,81627,1040,5471,373,7573,462245,T
365575050,1056,38,121440,1011,7386,1866,4391,461533,T
307207315,981,47,101043,943,27701,1120,6311,461670,T
299740375,2559,16,637191,4388,8864,746,3717,461767,T
594492280,25,4,1550,1075,11080,1866,5684,461495,T
707808082,82,1,3690,915,27701,1866,6290,462366,T
888877295,2575,350,244625,1738,13850,373,5609,462220,T
060210838,153,3,20196,1070,4715,373,7484,461740,T
750036278,2485,27,551670,895,13035,746,4151,462148,F
985639028,3984,28,310752,1678,4616,1493,7590,462440,T
582733128,168,11,34776,893,5756,746,5841,461592,T
267567805,2753,337,567118,1862,23327,1493,8255,461912,T
940260655,2709,341,582435,1870,7775,1493,8379,462355,T
162821256,66,1,12870,2462,15283,1120,3922,462255,T
565268477,157,1,9263,1894,4870,1120,3715,462121,T
221382636,2509,34,426530,1178,17728,373,4187,461774,F
850678186,2647,326,426167,1629,6818,1493,4271,461857,T
881736205,6,1,936,3165,4432,1120,4119,462455,T
698454368,124,14,6944,3887,5831,1866,5626,462128,T
327887378,3930,33,86460,1367,6423,1120,7741,462226,T
194452573,974,24,84738,1231,8864,1866,4189,461761,T
020723893,27,4,4536,3462,6242,1493,5899,462105,T
315281597,913,33,114125,2071,88643,373,7763,461889,T
360873443,2444,26,303056,2014,5682,1120,5643,461952,T
260250979,75,6,4500,1605,15283,1493,7508,462264,T
416933707,2567,343,38505,2669,73869,1120,5631,462107,T
697211971,924,52,221760,917,7914,1493,6389,461665,T
808500720,2628,329,36792,2805,4870,746,6591,461775,T
142917730,116,1,1972,2071,4569,746,6494,461568,T
971993531,990,57,35640,2547,4616,1493,7789,461511,T
783470867,3863,41,861449,2172,6818,1866,3830,462393,T
505905902,2582,322,552548,2071,6423,373,5549,462258,T
