userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
542843676,4111,21,102775,1238,15283,1866,4049,462297,T
019065626,2676,20,224784,1238,2719,746,5953,462031,F
317628192,2824,347,220272,1238,5610,373,6320,462310,T
104095235,2623,20,110166,1238,1127,373,4331,462401,F
391943739,2603,373,182210,1238,1002,1493,5954,462021,T
830830894,2559,30,204720,1238,22160,746,8273,462031,F
898416615,3846,53,92304,1238,6071,1493,4037,462194,T
363633811,2535,1,197730,1238,2051,746,7693,462163,F
433391510,961,56,88412,1238,1389,373,5620,461686,T
203584329,2472,14,165624,1238,2547,373,8003,462315,F
690505108,4031,66,128992,1238,7035,1120,7794,462428,T
748550257,2461,26,211646,1238,1166,373,5755,461872,F
622417131,2791,364,122804,1238,886,1493,7579,461961,T
578628256,2491,4,92167,1238,36934,746,3743,461866,F
569758909,1120,48,54880,1238,1220,373,3741,461787,T
127388460,2473,44,79136,1238,31658,373,4482,461809,F
139198155,196,11,16660,1238,21105,1493,7863,461583,T
581392668,2630,4,226180,1238,1886,373,4710,462441,F
067180344,2685,381,56385,1238,1678,1866,7959,461665,T
066746089,2629,6,155111,1238,1142,373,3906,461612,F
265158925,2566,350,177054,1238,3517,1120,5662,461949,T
182765126,2630,33,123610,1238,1355,373,5808,462428,F
829573194,2568,311,154080,1238,1672,1866,4649,462059,T
375998477,2593,4,121871,1238,1130,373,4569,462485,F
747496133,979,41,44055,1238,6715,373,4494,461869,T
353864587,2389,16,231733,1238,1894,1493,4555,462184,F
708868469,920,67,85560,1238,4181,1120,5707,462498,T
786749858,2455,15,196400,1238,1611,373,8278,462126,F
466909128,2782,369,102934,1238,3992,1866,6210,462463,T
745705025,2415,1,231840,1238,2382,373,5730,461892,F
835255167,1052,68,62068,1238,2669,373,5894,461553,T
817240681,2436,1,107184,1238,3383,373,6035,462182,F
999023828,2785,371,206090,1238,1517,1120,4503,462315,T
462515350,2511,16,128061,1238,3574,373,5888,462192,F
686528179,1162,59,24402,1238,2622,1120,3873,462004,T
902015369,2640,22,108240,1238,1002,373,4541,462224,F
188595683,936,30,60840,1238,1588,1120,5750,461814,T
039386547,2455,8,54010,1238,1025,373,5551,462168,F
610912546,16,21,1184,1238,1523,1493,6365,462337,T
635993665,2638,51,242696,1238,1073,373,3970,461892,F
452103200,4017,28,337428,1238,1133,1120,6392,462396,T
067330356,2420,15,157300,1238,9635,373,6554,461754,F
198814340,194,15,7178,1238,1666,746,6311,462240,T
409237771,2464,20,177408,1238,10552,746,6373,462460,F
310441153,45,16,1890,1238,893,746,3863,461940,T
923302309,2505,6,202905,1238,24623,746,3965,462041,F
994536938,2592,330,127008,1238,2227,1866,5705,462336,T
183567395,2617,37,122999,1238,2162,373,4157,462233,F
149675802,2835,340,255150,1238,1765,746,4476,461855,T
694913080,2398,2,57552,1238,1653,373,6145,461605,F
554324994,1012,85,66792,1238,1372,1493,6172,461553,T
775432398,2457,1,73710,1238,2476,373,6295,462431,F
578129689,3833,32,176318,1238,1393,1866,6154,462244,T
519526877,2679,52,72333,1238,931,373,4079,461509,F
157557341,4056,51,259584,1238,8690,1866,7872,461499,T
389185041,2683,9,118052,1238,3545,373,7414,461981,F
656100672,2814,325,213864,1238,978,1866,3991,461903,T
203465300,2487,13,228804,1238,1248,1120,4579,462395,F
314686358,1023,67,49104,1238,1081,373,8192,462474,T
181748002,2457,19,162162,1238,7265,373,6104,461796,F
985745390,2847,372,173667,1238,1347,373,5952,461933,T
625724683,2434,58,209324,1238,1007,373,4465,462331,F
697791275,1113,25,110187,1238,1359,1493,5958,461506,T
134018526,2388,63,171936,1238,1220,373,4395,462254,F
728974402,2845,349,102420,1238,1385,373,6272,462105,T
690388818,2394,29,213066,1238,1420,373,3832,461672,F
089903559,2790,318,125550,1238,915,373,7537,462127,T
907782817,2492,12,249200,1238,2787,373,4688,461653,F
049611390,2727,338,89991,1238,923,746,7467,462034,T
938516741,2478,1,59472,1238,2421,373,6435,462416,F
834409480,4065,27,146340,1238,993,1493,8361,462436,T
733259371,2629,17,63096,1238,1007,373,4073,461800,F
202867104,1007,78,74518,1238,26071,746,4121,461876,T
841311795,2398,2,105512,1238,21105,746,8098,461750,F
723749067,80,3,4480,1238,1886,1493,6026,461847,T
792802135,2518,31,156116,1238,1002,373,5971,462048,F
565818528,2587,19,162981,1238,1653,373,7424,461527,F
715922826,2796,370,212496,1238,3188,373,5899,461517,T
694606806,4058,80,170436,1238,2227,1120,7942,462070,T
440232350,2471,29,195209,1238,2805,373,6400,462335,F
541518208,939,83,64791,1238,2071,373,5798,462178,T
089113530,2674,10,264726,1238,5405,373,4333,462102,F
504057400,77,19,5159,1238,1343,1493,6477,461821,T
354518215,2475,39,121275,1238,8058,373,4180,462151,F
754903504,4008,70,160320,1238,1517,1493,4439,461629,T
271471204,2492,25,249200,1238,1040,373,8458,462452,F
414553770,2498,62,92426,1238,8523,373,3907,462468,F
010278116,1162,79,112714,1238,1978,1120,8329,461966,T
573204932,124,1,4464,1238,20146,746,3873,462491,T
176631318,2417,23,58008,1238,1420,373,4391,461850,F
031903374,2641,377,171665,1238,1262,746,4589,461887,T
329135944,2491,1,229172,1238,1910,1120,4725,462310,F
525322142,2743,347,194753,1238,1617,1866,7523,462322,T
688317857,2671,1,93485,1238,5339,373,6493,461757,F
258317794,2582,374,162666,1238,1060,1866,6028,461539,T
838579504,2529,37,63225,1238,2591,373,5938,462459,F
044773469,13,10,1079,1238,3211,1120,3716,462142,T
189818390,2611,60,120106,1238,6331,373,4723,462210,F
626320536,31,21,2015,1238,2823,373,7760,462174,T
471066013,2497,59,247203,1238,1191,373,7793,461653,F
