userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
555936859,237,15,10665,1693,7259,2169,2202,310355,T
580046727,245,45,50715,631,3718,867,1439,310323,T
407297007,370,23,83620,871,3718,1301,1699,309628,T
473048030,646,1,61370,688,12195,433,2083,309793,T
821277418,239,21,5258,1361,3143,2169,2179,310453,T
725827260,201,41,15276,652,13858,1735,1745,310140,T
956682927,519,1,39444,2823,3629,433,1922,309899,T
214287340,502,1,89356,662,5167,433,2350,309711,T
218167638,547,1,79315,2005,3545,433,1525,309622,T
092175763,2897,102,451932,631,6929,867,2675,310102,T
226814695,494,4,106210,620,23452,867,1133,310134,F
427332840,481,1,116883,719,10513,1301,1311,309762,F
360470917,260,22,53300,677,4120,867,1609,310569,T
574971043,2885,85,66355,1112,3464,1301,1311,310467,T
402806052,325,35,66950,1480,7622,1301,1756,310195,T
937028388,595,1,68425,3425,7436,433,2248,310539,T
587714538,2755,87,104690,2458,4839,433,1752,309941,T
471660347,362,20,28236,2074,12195,867,2212,310464,T
295739241,2811,118,514413,1297,4065,1301,1311,309918,T
915324365,4567,37,995606,3718,19055,2169,2317,310147,T
378495999,4691,22,952273,1472,6627,433,1979,309910,T
176691451,607,1,104404,1297,3629,867,1703,310189,F
151928865,568,19,102808,1385,3209,1301,1311,310486,F
343508055,4610,6,1037250,1438,14518,867,1746,310069,T
588082800,458,1,109004,664,60976,867,877,309751,F
610334463,348,22,57072,1297,4483,1735,1745,310251,T
046178959,220,42,38500,1077,21777,1301,2662,310536,T
105644972,469,12,32830,810,17934,1301,1311,310272,F
330351869,2795,98,648440,964,4550,433,2244,309677,T
735508117,619,1,21665,1917,60976,433,1600,309749,T
476943988,2799,115,235116,2258,10888,867,1709,309749,T
056214460,2812,114,686128,1847,3079,867,1036,310074,T
013982397,2800,114,655200,2209,3143,1301,1708,310580,T
431145388,306,32,59058,1501,5978,867,1536,310251,T
163003674,2727,96,245430,754,3243,2169,2179,310608,T
134708194,240,44,39840,2177,12195,1301,1490,309933,T
389167479,4634,6,871192,2439,6097,867,1663,310046,T
