userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
474173816,387,43,26316,715,14518,867,2186,309818,T
216859137,570,1,48450,715,1693,867,1027,309893,F
802302993,2941,83,188224,715,4176,1301,2119,310458,T
639420058,491,6,19640,715,1693,1301,878,309777,F
131898001,3000,105,93000,715,912,433,1399,309993,T
458931642,577,1,15002,715,2309,867,1341,310407,F
865728431,386,50,12738,715,1703,867,2093,310478,T
957862801,603,1,27135,715,1116,2169,1548,310591,F
975780634,430,51,38270,715,4355,433,2245,309698,T
774359575,564,20,47940,715,25407,867,1009,310415,F
180421590,660,25,13860,715,5752,433,867,310168,T
108069449,667,9,50692,715,50814,1301,1503,309736,F
439475800,272,35,24208,715,2209,1735,1958,309756,T
543889217,684,8,24624,715,3811,2169,1377,310455,F
982098553,715,1,49335,715,5444,1735,1585,310392,F
760165747,402,56,34974,715,946,867,1721,310472,T
205951826,347,64,25331,715,3018,2169,1166,310065,T
767996627,453,1,23103,715,1302,1735,895,310506,F
484932063,472,51,19352,715,617,1735,2624,310590,T
628450999,567,7,29484,715,866,1301,925,309921,F
216332295,740,1,44400,715,3175,867,1230,310040,F
739440526,2966,97,284736,715,1331,1301,888,310464,T
306422918,2961,126,227997,715,717,1735,1624,310013,T
278421044,498,1,20916,715,6486,867,1497,309654,F
582046962,2966,115,103810,715,977,867,1962,310471,T
338133328,637,4,63700,715,1742,867,1597,309896,F
289323437,2891,121,167678,715,8710,2169,1598,309701,T
895084980,601,6,48681,715,655,867,1239,309673,F
700871932,2938,107,123396,715,3018,867,2268,310199,T
944547043,545,1,47415,715,943,1735,867,309916,F
380113984,251,15,15813,715,813,2169,1848,309775,T
186520154,633,1,48108,715,1129,1301,1410,309696,F
273560347,379,68,15160,715,673,2169,1084,310535,T
635106264,519,5,34773,715,1712,2169,1457,310480,F
765351261,277,20,11357,715,1431,433,2283,310603,T
308588885,710,1,49700,715,719,867,1408,309971,F
148519457,466,60,29824,715,691,867,2462,310536,T
959520401,519,1,39963,715,815,1301,1115,310475,F
313783664,2854,120,119868,715,1992,433,1651,310180,T
818949015,535,1,53500,715,680,867,1416,310463,F
524558617,2754,147,55080,715,762,1301,953,310270,T
556880473,474,1,22278,715,5863,867,1312,310189,F
881456760,2818,149,211350,715,1361,2169,2462,310105,T
453361817,646,8,49096,715,824,1735,1010,309969,F
854176505,2807,98,157192,715,1281,867,889,309713,T
380463563,491,11,24550,715,657,867,876,309776,F
334510867,498,4,34362,715,1163,433,2355,309647,T
051908787,522,1,13050,715,12703,1301,1248,309749,F
180391217,2854,141,159824,715,952,1301,1904,309648,T
430389118,695,1,28495,715,935,867,1087,310523,F
471147249,374,39,17952,715,783,867,2028,310516,T
450781747,567,1,16443,715,793,867,1411,310507,F
715087756,211,59,8440,715,773,867,2175,310461,T
679469305,685,1,51375,715,775,1301,1350,309691,F
659282534,2917,150,172103,715,828,1735,2154,309996,T
697980016,656,1,33456,715,631,867,1450,310170,F
001737085,248,18,21080,715,8023,1735,1469,310450,T
670408078,531,4,49914,715,641,867,1633,309743,F
435764140,373,61,23499,715,7090,1301,1114,310026,T
742965326,492,5,28044,715,891,1301,838,310249,F
311055634,716,1,61576,715,747,433,1762,310607,T
491157003,678,9,50172,715,5081,1735,1330,309784,F
892310030,291,18,25317,715,3278,1735,1366,309841,T
940940645,462,18,25410,715,1270,1301,959,310140,F
170103158,231,66,15939,715,1319,1301,1670,310231,T
203149019,569,17,39830,715,11726,867,936,310504,F
405915570,2793,134,72618,715,775,2169,1829,310287,T
572620479,731,6,59942,715,640,2169,967,310540,F
252403911,2797,122,195790,715,1037,867,2126,310501,T
477527849,704,1,24640,715,696,1301,1063,310344,F
864927552,458,29,27480,715,1630,1301,1457,310005,T
960305188,653,1,60729,715,943,867,1598,310162,F
258113917,217,57,7595,715,1088,867,2029,309639,T
311730741,455,9,22750,715,1870,1301,1003,309804,F
847364584,241,24,9640,715,846,1301,1049,310088,T
692054730,455,6,25935,715,943,1301,1295,309767,F
093289970,408,75,37128,715,13858,2169,1782,310371,T
979086542,699,1,44736,715,10162,1301,1305,309724,F
054006508,3010,121,198660,715,2147,1735,1836,309818,T
434282103,712,1,51976,715,904,1735,1603,310586,F
713485943,2766,117,96810,715,1825,1735,2039,309969,T
933214032,746,11,38046,715,3387,1301,1429,310453,F
213467348,715,3,46475,715,644,433,2289,310260,T
374033829,741,6,45201,715,4550,2169,934,310381,F
763090684,223,67,15387,715,677,433,1998,309846,T
092811664,584,1,37960,715,871,2169,1086,310585,F
328935248,310,44,22320,715,5863,433,2028,309891,T
918239242,591,1,15957,715,16046,1735,995,310340,F
337624883,2772,105,202356,715,3673,2169,1834,309761,T
014461555,512,1,40960,715,741,1301,1513,309914,F
313935168,2988,124,200196,715,1859,1735,2493,310380,T
057366166,568,1,19312,715,2275,867,1375,310519,F
886213756,335,28,6700,715,793,433,1724,309859,T
576642128,576,12,36288,715,1200,1301,924,309824,F
483406043,3012,104,174696,715,4120,433,1854,309893,T
156000440,541,4,32460,715,6486,2169,1476,309843,F
076300020,447,52,18774,715,949,1735,1509,309926,T
376364770,548,1,29592,715,680,2169,1003,310355,F
435632468,2986,94,277698,715,1047,867,2319,310116,T
783617531,576,1,32832,715,2540,867,848,309971,F
